	あっ	a	Ah!;Oh!
	あんまり	anmari	not very;not much;remainder;rest
胃	い	i	stomach
	いい	ii	good
	よい	yoi	good;nice;pleasant;ok
いえ	いえ	ie	same as いいえ
委員	いいん	iin	committee member
言う	ゆう	yuu	to say
意外	いがい	igai	unexpected;surprising
行き	いき(ゆき)	iki (yuki)	going
息	いき	iki	breath;tone
勢い	いきおい	ikioi	force;vigor;energy;spirit
生き物	いきもの	ikimono	living thing;animal
幾つ	いくつ	ikutsu	how many?;how old?
幾ら	いくら	ikura	how much?;how many?
	いけない	ikenai	must not do;bad;wrong;not good
医師	いし	ishi	doctor;physician
意思	いし	ishi	intention;purpose
意志	いし	ishi	will;volition
維持	いじ	iji	maintenance;preservation
意識	いしき	ishiki	consciousness;senses
異常	いじょう	ijou	strangeness;abnormality;disorder
椅子	いす	isu	chair
泉	いずみ	izumi	spring;fountain
	いずれ	izure	where;which;who
以前	いぜん	izen	ago;since;before;previous
板	いた	ita	board;plank
偉大	いだい	idai	greatness
抱く	いだく	idaku	(sl) to embrace;to hug;to harbour;to entertain
	いたずら	itazura	tease;prank;trick;practical joke
	いただきます	itadakimasu	expression of gratitude before meals
頂く	いただく	itadaku	to receive;to take food or drink (hum)
痛み	いたみ	itami	pain;ache;sore;grief;distress
至る	いたる	itaru	to come;to arrive
	いち	ichi	market;fair
位置	いち	ichi	place;situation;position;location
一時	いちじ	ichiji	moment;time
一度に	いちどに	ichidoni	all at once
市場	いちば	ichiba	(the) market (as a concept)
一番	いちばん	ichiban	best;first;number one
	いつか	itsuka	sometime;someday;one day
一家	いっか	ikka	a house;a home;a family;a household
一種	いっしゅ	isshu	a species;a kind;a variety
一瞬	いっしゅん	isshun	a moment;an instant
一生	いっしょう	isshou	whole life;a lifetime;all through life
一層	いっそう	issou	much more;still more;all the more
一体	いったい	ittai	(1) one object;one body;(2) what on earth?;really?;(3) generally
一致	いっち	icchi	(1) coincidence;agreement;(2) conformity
	いつでも	itsudemo	(at) any time;always;at all times;never (neg)
一般	いっぱん	ippan	general;liberal;universal;ordinary;average
一方	いっぽう	ippou	(1) on the other hand;(2) meanwhile;(3) only;simple;in turn
	いつまでも	itsumademo	forever;for good;eternally;as long as one likes;indefinitely
いつも	いつも	itsumo	always;usually;every time;never (with neg. verb)
移動	いどう	idou	removal;migration;movement
従兄弟	いとこ	itoko	cousin (male)
稲	いね	ine	rice-plant
居眠り	いねむり	inemuri	dozing;nodding off
命	いのち	inochi	command;decree;life;destiny
違反	いはん	ihan	violation (of law);transgression;infringement;breach
衣服	いふく	ifuku	clothes
居間	いま	ima	living room (western style)
今に	いまに	imani	before long;even now
今にも	いまにも	imanimo	at any time;soon
否	いや	iya	no;the noes
以来	いらい	irai	since;henceforth
依頼	いらい	irai	(1) request;commission;dispatch;(2) dependence;trust
	いらいら	iraira	getting nervous;irritation
	いらっしゃい	irasshai	welcome
医療	いりょう	iryou	medical care;medical treatment
岩	いわ	iwa	rock;crag
祝い	いわい	iwai	celebration;festival
祝う	いわう	iwau	to congratulate;to celebrate
言わば	いわば	iwaba	so to speak
	いわゆる	iwayuru	the so-called;so to speak
	インク	inku	ink
印刷	いんさつ	insatsu	printing
印象	いんしょう	inshou	impression
引退	いんたい	intai	retire
引用	いんよう	inyou	quotation;citation
	ウイスキー	uisukii	whisky
上	うわ	uwa	upper;outer;surface
魚	うお	uo	fish
	うがい	ugai	gargle;rinse mouth
伺う	うかがう	ukagau	(hon) to visit;to ask;to inquire
受け取る	うけとる	uketoru	to receive;to get;to accept;to take
動かす	うごかす	ugokasu	to move;to shift
兎	うさぎ	usagi	rabbit;hare;cony
牛	うし	ushi	cattle;cow
失う	うしなう	ushinau	to lose;to part with
後	うしろ	ushiro	afterwards;since then;in the future
嘘	うそ	uso	lie;falsehood;incorrect fact;inappropriate
疑う	うたがう	utagau	to doubt;to distrust;to be suspicious of;to suspect
内	うち	uchi	inside
宇宙	うちゅう	uchuu	universe;cosmos;space
撃つ	うつ	utsu	to attack;to defeat;to destroy
移す	うつす	utsusu	to remove;to transfer;to infect
訴える	うったえる	uttaeru	to sue (a person);to resort to;to appeal to
	うなる	unaru	to groan;to moan
奪う	うばう	ubau	to snatch away
馬	うま	uma	(1) horse;(2) promoted bishop (shogi)
うまい	うまい	umai	delicious
生まれ	うまれ	umare	birth;birth-place
梅	うめ	ume	plum;plum-tree;lowest (of a three-tier ranking system)
裏切る	うらぎる	uragiru	to betray;to turn traitor to;to double-cross
	うるさい	urusai	noisy;loud;fussy
嬉しい	うれしい	ureshii	happy;glad;pleasant
売れる	うれる	ureru	to be sold
噂	うわさ	uwasa	rumour;report;gossip;common talk
運	うん	un	fortune;luck
運転	うんてん	unten	operation;motion;driving
運動	うんどう	undou	motion;exercise
柄	え	e	handle;grip
永遠	えいえん	eien	eternity;perpetuity;immortality;permanence
永久	えいきゅう	eikyuu	eternity;perpetuity;immortality
影響	えいきょう	eikyou	influence;effect
営業	えいぎょう	eigyou	business;trade;management
衛星	えいせい	eisei	satellite
栄養	えいよう	eiyou	nutrition;nourishment
笑顔	えがお	egao	smiling face
描く	えがく	egaku	to draw;to paint;to sketch;to depict;to describe
餌	えさ	esa	feed;bait
	エネルギー	enerugii	(n) energy (de; Energie)
得る	える(うる)	eru(uru)	to get;to gain;to win
円	えん	en	circle;money
延期	えんき	enki	postponement;adjournment
演技	えんぎ	engi	acting;performance
援助	えんじょ	enjo	assistance;aid;support
	エンジン	enjin	engine
演説	えんぜつ	enzetsu	speech;address
演奏	えんそう	ensou	musical performance
遠慮	えんりょ	enryo	diffidence;restraint;reserve
御	お	o	honourable
老い	おい	oi	old age;old person;the old;the aged
追い付く	おいつく	oitsuku	to overtake;to catch up (with)
王	おう	ou	king;ruler;sovereign;monarch
追う	おう	ou	to chase;to run after
王様	おうさま	ousama	king
王子	おうじ	ouji	prince
応じる	おうじる	oujiru	to respond;to satisfy;to accept;to comply with;to apply for
横断	おうだん	oudan	crossing
終える	おえる	oeru	to finish
大いに	おおいに	ooini	very;much;greatly
覆う	おおう	oou	to cover;to hide;to conceal;to wrap;to disguise
	オーバー	oobaa	(1) overcoat;(2) over
大家	おおや	ooya	rich family;distinguished family
丘	おか	oka	hill;height;knoll;rising ground
沖	おき	oki	open sea
奥	おく	oku	interior;inner part
贈る	おくる	okuru	to send;to give to;to award to;to confer on
起こる	おこる	okoru	to occur;to happen
幼い	おさない	osanai	very young;childish
収める	おさめる	osameru	to obtain;to reap;to pay;to supply;to accept
	おじいさん	ojiisan	grandfather;male senior-citizen
	おしゃべり	oshaberi	chattering;talk;idle talk
汚染	おせん	osen	pollution;contamination
	おそらく	osoraku	perhaps
恐れる	おそれる	osoreru	to fear;to be afraid of
恐ろしい	おそろしい	osoroshii	terrible;dreadful
お互い	おたがい	otagai	mutual;reciprocal;each other
穏やか	おだやか	odayaka	calm;gentle;quiet
劣る	おとる	otoru	to fall behind;to be inferior to
お腹	おなか	onaka	stomach
鬼	おに	oni	ogre;demon;it (i.e.; in a game of tag)
帯	おび	obi	band (e.g. conduction; valence)
お昼	おひる	ohiru	lunch;noon
	オフィス	ofisu	office
溺れる	おぼれる	oboreru	to be drowned;to indulge in
	おまえ	omae	(fam) you (sing);presence (of a high personage)
	おめでとう	omedetou	Congratulations!;an auspicious occasion!
お目に掛かる	おめにかかる	omenikakaru	(polite) to see;to meet
思い出	おもいで	omoide	memories;recollections;reminiscence
主に	おもに	omoni	mainly;primarily
思わず	おもわず	omowazu	unintentional;spontaneous
	おや	oya	parents
泳ぎ	およぎ	oyogi	swimming
	およそ	oyoso	about;roughly;as a rule;approximately
及ぼす	およぼす	oyobosu	to exert;to cause;to exercise
居る	おる	oru	to be (animate);to be;to exist
下す	おろす	orosu	to lower;to let go down
降ろす	おろす	orosu	to take down;to launch;to drop
終	おわり	owari	the end
音	おん	on	sound;note
恩	おん	on	favour;obligation;debt of gratitude
温暖	おんだん	ondan	warmth
温度	おんど	ondo	temperature
可	か	ka	passable
課	か	ka	counter for chapters (of a book)
	カー	kaa	car
	カード	kaado	card;curd
会	かい	kai	meeting;assembly;party;association;club
回	かい	kai	counter for occurrences
害	がい	gai	injury;harm;evil influence;damage
会員	かいいん	kaiin	member;the membership
絵画	かいが	kaiga	picture
海外	かいがい	kaigai	foreign;abroad;overseas
会計	かいけい	kaikei	account;finance;accountant
解決	かいけつ	kaiketsu	settlement;solution;resolution
会合	かいごう	kaigou	meeting;assembly
外交	がいこう	gaikou	diplomacy
開始	かいし	kaishi	start;commencement;beginning
解釈	かいしゃく	kaishaku	explanation;interpretation
外出	がいしゅつ	gaishutsu	outing;going out
改善	かいぜん	kaizen	betterment;improvement
快適	かいてき	kaiteki	pleasant;agreeable;comfortable
回復	かいふく	kaifuku	recovery (from illness);improvement;rehabilitation;restoration
飼う	かう	kau	to keep;to raise;to feed
替える	かえる	kaeru	to exchange;to interchange;to substitute;to replace
換える	かえる	kaeru	to exchange;to interchange;to substitute;to replace
香り	かおり	kaori	aroma;fragrance;scent;smell
画家	がか	gaka	painter;artist
抱える	かかえる	kakaeru	to hold or carry under or in the arms
価格	かかく	kakaku	price;value;cost
化学	かがく	kagaku	chemistry
輝く	かがやく	kagayaku	to shine;to glitter;to sparkle
係	かかり	kakari	official;duty;person in charge
掛かる	かかる	kakaru	to take (e.g. time; money; etc);to hang
罹る	かかる	kakaru	to suffer from
鍵	かぎ	kagi	key
限る	かぎる	kagiru	to restrict;to limit;to confine
描く	かく	kaku	to draw;to paint;to sketch;to depict;to describe
家具	かぐ	kagu	furniture
学	がく	gaku	learning;scholarship;erudition;knowledge
額	がく	gaku	forehead;brow
覚悟	かくご	kakugo	resolution;resignation;readiness;preparedness
確実	かくじつ	kakujitsu	certainty;reliability;soundness
学者	がくしゃ	gakusha	scholar
学習	がくしゅう	gakushuu	study;learning
隠す	かくす	kakusu	to hide;to conceal
拡大	かくだい	kakudai	magnification;enlargement
確認	かくにん	kakunin	affirmation;confirmation
学問	がくもん	gakumon	scholarship;study;learning
隠れる	かくれる	kakureru	to hide;to be hidden;to conceal oneself;to disappear
影	かげ	kage	shade;shadow;other side
陰	かげ	kage	shade;shadow;other side
欠ける	かける	kakeru	to be lacking
加減	かげん	kagen	addition and subtraction;allowance for
過去	かこ	kako	the past;bygone days;the previous
籠	かご	kago	basket;cage
囲む	かこむ	kakomu	to surround;to encircle
火災	かさい	kasai	conflagration;fire
貸し	かし	kashi	loan;lending
菓子	かし	kashi	pastry
家事	かじ	kaji	housework;domestic chores
賢い	かしこい	kashikoi	wise;clever;smart
歌手	かしゅ	kashu	singer
数	かず	kazu	number;figure
稼ぐ	かせぐ	kasegu	to earn income;to labor
数える	かぞえる	kazoeru	to count
型	かた	kata	mold;model;style;shape;data-type
肩	かた	kata	shoulder
硬い	かたい	katai	solid;hard (esp. metal; stone);unpolished writing
方々	かたがた	katagata	persons;this and that;here and there;everywhere
刀	かたな	katana	sword;saber;knife;engraving tool
語る	かたる	kataru	to talk;to tell;to recite
勝ち	かち	kachi	win;victory
価値	かち	kachi	value;worth;merit
	がっかり	gakkari	feel disappointed;be dejected;lose heart
活気	かっき	kakki	energy;liveliness
学期	がっき	gakki	term (school)
格好	かっこう	kakkou	shape;form;posture;suitability
活動	かつどう	katsudou	action;activity
活用	かつよう	katsuyou	conjugation;practical use
悲しむ	かなしむ	kanashimu	to be sad;to mourn for;to regret
必ずしも	かならずしも	kanarazushimo	(not) always;(not) necessarily;(not) all;(not) entirely
	かなり	kanari	considerably;fairly;quite
金	かね	kane	(1) gold;(2) gold general (shogi) (abbr)
金持ち	かねもち	kanemochi	rich man
可能	かのう	kanou	possible;practicable;feasible
株	かぶ	kabu	share;stock;stump (of tree)
被る	かぶる	kaburu	to suffer
構う	かまう	kamau	to mind;to care about;to be concerned about
我慢	がまん	gaman	patience;endurance;perseverance
上	かみ	kami	(1) first volume;(2) superior quality;(3) governmental
神	かみ	kami	god
雷	かみなり	kaminari	thunder
髪の毛	かみのけ	kaminoke	hair (head)
科目	かもく	kamoku	(school) subject;curriculum;course
	かもしれない	kamoshirenai	may;might;perhaps;may be;possibly
火曜	かよう	kayou	(abbr) Tuesday
空	から	kara	sky
柄	がら	gara	hilt (of a sword);haft (of a dagger);handgrip
刈る	かる	karu	to cut (hair);to mow (grass);to harvest
彼等	かれら	karera	they (usually male)
皮	かわ	kawa	skin;hide;leather;fur;pelt;bark;shell
革	かわ	kawa	leather
	かわいそう	kawaisou	poor;pitiable;pathetic
	かわいらしい	kawairashii	lovely;sweet
缶	かん	kan	can;tin
勘	かん	kan	perception;intuition;the sixth sense
考え	かんがえ	kangae	thinking;thought;ideas;intention
感覚	かんかく	kankaku	sense;sensation
観客	かんきゃく	kankyaku	audience;spectator(s)
環境	かんきょう	kankyou	environment;circumstance
歓迎	かんげい	kangei	welcome;reception
観光	かんこう	kankou	sightseeing
観察	かんさつ	kansatsu	observation;survey
感じ	かんじ	kanji	feeling;sense;impression
感謝	かんしゃ	kansha	thanks;gratitude
患者	かんじゃ	kanja	a patient
勘定	かんじょう	kanjou	calculation;counting;consideration
感情	かんじょう	kanjou	emotion(s);feeling(s);sentiment
感じる	かんじる	kanjiru	to feel;to sense;to experience
感心	かんしん	kanshin	admiration;Well done!
関心	かんしん	kanshin	concern;interest
関する	かんする	kansuru	to concern;to be related
完成	かんせい	kansei	(1) complete;completion;(2) perfection;accomplishment
完全	かんぜん	kanzen	perfection;completeness
感動	かんどう	kandou	being deeply moved;excitement;impression;deep emotion
監督	かんとく	kantoku	supervision;control;superintendence
管理	かんり	kanri	control;management (e.g. of a business)
完了	かんりょう	kanryou	completion;conclusion
関連	かんれん	kanren	relation;connection;relevance
議員	ぎいん	giin	member of the Diet; congress or parliament
記憶	きおく	kioku	memory;recollection;remembrance
気温	きおん	kion	temperature
機械	きかい	kikai	machine;mechanism
議会	ぎかい	gikai	Diet;congress;parliament
期間	きかん	kikan	period;term
機関	きかん	kikan	organ;mechanism;facility;engine
企業	きぎょう	kigyou	enterprise;undertaking
効く	きく	kiku	to be effective
機嫌	きげん	kigen	humour;temper;mood
気候	きこう	kikou	climate
岸	きし	kishi	bank;coast;shore
生地	きじ	kiji	birthplace
記事	きじ	kiji	article;news story;report;account
技師	ぎし	gishi	engineer;technician
記者	きしゃ	kisha	reporter
傷	きず	kizu	wound;injury;hurt;cut
期待	きたい	kitai	expectation;anticipation;hope
帰宅	きたく	kitaku	returning home
貴重	きちょう	kichou	precious;valuable
議長	ぎちょう	gichou	chairman
	きちんと	kichinto	precisely;accurately
	きつい	kitsui	tight;close;intense
気付く	きづく	kizuku	to notice;to recognize;to become aware of
気に入る	きにいる	kiniiru	to be pleased with;to suit
記入	きにゅう	kinyuu	entry;filling in of forms
記念	きねん	kinen	commemoration;memory
機能	きのう	kinou	function;faculty
気の毒	きのどく	kinodoku	pitiful;a pity
寄付	きふ	kifu	contribution;donation
希望	きぼう	kibou	hope;wish;aspiration
基本	きほん	kihon	foundation;basis;standard
決まり	きまり	kimari	settlement;conclusion;regulation;rule
気味	きみ	kimi	-like;-looking;-looked
奇妙	きみょう	kimyou	strange;queer;curious
義務	ぎむ	gimu	duty;obligation;responsibility
疑問	ぎもん	gimon	question;problem;doubt;guess
逆	ぎゃく	gyaku	reverse;opposite
	キャプテン	kyaputen	captain
	キャンプ	kyanpu	camp
九	きゅう	kyuu	nine
旧	きゅう	kyuu	ex-
級	きゅう	kyuu	class; grade; rank;school class; grade
球	きゅう	kyuu	globe;sphere;ball
休暇	きゅうか	kyuuka	holiday;day off;furlough
休憩	きゅうけい	kyuukei	rest;break;recess;intermission
急激	きゅうげき	kyuugeki	sudden;precipitous;radical
吸収	きゅうしゅう	kyuushuu	absorption;suction;attraction
救助	きゅうじょ	kyuujo	relief;aid;rescue
急速	きゅうそく	kyuusoku	rapid (e.g. progress)
急に	きゅうに	kyuuni	suddenly
給料	きゅうりょう	kyuuryou	salary;wages
器用	きよう	kiyou	skillful;handy
教科書	きょうかしょ	kyoukasho	text book
競技	きょうぎ	kyougi	game;match;contest
行儀	ぎょうぎ	gyougi	manners
供給	きょうきゅう	kyoukyuu	supply;provision
教師	きょうし	kyoushi	teacher (classroom)
教授	きょうじゅ	kyouju	teaching;instruction;professor
強調	きょうちょう	kyouchou	emphasis;stress;stressed point
共通	きょうつう	kyoutsuu	commonness;community
共同	きょうどう	kyoudou	cooperation;association;collaboration;joint
恐怖	きょうふ	kyoufu	be afraid;dread;dismay;terror
協力	きょうりょく	kyouryoku	cooperation;collaboration
強力	きょうりょく	kyouryoku	herculean strength;mountain carrier-guide
許可	きょか	kyoka	permission;approval
局	きょく	kyoku	court lady;lady in waiting
巨大	きょだい	kyodai	huge;gigantic;enormous
嫌う	きらう	kirau	to hate;to dislike;to loathe
霧	きり	kiri	fog;mist
切れ	きれ	kire	cloth;piece;cut;chop
切れる	きれる	kireru	(1) to cut well;to be sharp;(2) to break (off)
	キロ	kiro	(abbr) kilo-;kilogram;kilometre;10^3
記録	きろく	kiroku	record;minutes;document
議論	ぎろん	giron	argument;discussion;dispute
金	きん	kin	(1) gold;(2) gold general (shogi) (abbr)
銀	ぎん	gin	(1) silver;silver coin;silver paint
禁煙	きんえん	kinen	No Smoking!
金額	きんがく	kingaku	amount of money
金庫	きんこ	kinko	safe;vault;treasury;provider of funds
禁止	きんし	kinshi	prohibition;ban
金銭	きんせん	kinsen	money;cash
金属	きんぞく	kinzoku	metal
近代	きんだい	kindai	present day
緊張	きんちょう	kinchou	tension;mental strain;nervousness
筋肉	きんにく	kinniku	muscle;sinew
金融	きんゆう	kinyuu	monetary circulation;credit situation
金曜	きんよう	kinyou	(abbr) Friday
九	く	ku	nine
句	く	ku	sentence
食う	くう	kuu	(male) (vulg) to eat
偶然	ぐうぜん	guuzen	(by) chance;unexpectedly;suddenly
臭い	くさい	kusai	odour;scent;smell;stench
鎖	くさり	kusari	chain
腐る	くさる	kusaru	to rot;to go bad
癖	くせ	kuse	a habit (often a bad habit);peculiarity
管	くだ	kuda	pipe;tube
具体	ぐたい	gutai	concrete;tangible;material
下さる	くださる	kudasaru	(hon) to give;to confer
下り	くだり	kudari	down-train (going away from Tokyo)
苦痛	くつう	kutsuu	pain;agony
	ぐっすり	gussuri	sound asleep;fast asleep
区別	くべつ	kubetsu	distinction;differentiation;classification
組	くみ	kumi	class;group;team;set
組合	くみあい	kumiai	association;union
組む	くむ	kumu	to put together
曇	くもり	kumori	cloudiness;cloudy weather;shadow
位	くらい	kurai	grade;rank;about
暮らし	くらし	kurashi	living;livelihood;subsistence;circumstances
	クラシック	kurashikku	classic(s)
暮らす	くらす	kurasu	to live;to get along
	グラス	gurasu	(1) glass;(2) grass
	グランド	gurando	gland;grand;(electrical) ground
	クリーム	kuriimu	cream
繰り返す	くりかえす	kurikaesu	to repeat;to do something over again
	クリスマス	kurisumasu	Christmas
狂う	くるう	kuruu	to go mad;to get out of order
	グループ	guruupu	group
苦しい	くるしい	kurushii	painful;difficult
苦しむ	くるしむ	kurushimu	to suffer;to groan;to be worried
暮れ	くれ	kure	year end;sunset;nightfall;end
苦労	くろう	kurou	troubles;hardships
加える	くわえる	kuwaeru	to append;to sum up;to add (up)
詳しい	くわしい	kuwashii	knowing very well;detailed;full;accurate
加わる	くわわる	kuwawaru	to join in;to accede to;to increase;to gain in (influence)
訓	くん	kun	native Japanese reading of a Chinese character
軍	ぐん	gun	army;force;troops
軍隊	ぐんたい	guntai	army;troops
訓練	くんれん	kunren	practice;training
下	げ	ge	under;below;beneath
計	けい	kei	plan
敬意	けいい	keii	respect;honour
経営	けいえい	keiei	management;administration
計画	けいかく	keikaku	plan;project;schedule;scheme;program
景気	けいき	keiki	condition;state;business (condition)
経験	けいけん	keiken	experience
傾向	けいこう	keikou	tendency;trend;inclination
警告	けいこく	keikoku	warning;advice
計算	けいさん	keisan	calculation;reckoning
掲示	けいじ	keiji	notice;bulletin
刑事	けいじ	keiji	criminal case;(police) detective
芸術	げいじゅつ	geijutsu	(fine) art;the arts
契約	けいやく	keiyaku	contract;compact;agreement
経由	けいゆ	keiyu	go by the way;via
	ケース	keesu	case
	ゲーム	geemu	game
怪我	けが	kega	injury (to animate object);hurt
劇	げき	geki	drama;play
劇場	げきじょう	gekijou	theatre;playhouse
化粧	けしょう	keshou	make-up (cosmetic)
	けち	kechi	stinginess;miser;miserliness
結果	けっか	kekka	result;consequence
欠陥	けっかん	kekkan	defect;fault;deficiency
結局	けっきょく	kekkyoku	after all;eventually
決心	けっしん	kesshin	determination;resolution
欠席	けっせき	kesseki	absence;non-attendance
決定	けってい	kettei	decision;determination
欠点	けってん	ketten	faults;defect;weakness
月曜	げつよう	getsuyou	Monday
結論	けつろん	ketsuron	conclusion
煙	けむり	kemuri	smoke;fumes
券	けん	ken	ticket;coupon;bond;certificate
県	けん	ken	prefecture
軒	けん	ken	eaves
喧嘩	けんか	kenka	quarrel;(drunken) brawl;failure
見解	けんかい	kenkai	opinion;point of view
限界	げんかい	genkai	limit;bound
現金	げんきん	genkin	cash;ready money;mercenary;self-interested
言語	げんご	gengo	language
健康	けんこう	kenkou	health;sound;wholesome
検査	けんさ	kensa	inspection (e.g. customs; factory);examination
現在	げんざい	genzai	present;up to now;nowadays;modern times;current
現実	げんじつ	genjitsu	reality
現象	げんしょう	genshou	phenomenon
現状	げんじょう	genjou	present condition;existing state;status quo
建設	けんせつ	kensetsu	construction;establishment
現代	げんだい	gendai	nowadays;modern times;present-day
建築	けんちく	kenchiku	construction;architecture
見当	けんとう	kentou	be found;aim;estimate;guess;approx
検討	けんとう	kentou	consideration;examination;investigation;study;scrutiny
現場	げんば	genba	actual spot;scene;scene of the crime
憲法	けんぽう	kenpou	constitution
権利	けんり	kenri	right;privilege
後	ご	go	afterwards;since then;in the future
語	ご	go	language;word
恋	こい	koi	love;tender passion
濃い	こい	koi	thick (as of color; liquid);dense;strong
恋人	こいびと	koibito	lover;sweetheart
幸運	こううん	kouun	good luck;fortune
講演	こうえん	kouen	lecture;address
効果	こうか	kouka	effect;effectiveness;efficacy;result
硬貨	こうか	kouka	coin
高価	こうか	kouka	high price
豪華	ごうか	gouka	wonderful;gorgeous;splendor;pomp;extravagance
合格	ごうかく	goukaku	success;passing (e.g. exam);eligibility
交換	こうかん	koukan	exchange;interchange;reciprocity
航空	こうくう	koukuu	aviation;flying
光景	こうけい	koukei	scene;spectacle
合計	ごうけい	goukei	sum total;total amount
攻撃	こうげき	kougeki	attack;strike;offensive;criticism;censure
貢献	こうけん	kouken	contribution;services
広告	こうこく	koukoku	advertisement
交際	こうさい	kousai	company;friendship;association;society;acquaintance
後者	こうしゃ	kousha	the latter
工場	こうば	kouba	factory;plant;mill;workshop
構成	こうせい	kousei	organization;composition
高速	こうそく	kousoku	high speed;high gear
行動	こうどう	koudou	action;conduct;behaviour;mobilization
強盗	ごうとう	goutou	robbery;burglary
幸福	こうふく	koufuku	happiness;blessedness
公平	こうへい	kouhei	fairness;impartial;justice
候補	こうほ	kouho	candidacy
考慮	こうりょ	kouryo	consideration;taking into account
越える	こえる	koeru	to exceed;to cross over;to cross
	コーチ	koochi	coach
	コード	koodo	code;cord;chord
氷	こおり	koori	ice;hail
凍る	こおる	kooru	to freeze;to be frozen over;to congeal
	ゴール	gooru	goal
誤解	ごかい	gokai	misunderstanding
語学	ごがく	gogaku	language study
呼吸	こきゅう	kokyuu	breath;respiration
故郷	こきょう	kokyou	home town;birthplace;old village;historic village
極	ごく	goku	quite;very
国語	こくご	kokugo	national language
黒板	こくばん	kokuban	blackboard
克服	こくふく	kokufuku	subjugation;conquest
国民	こくみん	kokumin	national;people;citizen
穀物	こくもつ	kokumotsu	grain;cereal;corn
ここ	ここ	koko	here
腰	こし	koshi	hip
故障	こしょう	koshou	break-down;failure;accident;out of order
個人	こじん	kojin	individual;private person;personal;private
越す	こす	kosu	to go over (e.g. with audience)
国家	こっか	kokka	state;country;nation
国会	こっかい	kokkai	National Diet;parliament;congress
国境	こっきょう	kokkyou	national or state border
骨折	こっせつ	kossetsu	bone fracture
小包	こづつみ	kozutsumi	parcel;package
事	こと	koto	thing;matter;fact;circumstances
異なる	ことなる	kotonaru	to differ;to vary;to disagree
諺	ことわざ	kotowaza	proverb;maxim
断る	ことわる	kotowaru	to refuse;to decline;to dismiss
粉	こな	kona	flour;meal;powder
この	この	kono	this
好み	このみ	konomi	liking;taste;choice
好む	このむ	konomu	to like;to prefer
	コピー	kopii	(1) a (photo)copy;(2) blurb on a book jacket
塵	ごみ	gomi	dust;dirt
小麦	こむぎ	komugi	wheat
	ごめんなさい	gomennasai	I beg your pardon;excuse me
小屋	こや	koya	hut;cabin;shed;(animal) pen
	これら	korera	these
頃	ころ	koro	time;about;toward;approximately (time)
殺す	ころす	korosu	to kill
転ぶ	ころぶ	korobu	to fall down;to fall over
今回	こんかい	konkai	now;this time;lately
今後	こんご	kongo	from now on;hereafter
混雑	こんざつ	konzatsu	confusion;congestion
	こんなに	konnani	so;like this;in this way
困難	こんなん	konnan	difficulty;distress
今日	こんにち	konnichi	today;this day
	コンピューター	konpyuutaa	computer
婚約	こんやく	konyaku	engagement;betrothal
混乱	こんらん	konran	disorder;chaos;confusion;mayhem
差	さ	sa	difference;variation
	サービス	saabisu	(1) service;support system;(2) goods or services without charge
際	さい	sai	on the occasion of;circumstances
最高	さいこう	saikou	highest;supreme;the most
