	あ	a	Ah	ах
	きっと	kitto	surely	точно; обязательно
絹	きぬ	kinu	silk	шелк
厳しい	きびしい	kibishii	strict	строгий
気分	きぶん	kibun	mood	настроение
決る	きまる	kimaru	to be decided	быть определенным
君	きみ	kimi	(informal) You (used by men towards women)	(неофициально) Вы (используется мужчинами по отношению к женщинам)
決める	きめる	kimeru	to decide	решать
気持ち	きもち	kimochi	feeling;mood	чувство ; настроение
着物	きもの	kimono	kimono	кимоно
客	きゃく	kyaku	guest;customer	гость ; клиент
急	きゅう	kyuu	urgent; steep	срочно
急行	きゅうこう	kyuukou	speedy; express	экспресс
教育	きょういく	kyouiku	education	образование
教会	きょうかい	kyoukai	church	церковь
競争	きょうそう	kyousou	competition	конкуренция
興味	きょうみ	kyoumi	an interest	интерес
近所	きんじょ	kinjo	neighbourhood	окрестности
具合	ぐあい	guai	condition;health	состояние ; здоровье
空気	くうき	kuuki	air;atmosphere	воздух; атмосфера
空港	くうこう	kuukou	airport	аэропорт
草	くさ	kusa	grass	трава
	くださる	kudasaru	(respectful) to give	(уважительно) давать (о действии 2-го или 3-го лица)
首	くび	kubi	neck	шея
雲	くも	kumo	cloud	облако
比べる	くらべる	kuraberu	to compare	сравнить
	くれる	kureru	to give	давать, дарить (о 2-м и 3-м лице)
暮れる	くれる	kureru	to get dark;to come to an end	темнеть; чтобы прийти к концу
君	くん	kun	suffix for familiar young male	именной суффикс (используется по отношению к молодым мужчинам)
毛	け	ke	hair or fur	шерсть; мех
計画	けいかく・する	keikaku suru	to plan	планировать
経験	けいけん・する	keiken suru	to experience	испытывать
経済	けいざい	keizai	finance;economy	финансы; экономика
警察	けいさつ	keisatsu	police	полиция
	ケーキ	keeki	cake	торт
	けが・する	kega suru	to injure	ранить
景色	けしき	keshiki	scene;landscape	сцена ; пейзаж
消しゴム	けしゴム	keshigomu	eraser	ластик
下宿	げしゅく	geshuku	lodging	жилье
決して	けっして	kesshite	never	никогда (с отрицанием)
	けれど/けれども	keredo/keredomo	however	однако
原因	げんいん	genin	cause;source	причина ; источник
	けんか・する	kenka suru	to quarrel	ссориться
研究	けんきゅう	kenkyuu	research	исследование
研究室	けんきゅうしつ	kenkyuushitsu	study room;laboratory	кабинет; лаборатория
見物	けんぶつ	kenbutsu	sightseeing	экскурсия
子	こ	ko	child	ребенок
	こう	kou	this way	так
郊外	こうがい	kougai	outskirts	окраина
講義	こうぎ	kougi	lecture	лекция
工業	こうぎょう	kougyou	the manufacturing industry	промышленность; индустрия
高校	こうこう	koukou	high school	средняя школа
高校生	こうこうせい	koukousei	high school student	учащийся средней школы
工場	こうじょう	koujou	factory	завод
校長	こうちょう	kouchou	headmaster	директор
交通	こうつう	koutsuu	traffic;transportation	трафик ; транспорт
講堂	こうどう	koudou	auditorium	аудитория
高等学校	こうとうがっこう	koutougakkou	high school	средняя школа
公務員	こうむいん	koumuin	government worker	политик
国際	こくさい	kokusai	international	международный
心	こころ	kokoro	core;heart	ядро; сердце
御主人	ごしゅじん	goshujin	(honorable) your husband	(с уважением) ваш муж
故障	こしょう・する	koshou suru	to break-down	сломать
ご存じ	ごぞんじ	gozonji	knowing;acquaintance	вы знаете; вам известно
答	こたえ	kotae	response	ответ
	ごちそう	gochisou	a feast	угощение
	こと	koto	thing;matter	вещь ; факт; случай
小鳥	ことり	kotori	small bird	маленькая птичка
	このあいだ	konoaida	the other day;recently	На днях ; в последнее время
	このごろ	konogoro	these days;nowadays	в настоящее время
細かい	こまかい	komakai	small; fine	мелкий; тщательный
	ごみ	gomi	rubbish	мусор
込む	こむ	komu	to be crowded	быть переполненным
米	こめ	kome	uncooked rice	рис (в зерне)
	ごらんになる	goranninaru	(respectful) to see	(уважительно) видеть
	これから	korekara	after this	теперь; впредь
怖い	こわい	kowai	frightening	страшный
壊す	こわす	kowasu	to break	ломать
壊れる	こわれる	kowareru	to be broken	быть поломанным
	コンサート	konsaato	concert	концерт
今度	こんど	kondo	now;next time	теперь ; в этот раз
	コンピュータ/コンピューター	konpyuuta/konpyuutaa	computer	компьютер
今夜	こんや	konya	tonight	сегодня вечером
最近	さいきん	saikin	latest;nowadays	последнее время
最後	さいご	saigo	last;end	наконец; последний
最初	さいしょ	saisho	beginning;first	самый первый
坂	さか	saka	slope;hill	склон; холм
探す	さがす	sagasu	to look for	искать
下る	さがる	sagaru	to get down;to descend	спускаться
盛ん	さかん	sakan	popularity;prosperous	процветающий
下げる	さげる	sageru	to hang;to lower;to move back	вешать; спускать
差し上げる	さしあげる	sashiageru	(polite) to give	(вежливо) давать, поднимать
	さっき	sakki	some time ago	некоторое время назад
寂しい	さびしい	sabishii	lonely	одинокий
さ来月	さらいげつ	saraigetsu	the month after next	через месяц
さ来週	さらいしゅう	saraishuu	the week after next	через неделю
	サラダ	sarada	salad	салат
騒ぐ	さわぐ	sawagu	to make noise;to be excited	шуметь
触る	さわる	sawaru	to touch	касаться
産業	さんぎょう	sangyou	industry	промышленность
	サンダル	sandaru	sandal	сандал
	サンドイッチ	sandoicchi	sandwich	бутерброд
残念	ざんねん	zannen	disappointment	разочарование
市	し	shi	city	город
死	し	shi	death, decease	смерть
字	じ	ji	character	знак; иероглиф
試合	しあい	shiai	match;game	матч; игра
仕方	しかた	shikata	method	метод
	しかる	shikaru	a particular	ругать; бранить
試験	しけん	shiken	examination	экзамен
事故	じこ	jiko	accident	авария
地震	じしん	jishin	earthquake	землетрясение
時代	じだい	jidai	era	эпоха
下着	したぎ	shitagi	underwear	нижнее белье
支度	したく・する	shitaku suru	to prepare	подготовка; сборы
	しっかり	shikkari	firmly;steadily	твердо ; неуклонно
失敗	しっぱい	shippai	failure;mistake	неудача; ошибка
辞典	じてん	jiten	dictionary	словарь
品物	しなもの	shinamono	goods	товары
	しばらく	shibaraku	little while	некоторое время
島	しま	shima	island	остров
市民	しみん	shimin	citizen	гражданин
事務所	じむしょ	jimusho	office	офис
社会	しゃかい	shakai	society;public	общество
社長	しゃちょう	shachou	company president	президент компании
	じゃま	jama	hindrance;intrusion	помеха; неудобство
	ジャム	jamu	jam	варенье
自由	じゆう	jiyuu	freedom	свобода
習慣	しゅうかん	shuukan	custom;manners	обычай; нравы
住所	じゅうしょ	juusho	an address;a residence	адрес ; место жительства
柔道	じゅうどう	juudou	judo	дзюдо
十分	じゅうぶん	juubun	enough	достаточно
出席	しゅっせき・する	shusseki suru	to attend	учавствовать; присутствовать
出発	しゅっぱつ・する	shuppatsu suru	to depart	выезжать; отправляться
趣味	しゅみ	shumi	hobby	хобби
準備	じゅんび・する	junbi suru	to prepare	подготавливать
紹介	しょうかい	shoukai	introduction	введение
小学校	しょうがっこう	shougakkou	elementary school	начальная школа
小説	しょうせつ	shousetsu	novel	роман
招待	しょうたい・する	shoutai suru	to invite	приглашать
承知	しょうち・する	shouchi suru	to consent	давать согласие
将来	しょうらい	shourai	future;prospects	будущее; перспективы
食事	しょくじ・する	shokuji suru	to have a meal	принятие пищи; еда
食料品	しょくりょうひん	shokuryouhin	groceries	бакалейные товары
女性	じょせい	josei	woman	женщина
知らせる	しらせる	shiraseru	to notify	уведомлять
調べる	しらべる	shiraberu	to investigate	исследовать
人口	じんこう	jinkou	population	население
神社	じんじゃ	jinja	Shinto shrine	синтоистский храм
親切	しんせつ	shinsetsu	kindness	доброта
心配	しんぱい・する	shinpai suru	to worry	беспокоиться
新聞社	しんぶんしゃ	shinbunsha	newspaper company	газетное издательство
水泳	すいえい	suiei	swimming	плавание
水道	すいどう	suidou	water supply	водоснабжение
	ずいぶん	zuibun	extremely	чрезвычайно
数学	すうがく	suugaku	mathematics;arithmetic	математика; арифметика
	スーツ	suutsu	suit	костюм
	スーツケース	suutsukeesu	suitcase	чемодан
過ぎる	すぎる	sugiru	to exceed	превышать
	すく	suku	to become empty	пустеть; быть пустым
	スクリーン	sukuriin	screen	экран
凄い	すごい	sugoi	terrific	потрясающий
進む	すすむ	susumu	to make progress	продвигаться; добиваться прогресса
	すっかり	sukkari	completely	полностью
	すっと	sutto	straight;all of a sudden	прямо; внезапно
	ステーキ	suteeki	steak	стейк
捨てる	すてる	suteru	to throw away	выбрасывать
	ステレオ	sutereo	stereo	стерео
砂	すな	suna	sand	песок
	すばらしい	subarashii	wonderful	замечательный
滑る	すべる	suberu	to slide;to slip	скользить ; скользить
隅	すみ	sumi	corner;nook	угол (внешний)
済む	すむ	sumu	to finish	заканчивать
	すり	suri	pickpocket	карманник
	すると	suruto	then	затем
生活	せいかつ・する	seikatsu suru	to live	жить; существовать
生産	せいさん・する	seisan suru	to produce	производить
政治	せいじ	seiji	politics;government	политика; правительство
西洋	せいよう	seiyou	western countries	западные страны
世界	せかい	sekai	the world	мир
席	せき	seki	seat	сиденье
説明	せつめい	setsumei	explanation	объяснение
背中	せなか	senaka	back of the body	спина
	ぜひ	zehi	without fail	обязательно
世話	せわ・する	sewa suru	to look after	заботиться
線	せん	sen	line	линия
	ぜんぜん	zenzen	not entirely (used in a negative sentence)	не полностью (используется c отрицанием)
戦争	せんそう	sensou	war	война
先輩	せんぱい	senpai	senior	старший товарищ
	そう	sou	really	итак
相談	そうだん・する	soudan suru	to discuss	обсуждать
育てる	そだてる	sodateru	to rear;to bring up	растить; воспитывать
卒業	そつぎょう	sotsugyou	graduation	выпускаться (из учебного заведения)
祖父	そふ	sofu	grandfather	дед
	ソフト	sofuto	soft	мягкий
祖母	そぼ	sobo	grandmother	бабушка
	それで	sorede	because of that	по этой причине
	それに	soreni	moreover	к тому же; вдобавок
	それほど	sorehodo	to that extent	настолько; так
	そろそろ	sorosoro	gradually;soon	постепенно; в ближайшее время
	そんな	sonna	that sort of	такого рода
	そんなに	sonnani	so much;like that	так много; как ; что
退院	たいいん・する	taiin suru	to leave hospital	выписываться из больницы
大学生	だいがくせい	daigakusei	university student	студент университета
大事	だいじ	daiji	important;valuable;serious matter	важно ; ценно; серьезное дело
大体	だいたい	daitai	generally	обычно
	たいてい	taitei	usually	обычно
	タイプ	taipu	type;style	тип ; стиль
大分	だいぶ	daibu	greatly	значительно
台風	たいふう	taifuu	typhoon	тайфун
倒れる	たおれる	taoreru	to break down	падать; валиться
	だから	dakara	so;therefore	так ; поэтому
確か	たしか	tashika	definite	определенный
足す	たす	tasu	to add a number	складывать (о числах)
訪ねる	たずねる	tazuneru	to visit	посещать
尋ねる	たずねる	tazuneru	to ask	спрашивать; разыскивать
正しい	ただしい	tadashii	correct	верный
畳	たたみ	tatami	Japanese straw mat	татами
立てる	たてる	tateru	to stand something up	стоять
建てる	たてる	tateru	to build	строить
例えば	たとえば	tatoeba	for example	например
棚	たな	tana	shelves	полка
楽しみ	たのしみ	tanoshimi	joy	радость
楽む	たのしむ	tanoshimu	to enjoy oneself	веселиться
	たまに	tamani	occasionally	иногда
為	ため	tame	in order to	для того; чтобы
	だめ	dame	no good	нельзя
足りる	たりる	tariru	to be enough	быть достаточчным
男性	だんせい	dansei	male	мужской пол
暖房	だんぼう	danbou	heating	отопление
血	ち	chi	blood	кровь
	チェック・する	chekku suru	to check	проверять
力	ちから	chikara	strength;power	сила; мощь
	ちっとも	chittomo	not at all (used with a negative verb)	совсем (с отрицанием)
	ちゃん	chan	suffix for familiar female person	именной суффикс (о знакомых женского пола)
注意	ちゅうい	chuui	caution	осторожность
中学校	ちゅうがっこう	chuugakkou	junior high school;middle school	средняя школа
注射	ちゅうしゃ	chuusha	injection	инъекция
駐車場	ちゅうしゃじょう	chuushajou	parking lot	стоянка для машин
地理	ちり	chiri	geography	география
捕まえる	つかまえる	tsukamaeru	to seize	схвавтить; поймать
	つき	tsuki	moon	луна
付く	つく	tsuku	to be attached	приклеивать; пислонять
漬ける	つける	tsukeru	to soak;to pickle	вымачивать; мариновать
都合	つごう	tsugou	circumstances;convenience	обстоятельства ; положение
伝える	つたえる	tsutaeru	to report	сообщать
続く	つづく	tsuzuku	to be continued	продолжать
続ける	つづける	tsuzukeru	to continue	продолжаться; следовать
包む	つつむ	tsutsumu	to wrap	оборачивать
妻	つま	tsuma	(humble) wife	(скромно)моя жена
	つもり	tsumori	intention	намерение
釣る	つる	tsuru	to fish	ловить рыбу
連れる	つれる	tsureru	to lead	вести
丁寧	ていねい	teinei	polite	вежливый
	テキスト	tekisuto	text;text book	текст; текст книги
適当	てきとう	tekitou	suitability	пригодность
	できるだけ	dekirudake	as much as possible	насколько возможно
手伝う	てつだう	tetsudau	to assist	помогать
	テニス	tenisu	tennis	теннис
手袋	てぶくろ	tebukuro	glove	перчатка
寺	てら	tera	temple	храм
点	てん	ten	point;dot	точка
店員	てんいん	tenin	shop assistant	продавец
天気予報	てんきよほう	tenkiyohou	weather forecast	прогноз погоды
電灯	でんとう	dentou	electric light	электрический свет
電報	でんぽう	denpou	telegram	телеграмма
展覧会	てんらんかい	tenrankai	exhibition	выставка
都	と	to	metropolitan	столица
道具	どうぐ	dougu	tool;means	инструмент ; средства
	とうとう	toutou	finally; after all	наконец ; в конце концов
動物園	どうぶつえん	doubutsuen	zoo	зоопарк
遠く	とおく	tooku	distant	далеко
通る	とおる	tooru	to go through	проходить
特に	とくに	tokuni	particularly;especially	в частности ; особенно
特別	とくべつ	tokubetsu	special	специальный
	とこや	tokoya	barber	парикмахер
途中	とちゅう	tochuu	on the way	в пути
特急	とっきゅう	tokkyuu	limited express train (faster than an express train)	специальный экспресс (быстрее, чем поезд-экспресс)
届ける	とどける	todokeru	to reach	достигать
泊まる	とまる	tomaru	to lodge at	останавливаться на ночь; ночевать
止める	とめる	tomeru	to stop something	останавливать
取り替える	とりかえる	torikaeru	to exchange	обменивать
泥棒	どろぼう	dorobou	thief	вор
	どんどん	dondon	more and more	все более и более
直す	なおす	naosu	to fix;to repair	исправлять ; чинить
直る	なおる	naoru	to be fixed;to be repaired	быть исправленным; выздоравливать
治る	なおる	naoru	to be cured;to heal	лечить; чинить
中々	なかなか	nakanaka	considerably	очень; весьма
泣く	なく	naku	to weep	плакать
無くなる	なくなる	nakunaru	to disappear;to get lost	исчезать; теряться
亡くなる	なくなる	nakunaru	to die	умирать
投げる	なげる	nageru	to throw or cast away	бросать;разбрасывать
	なさる	nasaru	(respectful) to do	(уважительно) делать
鳴る	なる	naru	to sound	звучать
	なるべく	narubeku	as much as possible	как можно больше
	なるほど	naruhodo	now I understand	теперь я понимаю; понятно
慣れる	なれる	nareru	to grow accustomed to	привыкать
	におい	nioi	a smell	запах
苦い	にがい	nigai	bitter	горький
二階建て	にかいだて	nikaidate	two storied	двухэтажный
逃げる	にげる	nigeru	to escape	бегать; убегать
日記	にっき	nikki	journal	журнал
入院	にゅういん・する	nyuuin suru	to hospitalise	госпитализировать
入学	にゅうがく・する	nyuugaku suru	to enter school or university	поступать в школу или университет
似る	にる	niru	to be similar	быть похожим
人形	にんぎょう	ningyou	doll; figure	кукла ; фигура
盗む	ぬすむ	nusumu	to steal	красть
塗る	ぬる	nuru	to paint;to plaster	рисовать; покрывать лаком
	ぬれる	nureru	to get wet	промокать
	ねだん	nedan	price	цена
熱	ねつ	netsu	fever	жар; температуа
	ねっしん	nesshin	enthusiasm	энтузиазм
寝坊	ねぼう	nebou	sleeping in late	человек, который спит допоздна
眠い	ねむい	nemui	sleepy	сонный
眠る	ねむる	nemuru	to sleep	спать
残る	のこる	nokoru	to remain	оставаться
	のど	nodo	throat	горло
乗り換える	のりかえる	norikaeru	to change between buses or trains	менять транспорт, пересаживаться
乗り物	のりもの	norimono	vehicle	автомобиль
葉	は	ha	leaf	лист (дерева)
場合	ばあい	baai	situation	ситуация
	パート	paato	part time	неполный рабочий день
倍	ばい	bai	double	двойной
拝見	はいけん・する	haiken suru	(humble) to look at	(скромно) смотреть
歯医者	はいしゃ	haisha	dentist	дантист
運ぶ	はこぶ	hakobu	to transport	переносить; тащить
始める	はじめる	hajimeru	to begin	начать
場所	ばしょ	basho	location	место
	はず	hazu	it should be so	наверное
恥ずかしい	はずかしい	hazukashii	embarrassed	смущенный
	パソコン	pasokon	personal computer	персональный компьютер
発音	はつおん	hatsuon	pronunciation	произношение
	はっきり	hakkiri	clearly	точно
花見	はなみ	hanami	cherry-blossom viewing	любование сакурой
林	はやし	hayashi	woods;forester	лес
払う	はらう	harau	to pay	платить
番組	ばんぐみ	bangumi	television or radio program	теле или радио программа
反対	はんたい	hantai	opposition	оппозиция; сопротивление
	ハンドバッグ	handobaggu	handbag　	сумка
日	ひ	hi	day; sun	день; солнце
火	ひ	hi	fire	огонь
	ピアノ	piano	piano	пианино
冷える	ひえる	hieru	to grow cold	охлаждаться
光	ひかり	hikari	light	свет
光る	ひかる	hikaru	to shine;to glitter	сиять ; блестеть
引き出し	ひきだし	hikidashi	drawer;drawing out	выдвижной ящик
引き出す	ひきだす	hikidasu	to withdraw	отозывать
	ひげ	hige	beard	борода
飛行場	ひこうじょう	hikoujou	airport	аэропорт
久しぶり	ひさしぶり	hisashiburi	after a long time	после долгого времени
美術館	びじゅつかん	bijutsukan	art gallery	художественная галерея
非常に	ひじょうに	hijouni	extremely	чрезвычайно
	びっくり・する	bikkuri suru	to be surprised	удивляться
引っ越す	ひっこす	hikkosu	to move house	переезжать на другую квартиру
必要	ひつよう	hitsuyou	necessary	необходимо
	ひどい	hidoi	awful	ужасный
開く	ひらく	hiraku	to open an event	открывать
	ビル	biru	building or bill	здание
昼間	ひるま	hiruma	daytime;during the day	день ; в течение дня
昼休み	ひるやすみ	hiruyasumi	noon break	полуденный перерыв
拾う	ひろう	hirou	to pick up;to gather	подобирать; собирать
	ファックス	fakkusu	fax	факс
増える	ふえる	fueru	to increase	увеличивать
深い	ふかい	fukai	deep	глубокий
複雑	ふくざつ	fukuzatsu	complexity;complication	сложный; запутанный
復習	ふくしゅう	fukushuu	revision	пересмотр
部長	ぶちょう	buchou	head of a section	заведующий отделом
普通	ふつう	futsuu	usually; or a train that stops at every station	обычный; простой
	ぶどう	budou	grapes	виноград
太る	ふとる	futoru	to become fat	толстеть
布団	ふとん	futon	Japanese bedding; futon	японское одело; футон
舟	ふね	fune	ship	корабль
不便	ふべん	fuben	inconvenience	неудобство
踏む	ふむ	fumu	to step on	наступать на
降り出す	ふりだす	furidasu	to start to rain	начинаться (о дожде)
	プレゼント	purezento	present	подарок
文化	ぶんか	bunka	culture	культура
文学	ぶんがく	bungaku	literature	литература
文法	ぶんぽう	bunpou	grammar	грамматика
別	べつ	betsu	different	другой
	ベル	beru	bell	колокольчик
変	へん	hen	strange	странный
返事	へんじ	henji	reply	ответ
貿易	ぼうえき	boueki	trade	торговля
放送	ほうそう・する	housou suru	to broadcast	транслировать
法律	ほうりつ	houritsu	law	закон
僕	ぼく	boku	I (used by males)	я (неформальный мужской ваиант)
星	ほし	hoshi	star	звезда
	ほど	hodo	extent	степень
	ほとんど	hotondo	mostly	главным образом
	ほめる	homeru	to praise	хвалить
翻訳	ほんやく	honyaku	translation	перевод
参る	まいる	mairu	(humble) to go;to come	(скромно) идти
負ける	まける	makeru	to lose	проигрывать
	まじめ	majime	serious	серьезно
	まず	mazu	first of all	в первую очередь
	または	mataha	or;otherwise	или же
間違える	まちがえる	machigaeru	to make a mistake	ошибаться
間に合う	まにあう	maniau	to be in time for	успевать
周り	まわり	mawari	surroundings	окрестности
回る	まわる	mawaru	to go around	ходить вокруг
漫画	まんが	manga	comic	манга; комиксы
真中	まんなか	mannaka	middle	самая середина
見える	みえる	mieru	to be in sight	быть на виду
湖	みずうみ	mizuumi	lake	озеро
味噌	みそ	miso	bean paste	мисо, паста из соевых бобов
見つかる	みつかる	mitsukaru	to be discovered	быть обнаруженным
見つける	みつける	mitsukeru	to discover	обнаружить
皆	みな	mina	everybody	все
港	みなと	minato	harbour	гавань
向かう	むかう	mukau	to face	к лицу
迎える	むかえる	mukaeru	to go out to meet	пойти навстречу
昔	むかし	mukashi	olden days; former	старину ; бывший
虫	むし	mushi	insect	насекомое
息子	むすこ	musuko	(humble) son	(скромно) сын
娘	むすめ	musume	(humble) daughter	(скромно) дочь
無理	むり	muri	impossible	невозможно
召し上がる	めしあがる	meshiagaru	(polite) to eat	(вежливо) есть
珍しい	めずらしい	mezurashii	rare	редкий
申し上げる	もうしあげる	moushiageru	(humble) to say;to tell	(скромно) говорить
