	あっ	a	ах
哀れ	あわれ	aware	жаль; печаль; горе
案	あん	an	план; проект
暗記	あんき	anki	запоминание напамять
安定	あんてい	antei	стабильность; равновесие
案内	あんない	annai	введение; руководство 
	あんなに	annani	постольку, до такой степени
	あんまり	anmari	не очень; не так много; остаток; остальные
胃	い	i	желудок
	いい	ii	хорошо
	よい	yoi	хорошо, хороший; приятным; порядке
いえ	いえ	ie	нет (то же как いいえ)
委員	いいん	iin	член комитета
言う	ゆう	yuu	говорить
意外	いがい	igai	неожиданный
行き	いき(ゆき)	iki (yuki)	идущий
息	いき	iki	дыхание 
勢い	いきおい	ikioi	сила; энергетика; дух
生き物	いきもの	ikimono	живое существо 
幾つ	いくつ	ikutsu	сколько?; сколько лет?
幾ら	いくら	ikura	сколько? 
	いけない	ikenai	не надо это делать; неправильно 
医師	いし	ishi	врач
意思	いし	ishi	намерение; цель
意志	いし	ishi	воля
維持	いじ	iji	поддержка; охрана
意識	いしき	ishiki	сознание 
異常	いじょう	ijou	странность; аномалия 
椅子	いす	isu	стул
泉	いずみ	izumi	источник; ключ; родник
	いずれ	izure	какой; который
以前	いぜん	izen	прежде; предыдущий
板	いた	ita	доска; доски
偉大	いだい	idai	величие
抱く	いだく	idaku	охватывать; обниматьть;
	いたずら	itazura	дразнить; шалость; трюк; шутка
	いただきます	itadakimasu	выражение благодарности перед едой
頂く	いただく	itadaku	получать; принимать пищу или пить (вежливо)
痛み	いたみ	itami	боль
至る	いたる	itaru	приезжать; прибывать
	いち	ichi	рынок; ярмарка
位置	いち	ichi	место; положение; расположение
一時	いちじ	ichiji	момент, время
一度に	いちどに	ichidoni	внезапно
市場	いちば	ichiba	рынок (как понятие)
一番	いちばん	ichiban	лучший; первый; номер один
	いつか	itsuka	когда-то; когда-нибудь 
一家	いっか	ikka	дом;семья; домохозяйство
一種	いっしゅ	isshu	вид; род; разнообразие
一瞬	いっしゅん	isshun	момент; мгновенно
一生	いっしょう	isshou	вся жизнь;
一層	いっそう	issou	еще больше; все более
一体	いったい	ittai	один объект; действительно?; как правило,
一致	いっち	icchi	совпадение; соглашение 
	いつでも	itsudemo	(в) любое время, всегда; никогда (с отр)
一般	いっぱん	ippan	в целом; всеобщее; обычный
一方	いっぽう	ippou	с другой стороны; в то время; в свою очередь,
	いつまでも	itsumademo	навсегда; вечно; на неопределенный срок
いつも	いつも	itsumo	всегда; обычно; никогда (с отрицанием)
移動	いどう	idou	миграция; движение
従兄弟	いとこ	itoko	двоюродный брат (мужского пола)
稲	いね	ine	рис (на корню)
居眠り	いねむり	inemuri	дремота
命	いのち	inochi	приказ; жизнь; судьба
違反	いはん	ihan	нарушение
衣服	いふく	ifuku	одежда
居間	いま	ima	гостиная (в западном стиле)
今に	いまに	imani	в скором времени, и даже сейчас
今にも	いまにも	imanimo	в любое время, и вскоре
否	いや	iya	нет 
以来	いらい	irai	с; отныне
依頼	いらい	irai	запрос; просьба; доверие
	いらいら	iraira	раздраженный
	いらっしゃい	irasshai	добро пожаловать
医療	いりょう	iryou	медицинское обслуживание; лечение
岩	いわ	iwa	скала
祝い	いわい	iwai	празднование; фестиваль
祝う	いわう	iwau	поздравлять; праздновать
言わば	いわば	iwaba	так сказать
	いわゆる	iwayuru	так называемый; так сказать
	インク	inku	чернила
印刷	いんさつ	insatsu	печать
印象	いんしょう	inshou	впечатление
引退	いんたい	intai	уходить в отставку
引用	いんよう	inyou	цитата
	ウイスキー	uisukii	виски
上	うわ	uwa	Верхняя; внешний; поверхность
魚	うお	uo	рыба
	うがい	ugai	полоскание; прополоскать рот
伺う	うかがう	ukagau	(вежливо) посетщать; спрашивать
受け取る	うけとる	uketoru	получать; принимать 
動かす	うごかす	ugokasu	двигаться 
兎	うさぎ	usagi	кролик; заяц 
牛	うし	ushi	крупный рогатоый скот; корова
失う	うしなう	ushinau	терять; расставаться с
後	うしろ	ushiro	позади
嘘	うそ	uso	ложь
疑う	うたがう	utagau	сомневаться; не доверять; подозревать
内	うち	uchi	внутри
宇宙	うちゅう	uchuu	вселенная; космос 
撃つ	うつ	utsu	атаковать; уничтожать
移す	うつす	utsusu	удалять; передавать; заражать
訴える	うったえる	uttaeru	подавать в суд; прибегнуть к; обратиться к
	うなる	unaru	стонать 
奪う	うばう	ubau	отнимать; захватывать
馬	うま	uma	лошадь; перевернутый слон (сеги)
うまい	うまい	umai	восхитительный; вкусный
生まれ	うまれ	umare	рождение; место рождения
梅	うめ	ume	слива; низкий (в системах трехуровневого рейтинга)
裏切る	うらぎる	uragiru	предавать 
	うるさい	urusai	шумный; громкий; суетливый
嬉しい	うれしい	ureshii	счастливый; радостный; приятный
売れる	うれる	ureru	продавать
噂	うわさ	uwasa	слухи; сплетни 
運	うん	un	состояние; удача
運転	うんてん	unten	движение; вождение
運動	うんどう	undou	движение; упражнение (физическое)
柄	え	e	рукоятка; рычаг
永遠	えいえん	eien	вечность; постоянство
永久	えいきゅう	eikyuu	вечность 
影響	えいきょう	eikyou	влияние; эффект
営業	えいぎょう	eigyou	бизнес; торговля 
衛星	えいせい	eisei	спутник
栄養	えいよう	eiyou	питание
笑顔	えがお	egao	улыбка
描く	えがく	egaku	рисовать; описывать
餌	えさ	esa	корм; приманкиа
	エネルギー	enerugii	энергия
得る	える(うる)	eru(uru)	получать
円	えん	en	круг, деньги
延期	えんき	enki	отсрочка 
演技	えんぎ	engi	игра; исполнение 
援助	えんじょ	enjo	помощь; поддержка
	エンジン	enjin	двигатель
演説	えんぜつ	enzetsu	речь
演奏	えんそう	ensou	спектакль; исполнение
遠慮	えんりょ	enryo	стеснительность; сдержанность 
御	お	o	уважительная приставка
老い	おい	oi	старость; старый человек 
追い付く	おいつく	oitsuku	обогонять; догонять 
王	おう	ou	король; правитель; монарх
追う	おう	ou	преследовать; бежать за
王様	おうさま	ousama	король
王子	おうじ	ouji	принц
応じる	おうじる	oujiru	ответить; принимать (предложение); выполнять
横断	おうだん	oudan	пересечение
終える	おえる	oeru	заканчивать
大いに	おおいに	ooini	очень; значительно
覆う	おおう	oou	скрывать; оборачивать; маскировать
	オーバー	oobaa	пальто; над
大家	おおや	ooya	богатая семья; знаменитая школа
丘	おか	oka	холм; возвышение
沖	おき	oki	открытое море
奥	おく	oku	интерьер; внутренняя часть
贈る	おくる	okuru	давать; отправлять
起こる	おこる	okoru	происходить
幼い	おさない	osanai	очень молодой; детский
収める	おさめる	osameru	платить; поставлять; принимать
	おじいさん	ojiisan	дед; пожилой мужчина
	おしゃべり	oshaberi	болтовня 
汚染	おせん	osen	загрязнение
	おそらく	osoraku	возможно
恐れる	おそれる	osoreru	бояться
恐ろしい	おそろしい	osoroshii	ужасный; страшный
お互い	おたがい	otagai	взаимный; обратный
穏やか	おだやか	odayaka	спокойный; тихий
劣る	おとる	otoru	отставать, быть хуже
お腹	おなか	onaka	желудок
鬼	おに	oni	черт; демон 
帯	おび	obi	пояс (японский, широкий)
お昼	おひる	ohiru	обед; полдень
	オフィス	ofisu	офис
溺れる	おぼれる	oboreru	тонуть; перен. предаваться чему-л.
	おまえ	omae	(разг) ты 
	おめでとう	omedetou	поздравляю
お目に掛かる	おめにかかる	omenikakaru	(вежливо) чтобы видеть, встречаться
思い出	おもいで	omoide	воспоминание
主に	おもに	omoni	в основном, в первую очередь
思わず	おもわず	omowazu	непреднамеренно; спонтанно
	おや	oya	родители
泳ぎ	およぎ	oyogi	плавание
	およそ	oyoso	примерно; как правило 
及ぼす	およぼす	oyobosu	оказывать; осуществлять
居る	おる	oru	быть (об одушевленном); существовать
下す	おろす	orosu	снижать; отпусткать вниз
降ろす	おろす	orosu	давать сойти; спскать
終	おわり	owari	конец
音	おん	on	звук 
恩	おん	on	долг благодарности
温暖	おんだん	ondan	тепло
温度	おんど	ondo	температура
可	か	ka	возможный
課	か	ka	счетчик для глав (книги)
	カー	kaa	автомобиль
	カード	kaado	карта
会	かい	kai	встреча;ассоциация; клуб
回	かい	kai	счетное слово для раундов, состязаний
害	がい	gai	травма; вред; повреждение
会員	かいいん	kaiin	член собрания
絵画	かいが	kaiga	картинка
海外	かいがい	kaigai	иностранный
会計	かいけい	kaikei	счета, финансы, бухгалтерия
解決	かいけつ	kaiketsu	разгадка; разрешение
会合	かいごう	kaigou	встреча; сборка
外交	がいこう	gaikou	дипломатия
開始	かいし	kaishi	старт; начало 
解釈	かいしゃく	kaishaku	объяснение; интерпретация
外出	がいしゅつ	gaishutsu	выход из дома; прогулка
改善	かいぜん	kaizen	улучшение
快適	かいてき	kaiteki	приятный; комфортный
回復	かいふく	kaifuku	восстановление (после болезни); улучшение
飼う	かう	kau	держать (животное); кормить
替える	かえる	kaeru	менять; заменять 
換える	かえる	kaeru	менять; заменять
香り	かおり	kaori	аромат; запах
画家	がか	gaka	художник 
抱える	かかえる	kakaeru	держать (в охапке, на руках)
価格	かかく	kakaku	цена; значение; стоимость
化学	かがく	kagaku	химия
輝く	かがやく	kagayaku	сиять; блестеть; сверкать
係	かかり	kakari	должностное лицо; обязанность; ответственное лицо
掛かる	かかる	kakaru	принять (например время, деньги); вешать
罹る	かかる	kakaru	страдать от
鍵	かぎ	kagi	ключ
限る	かぎる	kagiru	ограничивать; ограничиться
描く	かく	kaku	рисовать; изображать 
家具	かぐ	kagu	мебель
学	がく	gaku	наука; знание
額	がく	gaku	лоб 
覚悟	かくご	kakugo	готовность; решимость
確実	かくじつ	kakujitsu	определенность; надежность; обоснованность
学者	がくしゃ	gakusha	ученый
学習	がくしゅう	gakushuu	обучение
隠す	かくす	kakusu	скрывать 
拡大	かくだい	kakudai	увеличение; расширение
確認	かくにん	kakunin	утверждение; подтверждение
学問	がくもん	gakumon	занятия; учение
隠れる	かくれる	kakureru	скрываться; быть скрытым
影	かげ	kage	тень 
陰	かげ	kage	тень; теневая сторона
欠ける	かける	kakeru	не хватать
加減	かげん	kagen	сложение и вычитание; учет
過去	かこ	kako	прошлое; предыдущий
籠	かご	kago	корзина; клетка
囲む	かこむ	kakomu	окружать; окружить
火災	かさい	kasai	пожар 
貸し	かし	kashi	кредит; заем
菓子	かし	kashi	кондитерские изделия
家事	かじ	kaji	домашняя работа
賢い	かしこい	kashikoi	мудрый; умный
歌手	かしゅ	kashu	певец
数	かず	kazu	число; фигура
稼ぐ	かせぐ	kasegu	получать доход; зарабатывать
数える	かぞえる	kazoeru	считать
型	かた	kata	модель; стиль; форма; тип
肩	かた	kata	плечо
硬い	かたい	katai	твёрдый; жёсткий
方々	かたがた	katagata	люди; тут и там, везде
刀	かたな	katana	меч; катана 
語る	かたる	kataru	говорить; рассказывать
勝ち	かち	kachi	выигрывать; побждать
価値	かち	kachi	цена
	がっかり	gakkari	чувствуете разочарование; быть удрученным 
活気	かっき	kakki	энергия; живость
学期	がっき	gakki	школьный семестр
格好	かっこう	kakkou	форма; осанка; пригодность
活動	かつどう	katsudou	действие; активность
活用	かつよう	katsuyou	практическое использование
悲しむ	かなしむ	kanashimu	грустить; оплакивать; жалеть
必ずしも	かならずしも	kanarazushimo	(не) всегда; (не) обязательно 
	かなり	kanari	значительно; довольно; довольно
金	かね	kane	золото; деньги
金持ち	かねもち	kanemochi	богач
可能	かのう	kanou	возможно
株	かぶ	kabu	доля; акция; пень 
被る	かぶる	kaburu	надевать на голову; брать вину на себя
構う	かまう	kamau	беспокоиться; обращать внимание
我慢	がまん	gaman	терпение; настойчивость
上	かみ	kami	первый том; высокое качество; верхний
神	かみ	kami	бог
雷	かみなり	kaminari	гром
髪の毛	かみのけ	kaminoke	волосы (на голове)
科目	かもく	kamoku	школьный предмет; учебная программа 
	かもしれない	kamoshirenai	может быть; возможно
火曜	かよう	kayou	(сокр) вторник
空	から	kara	небо
柄	がら	gara	рукоять (меча); рукоятка
刈る	かる	karu	подстричь (волосы); косить (траву) 
彼等	かれら	karera	они (обычно о мужчинах)
皮	かわ	kawa	кожи; шкура; кора; оболочка
革	かわ	kawa	кожа
	かわいそう	kawaisou	бедный; жалкий
	かわいらしい	kawairashii	прекрасный; милы
缶	かん	kan	консервная банка; бидон
勘	かん	kan	восприятие; интуиция, шестое чувство
考え	かんがえ	kangae	идея; намерение
感覚	かんかく	kankaku	смысл; ощущение
観客	かんきゃく	kankyaku	аудитория; зрители
環境	かんきょう	kankyou	окружающая среда
歓迎	かんげい	kangei	Добро пожаловать, прием
観光	かんこう	kankou	экскурсия
観察	かんさつ	kansatsu	наблюдение; опрос
感じ	かんじ	kanji	чувство; впечатление
感謝	かんしゃ	kansha	благодарность
患者	かんじゃ	kanja	пациент
勘定	かんじょう	kanjou	расчет; подсчет; рассмотрение
感情	かんじょう	kanjou	эмоции; чувство; настроение
感じる	かんじる	kanjiru	чувствовать; испытать
感心	かんしん	kanshin	восхищение 
関心	かんしん	kanshin	беспокойство; интерес
関する	かんする	kansuru	относиться, быть связанным с
完成	かんせい	kansei	завершение; совершенство; достижение
完全	かんぜん	kanzen	совершенство; полнота
感動	かんどう	kandou	быть глубоко тронутым; волнение; впечатление; глубокие эмоции
監督	かんとく	kantoku	надзор; контроль 
管理	かんり	kanri	контроль; управление 
完了	かんりょう	kanryou	завершение; вывод
関連	かんれん	kanren	отношение; соединение 
議員	ぎいん	giin	член парламента
記憶	きおく	kioku	память; воспоминание
気温	きおん	kion	температура
機械	きかい	kikai	машина; механизм
議会	ぎかい	gikai	конгресс; парламент
期間	きかん	kikan	период; срок
機関	きかん	kikan	механизм; двигатель
企業	きぎょう	kigyou	предприятие 
効く	きく	kiku	быть эффективным
機嫌	きげん	kigen	юмор; характер; настроение
気候	きこう	kikou	климат
岸	きし	kishi	побережье; берег
生地	きじ	kiji	место рождения
記事	きじ	kiji	статья; новость; отчет; счет
技師	ぎし	gishi	инженер; техник
記者	きしゃ	kisha	репортер
傷	きず	kizu	рана; травма
期待	きたい	kitai	ожидание; ожидание; надежда
帰宅	きたく	kitaku	возвращение домой
貴重	きちょう	kichou	драгоценный; ценный
議長	ぎちょう	gichou	председатель
	きちんと	kichinto	точно;
	きつい	kitsui	плотный; близкий; тесный
気付く	きづく	kizuku	замечать; признавать
気に入る	きにいる	kiniiru	быть довольным; прийтись по вкусу
記入	きにゅう	kinyuu	запись; заполнение форм
記念	きねん	kinen	празднование; память
機能	きのう	kinou	функция; способность
気の毒	きのどく	kinodoku	сожаление; жаль
寄付	きふ	kifu	вклад; пожертвование
希望	きぼう	kibou	надеюжда; желание
基本	きほん	kihon	фундамент; основа; стандарт
決まり	きまり	kimari	поселение; заключение; регулирование; правило
気味	きみ	kimi	чувство; ощущение
奇妙	きみょう	kimyou	странно; любопытно
義務	ぎむ	gimu	пошлина; обязательство, ответственность
疑問	ぎもん	gimon	вопрос; проблема; сомнения; думаю
逆	ぎゃく	gyaku	обратный
	キャプテン	kyaputen	капитан
	キャンプ	kyanpu	лагерь
九	きゅう	kyuu	девять
旧	きゅう	kyuu	экс-
級	きゅう	kyuu	класс; класс; звание; школьный класс, категория
球	きゅう	kyuu	сфера; мяч
休暇	きゅうか	kyuuka	праздник; выходной день; отпуск
休憩	きゅうけい	kyuukei	перерыв; передышка
急激	きゅうげき	kyuugeki	внезапно; обрывисто 
吸収	きゅうしゅう	kyuushuu	поглощение; всасывание
救助	きゅうじょ	kyuujo	помощь; спасение
急速	きゅうそく	kyuusoku	быстро (например прогрессировать)
急に	きゅうに	kyuuni	вдруг
給料	きゅうりょう	kyuuryou	заработная плата
器用	きよう	kiyou	удобный
教科書	きょうかしょ	kyoukasho	учебник
競技	きょうぎ	kyougi	игра; матч, конкурс
行儀	ぎょうぎ	gyougi	манеры
供給	きょうきゅう	kyoukyuu	питания; предоставление
教師	きょうし	kyoushi	учитель (класс)
教授	きょうじゅ	kyouju	преподавание; обучение; профессор
強調	きょうちょう	kyouchou	акцент; усиление
共通	きょうつう	kyoutsuu	общность; сообщество
共同	きょうどう	kyoudou	сотрудничество; ассоциация; сотрудничество; совместное
恐怖	きょうふ	kyoufu	страх; тревога 
協力	きょうりょく	kyouryoku	сотрудничество
強力	きょうりょく	kyouryoku	сила; мощь
許可	きょか	kyoka	разрешение; утверждение
局	きょく	kyoku	управление; бюро
巨大	きょだい	kyodai	огромный; гигантский
嫌う	きらう	kirau	ненавидеть;
霧	きり	kiri	туман
切れ	きれ	kire	кусок; ломоть
切れる	きれる	kireru	хорошо резать, быть острым; рваться; прерываться
	キロ	kiro	(сокр) кило-; килограмм; километр; 10 ^ 3
記録	きろく	kiroku	запись;
議論	ぎろん	giron	аргумент; обсуждение; спор
金	きん	kin	золото
銀	ぎん	gin	 серебро
禁煙	きんえん	kinen	курение запрещено
金額	きんがく	kingaku	сумма денег
金庫	きんこ	kinko	сейф; касса
禁止	きんし	kinshi	запрет;
金銭	きんせん	kinsen	деньги; наличные
金属	きんぞく	kinzoku	металл
近代	きんだい	kindai	текущий день
緊張	きんちょう	kinchou	напряженность; психическое напряжение; нервозность
筋肉	きんにく	kinniku	мышцы; сухожилия
金融	きんゆう	kinyuu	денежное обращение; кредитная ситуация
金曜	きんよう	kinyou	(сокр) пятница
九	く	ku	девять
句	く	ku	фраза
食う	くう	kuu	есть (грубый мужской вариант)
偶然	ぐうぜん	guuzen	случайно; неожиданно 
臭い	くさい	kusai	плохой запах; зловоние
鎖	くさり	kusari	цепь
腐る	くさる	kusaru	гнить 
癖	くせ	kuse	привычка (часто плохая); особенность
管	くだ	kuda	труба
具体	ぐたい	gutai	конкретность
下さる	くださる	kudasaru	(вежливо) давать 
下り	くだり	kudari	уезжать из Токио 
苦痛	くつう	kutsuu	боль; страдание
	ぐっすり	gussuri	крепко спать
区別	くべつ	kubetsu	различие; дифференциация; классификация
組	くみ	kumi	класс; группа; команда; набор
組合	くみあい	kumiai	ассоциация; союз
組む	くむ	kumu	собирать
曇	くもり	kumori	облачность; облако
位	くらい	kurai	класс; звание
暮らし	くらし	kurashi	проживание; средства к существовани
	クラシック	kurashikku	классический 
暮らす	くらす	kurasu	жить; ладить
	グラス	gurasu	стекло; трава
	グランド	gurando	великий 
	クリーム	kuriimu	крем
繰り返す	くりかえす	kurikaesu	повторять; делать что-то снова
	クリスマス	kurisumasu	рождество
狂う	くるう	kuruu	соходить с ума 
	グループ	guruupu	группа
苦しい	くるしい	kurushii	болезненный; мчительный
苦しむ	くるしむ	kurushimu	страдать; мучиться
暮れ	くれ	kure	конец года; закат; сумерки 
苦労	くろう	kurou	неприятности; трудности
加える	くわえる	kuwaeru	добавить; подводить итоги; добавлять
詳しい	くわしい	kuwashii	знать очень хорошо; подробный; точный
加わる	くわわる	kuwawaru	присоединять; увеличить; набирать (влияние)
訓	くん	kun	кунное чтение китайский символ
軍	ぐん	gun	армия; сила; войска
軍隊	ぐんたい	guntai	армия; войска
訓練	くんれん	kunren	практика, обучение
下	げ	ge	ниже; под
計	けい	kei	план
敬意	けいい	keii	уважение; честь
経営	けいえい	keiei	управление; администрация
計画	けいかく	keikaku	План; проект; график; схема; программа
景気	けいき	keiki	дела; положение дел
経験	けいけん	keiken	опыт
傾向	けいこう	keikou	тенденция; наклон
警告	けいこく	keikoku	предупреждение; совет
計算	けいさん	keisan	расчет; расплата
掲示	けいじ	keiji	уведомление; бюллетень
刑事	けいじ	keiji	уголовное дело; детектив
芸術	げいじゅつ	geijutsu	искусство
契約	けいやく	keiyaku	контракт; соглашение
経由	けいゆ	keiyu	идти по пути; через
	ケース	keesu	дело
	ゲーム	geemu	игра
怪我	けが	kega	травма 
劇	げき	geki	драма; игра
劇場	げきじょう	gekijou	театр;
化粧	けしょう	keshou	макияж 
	けち	kechi	скупость; скряга 
結果	けっか	kekka	результат; следствиее
欠陥	けっかん	kekkan	дефект; вина; дефицит
結局	けっきょく	kekkyoku	в конечном счете,
決心	けっしん	kesshin	определение; разрешение
欠席	けっせき	kesseki	отсутствие; непосещение
決定	けってい	kettei	решение, определение
欠点	けってん	ketten	неисправность; дефект; слабость
月曜	げつよう	getsuyou	понедельник
結論	けつろん	ketsuron	вывод
煙	けむり	kemuri	дым 
券	けん	ken	билет; купон; удостоверение
県	けん	ken	префектура
軒	けん	ken	карниз
喧嘩	けんか	kenka	ссора; драка 
見解	けんかい	kenkai	мнение; точка зрения
限界	げんかい	genkai	ограничивать 
現金	げんきん	genkin	наличные деньги 
言語	げんご	gengo	язык
健康	けんこう	kenkou	здоровье; полезный
検査	けんさ	kensa	осмотр, проверка (например завода); экспертиза
現在	げんざい	genzai	современность 
現実	げんじつ	genjitsu	реальность
現象	げんしょう	genshou	явление
現状	げんじょう	genjou	текущее состояние; существующее положение; статус-кво
建設	けんせつ	kensetsu	строительство; создание
現代	げんだい	gendai	в настоящее время; современность 
建築	けんちく	kenchiku	строительство; архитектура
見当	けんとう	kentou	найти; цель; оценка; думаю, около
検討	けんとう	kentou	рассмотрение, изучение, исследование
現場	げんば	genba	фактическое место;место преступления
憲法	けんぽう	kenpou	конституция
権利	けんり	kenri	сторон; привилегия
後	ご	go	потом, с тех пор, в будущем
語	ご	go	язык; слово
恋	こい	koi	любовь; страсть
濃い	こい	koi	густой (цвет); плотный (о веществе)
恋人	こいびと	koibito	любовник; любимый(ая)
幸運	こううん	kouun	удача 
講演	こうえん	kouen	лекция 
効果	こうか	kouka	эффект; эффективность; результат
硬貨	こうか	kouka	монета
高価	こうか	kouka	высокая цена
豪華	ごうか	gouka	великолепие; пышность 
合格	ごうかく	goukaku	успешное прохождения (например экзамена); соответствие требованиям
交換	こうかん	koukan	обмен; взаимность
航空	こうくう	koukuu	авиация; летать
光景	こうけい	koukei	сцена 
合計	ごうけい	goukei	общая сумма
攻撃	こうげき	kougeki	атака; забастовка; наступление; порицание
貢献	こうけん	kouken	вклад; услуги
広告	こうこく	koukoku	реклама
交際	こうさい	kousai	компания; дружба; ассоциация; общество; знакомство
後者	こうしゃ	kousha	последний
工場	こうば	kouba	завод; мастерская
構成	こうせい	kousei	организация; состав
高速	こうそく	kousoku	высокая скорость
行動	こうどう	koudou	действие; поведение 
強盗	ごうとう	goutou	грабеж; взлом
幸福	こうふく	koufuku	счастье 
公平	こうへい	kouhei	справедливость; беспристрастность
候補	こうほ	kouho	кандидатура
考慮	こうりょ	kouryo	рассмотрение; учето
越える	こえる	koeru	превышать; пересекать;
	コーチ	koochi	тренер
	コード	koodo	код 
氷	こおり	koori	лед 
凍る	こおる	kooru	замораживать; застывать
	ゴール	gooru	цель
誤解	ごかい	gokai	недоразумение
語学	ごがく	gogaku	изучение языков
呼吸	こきゅう	kokyuu	дыхание; дыхание
故郷	こきょう	kokyou	родной город; родина 
極	ごく	goku	очень
国語	こくご	kokugo	национальный язык
黒板	こくばん	kokuban	классная доска
克服	こくふく	kokufuku	подчинение; завоевание
国民	こくみん	kokumin	национальность; люди
穀物	こくもつ	kokumotsu	зерна; зерновые
ここ	ここ	koko	здесь
腰	こし	koshi	бедро
故障	こしょう	koshou	авария; выход из строя
個人	こじん	kojin	личность; частное лицо; личный 
越す	こす	kosu	переходить
国家	こっか	kokka	государство; страна; нация
国会	こっかい	kokkai	парламент; конгресс
国境	こっきょう	kokkyou	государственная граница
骨折	こっせつ	kossetsu	перелом кости
小包	こづつみ	kozutsumi	посылка
事	こと	koto	вещь; дело; факт; обстоятельства
異なる	ことなる	kotonaru	отличаться; варьироватьcz
諺	ことわざ	kotowaza	пословица 
断る	ことわる	kotowaru	отказаться; снижаться; уволять
粉	こな	kona	мука;порошок
この	この	kono	это
好み	このみ	konomi	симпатия; вкус; выбор
好む	このむ	konomu	нравиться; предпочитать
	コピー	kopii	копия 
塵	ごみ	gomi	пыль; грязь
小麦	こむぎ	komugi	пшеница
	ごめんなさい	gomennasai	прошу прощения; извините
小屋	こや	koya	кабина; конура для животного
	これら	korera	эти
頃	ころ	koro	Время, около; к; примерно (время)
殺す	ころす	korosu	убивать
転ぶ	ころぶ	korobu	падать; скатываться
今回	こんかい	konkai	теперь; на этот раз 
今後	こんご	kongo	отныне; далее
混雑	こんざつ	konzatsu	путаница; хаос
	こんなに	konnani	так, как это, в этом случае
困難	こんなん	konnan	Трудности; бедствия
今日	こんにち	konnichi	сегодня; этот день
	コンピューター	konpyuutaa	компьютер
婚約	こんやく	konyaku	помолвка
混乱	こんらん	konran	хаос; путаница; беспорядок
差	さ	sa	разница; изменение
	サービス	saabisu	обслуживание; система поддержки
際	さい	sai	по случаю; по обстоятельствам
最高	さいこう	saikou	самый высокий; наиболее
財産	ざいさん	zaisan	собственность; активы
最終	さいしゅう	saishuu	самый последний
最中	さいちゅう	saichuu	в середине
最低	さいてい	saitei	самый низкий; худший
才能	さいのう	sainou	талант, способность
裁判	さいばん	saiban	суд
材料	ざいりょう	zairyou	ингредиенты, материалы
幸い	さいわい	saiwai	счастье; блаженство
	サイン	sain	автограф; знак 
境	さかい	sakai	граница; предел
逆らう	さからう	sakarau	идти против; противостоять; ослушаться; бросить вызов
盛り	さかり	sakari	расцвет; разгар
作業	さぎょう	sagyou	работа; производство 
昨	さく	saku	прошлый
作品	さくひん	sakuhin	результат производства; товары
作物	さくもつ	sakumotsu	производить (например сельскохозяйственное); культуры
桜	さくら	sakura	вишня
酒	さけ	sake	алкоголь; саке
叫ぶ	さけぶ	sakebu	кричать; плакать
避ける	さける	sakeru	избегать; предотвращать
支える	ささえる	sasaeru	поддерживать; подпирать
指す	さす	sasu	указывать
座席	ざせき	zaseki	сиденье
誘う	さそう	sasou	приглашать; спрашивать; зазывать
札	さつ	satsu	этикетка; билет; купюра
作家	さっか	sakka	автор, писатель; художник
作曲	さっきょく	sakkyoku	сочинение (музыки)
	ざっと	zatto	примерно, в круглых цифрах
	さっぱり	sappari	чувство обновления; чувствуя облегчение
	さて	sate	хорошо, а теперь;, после чего
