会う	あう	au	встречать
果物	くだもの	kudamono	фрукты
口	くち	kuchi	рот 
靴	くつ	kutsu	обувь
靴下	くつした	kutsushita	носки
国	くに	kuni	страна
曇り	くもり	kumori	облачная погода
曇る	くもる	kumoru	затянуться облаками; стать тусклым
暗い	くらい	kurai	мрачный; темный
	クラス	kurasu	класс
	グラム	guramu	грамм
来る	くる	kuru	приехать
車	くるま	kuruma	автомобиль; машина
黒(い)	くろ(い)	kuro(i)	черный
警官	けいかん	keikan	полицейский
今朝	けさ	kesa	сегодня утром
消す	けす	kesu	стирать ; выключать питание
結構	けっこう	kekkou	великолепно ; достаточно
結婚	けっこん	kekkon	брак
月曜日	げつようび	getsuyoubi	понедельник
玄関	げんかん	genkan	прихожая
元気	げんき	genki	здоровье; бодрость; энергия
五	ご	go	пять
公園	こうえん	kouen	парк
交差点	こうさてん	kousaten	пересечение; перекресток
紅茶	こうちゃ	koucha	черный чай
交番	こうばん	kouban	полицейский пост (будка)
声	こえ	koe	голос
	コート	kooto	пальто ; теннисный корт
	コーヒー	koohii	кофе
	ここ	koko	здесь
今日は		こんにちは		konnichiwa	добрый день
今晩は		こんばんは		konbanwa	добрый вечер
午後	ごご	gogo	после полудня
九日	ここのか	kokonoka	девятый день месяца
九つ	ここのつ	kokonotsu	девять
午前	ごぜん	gozen	утро
答える	こたえる	kotaeru	отвечать
	こちら	kochira	этот человек; эта сторона
	こっち	kocchi	этот человек; эта сторона
	コップ	koppu	чашка
今年	ことし	kotoshi	этот год
言葉	ことば	kotoba	слово ; язык
子供	こども	kodomo	ребенок
	この	kono	это
御飯	ごはん	gohan	вареный рис ; еда
	コピーする	kopiisuru	копировать
困る	こまる	komaru	быть в затруднении; быть в трудном положении
	これ	kore	это
今月	こんげつ	kongetsu	этот месяц
今週	こんしゅう	konshuu	эта неделя
	こんな	konna	такие
今晩	こんばん	konban	этот вечер; добрый вечер
	さあ	saa	так; хорошо ...
財布	さいふ	saifu	бумажник
魚	さかな	sakana	рыба
先	さき	saki	верхушка; первенство; далее; прежний; будущее
咲く	さく	saku	цвести
作文	さくぶん	sakubun	состав ; письмо
差す	さす	sasu	открывать (зонт)
雑誌	ざっし	zasshi	журнал
砂糖	さとう	satou	сахар
寒い	さむい	samui	холодный (о погоде)
さ来年	さらいねん	sarainen	через год
	さん	san	Г-н или г-жа
三	さん	san	три
散歩	さんぽする	sanposuru	прогуливаться
	さようなら	sayounara	прощай
四	し / よん	shi / yon	четыре
侍	さむらい	samurai	самурай ; воин 
塩	しお	shio	соль
	しかし	shikashi	однако; но
時間	じかん	jikan	время
仕事	しごと	shigoto	работа
辞書	じしょ	jisho	словарь
静か	しずか	shizuka	тихо
下	した	shita	ниже
七	しち / なな	shichi / nana	семь
質問	しつもん	shitsumon	вопрос
自転車	じてんしゃ	jitensha	велосипед
自動車	じどうしゃ	jidousha	автомобиль
死ぬ	しぬ	shinu	умирать
字引	じびき	jibiki	словарь
自分	じぶん	jibun	я; сам
閉まる	しまる	shimaru	быть закрытым
閉める	しめる	shimeru	закрывать
締める	しめる	shimeru	затягивать; завязывать
	じゃ/じゃあ	ja/jaa	ну; тогда ...
写真	しゃしん	shashin	фотография
	シャツ	shatsu	рубашка
	シャワー	shawaa	душ
十	じゅう とお	juu too	десять
授業	じゅぎょう	jugyou	урок ; класс работы
宿題	しゅくだい	shukudai	домашнее задание
上手	じょうず	jouzu	искусный
丈夫	じょうぶ	joubu	прочный; долговечный
	しょうゆ	shouyu	соевый соус
食堂	しょくどう	shokudou	столовая
知る	しる	shiru	знать
白(い)	しろ(い)	shiro(i)	белый
新聞	しんぶん	shinbun	газета
水曜日	すいようび	suiyoubi	среда
吸う	すう	suu	вдыхать;курить ; сосать
	スカート	sukaato	юбка
好き	すき	suki	приятный; тот что нравится
少ない	すくない	sukunai	несколько; немного
	すぐに	suguni	немедленно
少し	すこし	sukoshi	немного
涼しい	すずしい	suzushii	прохладный; освежающий
	ストーブ	sutoobu	нагреватель
	スプーン	supuun	ложка
	スポーツ	supootsu	спорт
	ズボン	zubon	брюки
住む	すむ	sumu	жить; проживать
	スリッパ	surippa	тапки
	する	suru	сделать
座る	すわる	suwaru	сидеть
背	せ	se	высота; рост
生徒	せいと	seito	ученик
	セーター	seetaa	свитер ; джемпер
	せっけん	sekken	экономика
背広	せびろ	sebiro	деловой костюм
狭い	せまい	semai	узкий
	ゼロ	zero	нулевой
千	せん	sen	тысяча
先月	せんげつ	sengetsu	прошлый месяц
先週	せんしゅう	senshuu	прошлая неделя
先生	せんせい	sensei	учитель; врач
洗濯	せんたく	sentaku	мойка
全部	ぜんぶ	zenbu	все
掃除	そうじする	soujisuru	чистить; подметать
	そうして/そして	soushite/soshite	и; таким образом
	そこ	soko	там
	そちら(そっち)	sochira(socchi)	место, где вы живёте;у вас
外	そと	soto	вне
	その	sono	этот
	そば	soba	рядом ; рядом
空	そら	sora	небо
	それ	sore	это
	それから	sorekara	затем; с тех пор: после этого
	それでは	soredeha	значит; раз так; в таком случае
大学	だいがく	daigaku	университет
大使館	たいしかん	taishikan	посольство
大丈夫	だいじょうぶ	daijoubu	все в порядке
大好き	だいすき	daisuki	очень нравится; любимый; излюбленный
大切	たいせつ	taisetsu	важный
台所	だいどころ	daidokoro	кухня
	たいへん	taihen	очень
	たいへん	taihen	сложная ситуация
高い	たかい	takai	высокий; дорогой
	たくさん	takusan	много
	タクシー	takushii	такси
出す	だす	dasu	выходить
立つ	たつ	tatsu	стоять
	たて	tate	длина; ширина
建物	たてもの	tatemono	здание
楽しい	たのしい	tanoshii	приятный
頼む	たのむ	tanomu	просить; запрашивать
	たばこ	tabako	табак; сигареты
	たぶん	tabun	вероятно
食べ物	たべもの	tabemono	еда
食べる	たべる	taberu	есть
卵	たまご	tamago	яйцо
誰	だれ	dare	кто
誰	だれか	dareka	кто-то
誕生日	たんじょうび	tanjoubi	день рождения
	だんだん	dandan	постепенно
小さい/小さな	ちいさい/ちいさな	chiisai/chiisana	маленький
近い	ちかい	chikai	около
違う	ちがう	chigau	отличаться
近く	ちかく	chikaku	около
地下鉄	ちかてつ	chikatetsu	метро
地図	ちず	chizu	карта
茶色	ちゃいろ	chairo	коричневый
	ちゃわん	chawan	чаша для риса
	ちょうど	choudo	точно
	ちょっと	chotto	немножко; чуточку
一日	ついたち	tsuitachi	первое число месяца
使う	つかう	tsukau	использовать
疲れる	つかれる	tsukareru	уставать
次	つぎ	tsugi	следующий
着く	つく	tsuku	прибывать, приезжать
机	つくえ	tsukue	стол
作る	つくる	tsukuru	делать, изготовлять
	つける	tsukeru	 включать
勤める	つとめる	tsutomeru	работать на кого-то
	つまらない	tsumaranai	скучный
冷たい	つめたい	tsumetai	холодный; бесстрастный
強い	つよい	tsuyoi	сильный
手	て	te	рука
	テープ	teepu	лента
	テーブル	teeburu	стол
	テープレコーダー	teepurekoodaa	магнитофон
出かける	でかける	dekakeru	выходить
手紙	てがみ	tegami	письмо
	できる	dekiru	получаться; мочь
出口	でぐち	deguchi	выход
	テスト	tesuto	тест
	では	deha	значит; в таком случае; итак
	デパート	depaato	универмаг
	でも	demo	но
出る	でる	deru	появляться ; выходить
	テレビ	terebi	телевидение
天気	てんき	tenki	погода
電気	でんき	denki	электричество; электрический свет
電車	でんしゃ	densha	электропоезд
電話	でんわ	denwa	телефон
戸	と	to	дверь (в японском стиле)
	ドア	doa	дверь (в западном стиле)
	トイレ	toire	туалет
	どう	dou	как ; каким образом
	どうして	doushite	по какой причине; почему
	どうぞ	douzo	пожалуйста
動物	どうぶつ	doubutsu	животное
	どうも	doumo	спасибо
遠い	とおい	tooi	далеко
十日	とおか	tooka	десятый день месяца
時々	ときどき	tokidoki	иногда
時計	とけい	tokei	часы 
	どこ	doko	где
所	ところ	tokoro	место
年	とし	toshi	год
図書館	としょかん	toshokan	библиотека
	どちら(どっち)	dochira(docchi)	какой из двух; который
	とても	totemo	очень
	どなた	donata	кто
隣	となり	tonari	рядом
	どの	dono	который
飛ぶ	とぶ	tobu	летать; прыгать
止まる	とまる	tomaru	останавливаться
友達	ともだち	tomodachi	друг
土曜日	どようび	doyoubi	суббота
鳥	とり	tori	птица
とり肉	とりにく	toriniku	куриное мясо
取る	とる	toru	брать
撮る	とる	toru	делать снимок
	どれ	dore	который (из трех или более)
	ナイフ	naifu	нож
中	なか	naka	средний; середина
長い	ながい	nagai	долго
鳴く	なく	naku	издавать звук (о животном: мяукать, квакать)
無くす	なくす	nakusu	терять
	なぜ	naze	почему
夏	なつ	natsu	лето
夏休み	なつやすみ	natsuyasumi	летние каникулы
	など	nado	и т.д.
七つ	ななつ	nanatsu	семь
七日	なのか	nanoka	седьмой день месяца
名前	なまえ	namae	название; имя
習う	ならう	narau	узнавать; учиться
並ぶ	ならぶ	narabu	выстраиваться ; чтобы стоять в очереди
並べる	ならべる	naraberu	выстраиваться ; чтобы настроить
	なる	naru	становиться
何	なん/なに	nan/nani	что
二	に	ni	два
賑やか	にぎやか	nigiyaka	шумный ; оживленный
肉	にく	niku	мясо
西	にし	nishi	запад
日曜日	にちようび	nichiyoubi	воскресенье
荷物	にもつ	nimotsu	багаж
日本	にっぽん(にほん)	nippon	Япония
	ニュース	nyuusu	новости
庭	にわ	niwa	сад
脱ぐ	ぬぐ	nugu	снимать одежду
温い	ぬるい	nurui	чуть теплый
	ネクタイ	nekutai	галстук
猫	ねこ	neko	кошка
寝る	ねる	neru	ложиться спать
	ノート	nooto	ноутбук; тетрадь
登る	のぼる	noboru	подниматься
飲み物	のみもの	nomimono	напиток
飲む	のむ	nomu	пить
乗る	のる	noru	пересааживаться (о транспорте) ; ездить
歯	は	ha	зуб
	パーティー	paatii	партия
	はい	hai	да
灰皿	はいざら	haizara	пепельница
入る	はいる	hairu	ввести ; чтобы содержать
葉書	はがき	hagaki	открытка
	はく	haku	надевать (брюки, носки, юбку)
箱	はこ	hako	коробка
橋	はし	hashi	мост
	はし	hashi	палочки для еды
始まる	はじまる	hajimaru	начать
初め/始め	はじめ	hajime	начало
初めて	はじめて	hajimete	впервые
走る	はしる	hashiru	бегать
	バス	basu	автобус
	バター	bataa	масло
二十歳	はたち	hatachi	20 лет; 20-й год
働く	はたらく	hataraku	работать
八	はち	hachi	восемь
二十日	はつか	hatsuka	двадцатый день месяца
花	はな	hana	цветок
鼻	はな	hana	нос
話	はなし	hanashi	обсуждение ; история
話す	はなす	hanasu	говорить
早い	はやい	hayai	рано
速い	はやい	hayai	быстро
春	はる	haru	весна
貼る	はる	haru	наклеивать; покрывать
晴れ	はれ	hare	ясная погода
晴れる	はれる	hareru	проясняться (о погоде)
半	はん	han	половина
晩	ばん	ban	вечер
	パン	pan	хлеб
	ハンカチ	hankachi	носовой платок
番号	ばんごう	bangou	число
晩御飯	ばんごはん	bangohan	ужин
半分	はんぶん	hanbun	полминуты
東	ひがし	higashi	восток
引く	ひく	hiku	тянуть
弾く	ひく	hiku	играть на  струнном музыкальном инструменте и на фортепиано
低い	ひくい	hikui	низкий
飛行機	ひこうき	hikouki	самолет
左	ひだり	hidari	лево
人	ひと	hito	человек
一つ	ひとつ	hitotsu	один
一月	ひとつき	hitotsuki	один месяц
一人	ひとり	hitori	один человек
暇	ひま	hima	свободное время
百	ひゃく	hyaku	сто
病院	びょういん	byouin	больница
病気	びょうき	byouki	болезнь
昼	ひる	hiru	полдень; день
昼御飯	ひるごはん	hirugohan	обеда
広い	ひろい	hiroi	просторный ; широкий
	フィルム	firumu	фото, кино плёнка; фильм
封筒	ふうとう	fuutou	конверт
	プール	puuru	бассейн
	フォーク	fooku	вилка
吹く	ふく	fuku	дуть; выдувать; играть (на духовом инструменте)
服	ふく	fuku	одежда
二つ	ふたつ	futatsu	два
豚肉	ぶたにく	butaniku	свинина
二人	ふたり	futari	два человека
二日	ふつか	futsuka	второй день месяца
太い	ふとい	futoi	жирный; толстый
冬	ふゆ	fuyu	зима
降る	ふる	furu	идти (о дожде или снеге)
古い	ふるい	furui	старый (не используется о людях)
	ふろ	furo	ванна
文章	ぶんしょう	bunshou	художественный текст; литературный стиль
	ページ	peeji	страница
下手	へた	heta	неумелый
	ベッド	beddo	кровать
	ペット	petto	домашнее животное
部屋	へや	heya	номер
辺	へん	hen	площадь
	ペン	pen	ручка
勉強	べんきょうする	benkyousuru	учиться
便利	べんり	benri	полезно ; удобно
帽子	ぼうし	boushi	шляпа
	ボールペン	boorupen	шариковая ручка
	ほか	hoka	другой; остальные
	ポケット	poketto	карман
欲しい	ほしい	hoshii	хотеть
	ポスト	posuto	почтовый ящик; должность
細い	ほそい	hosoi	тонкий
	ボタン	botan	кнопка
	ホテル	hoteru	отель
本	ほん	hon	книга
本棚	ほんだな	hondana	книжные полки
	ほんとう	hontou	правда
毎朝	まいあさ	maiasa	каждое утро
毎月	まいげつ/まいつき	maigetsu/maitsuki	каждый месяц
毎週	まいしゅう	maishuu	каждая неделя
毎日	まいにち	mainichi	каждый день
毎年	まいねん/まいとし	mainen/maitoshi	каждый год
毎晩	まいばん	maiban	каждая ночь
前	まえ	mae	до; перед
曲る	まがる	magaru	сгинать; поворачивать
	まずい	mazui	неприятный
	また	mata	снова
	まだ	mada	все еще; до сих пор
町	まち	machi	город; город
待つ	まつ	matsu	ждать
	まっすぐ	massugu	прямо; вперед
	マッチ	macchi	матч
窓	まど	mado	окно
丸い/円い	まるい	marui	круглый ; круговой
万	まん	man	десять тысяч
万年筆	まんねんひつ	mannenhitsu	авторучка
磨く	みがく	migaku	чистить зубы ; полировать
右	みぎ	migi	правая сторона
短い	みじかい	mijikai	короткий
水	みず	mizu	вода
店	みせ	mise	магазин
見せる	みせる	miseru	показать
道	みち	michi	улица
三日	みっか	mikka	третий день месяца
三つ	みっつ	mittsu	три
緑	みどり	midori	зеленый; трава
皆さん	みなさん	minasan	все
南	みなみ	minami	юг
耳	みみ	mimi	ухо
見る/観る	みる	miru	смотреть
	みんな	minna	все
六日	むいか	muika	шестой день месяца
向こう	むこう	mukou	вон там
難しい	むずかしい	muzukashii	трудный
六つ	むっつ	muttsu	шесть
村	むら	mura	деревня
目	め	me	глаз
	メートル	meetoru	метр
眼鏡	めがね	megane	очки
	もう	mou	уже
もう一度	もういちど	mouichido	снова
木曜日	もくようび	mokuyoubi	четверг
持つ	もつ	motsu	провести
	もっと	motto	более
物	もの	mono	вещь
門	もん	mon	ворота
問題	もんだい	mondai	проблема
八百屋	やおや	yaoya	овощная лавка
野菜	やさい	yasai	овощи
易しい	やさしい	yasashii	легко; просто
安い	やすい	yasui	дешево
休み	やすみ	yasumi	отдых; выходной
休む	やすむ	yasumu	отдыхать
八つ	やっつ	yattsu	восемь
山	やま	yama	гора
	やる	yaru	делать
夕方	ゆうがた	yuugata	вечер
夕飯	ゆうはん	yuuhan	ужин
郵便局	ゆうびんきょく	yuubinkyoku	почта
昨夜	ゆうべ	yuube	вчера вечером
有名	ゆうめい	yuumei	известный
雪	ゆき	yuki	снег
行く	ゆく	yuku	идти
	ゆっくりと	yukkurito	медленно
八日	ようか	youka	восемь дней ; восьмой день месяца
洋服	ようふく	youfuku	европейская одежда
	よく	yoku	умело; хорошо
横	よこ	yoko	ширина;боковая сторона; горизонтально
四日	よっか	yokka	четыре дня ; Четвертая день месяца
四つ	よっつ	yottsu	четыре
呼ぶ	よぶ	yobu	кричать ; приглашать
読む	よむ	yomu	читать
夜	よる	yoru	вечер; ночь
弱い	よわい	yowai	слабый
来月	らいげつ	raigetsu	следующий месяц
来週	らいしゅう	raishuu	на следующей неделе
来年	らいねん	rainen	в следующем году
	ラジオ	rajio	радио
	ラジカセ / ラジオカセット	rajikase / rajiokasetto	магнитола
	りっぱ	rippa	великолепный
留学生	りゅうがくせい	ryuugakusei	иностранный студент
両親	りょうしん	ryoushin	родители
料理	りょうり	ryouri	кухня
旅行	りょこう	ryokou	путешествие
零	れい	rei	ноль
冷蔵庫	れいぞうこ	reizouko	холодильник
	レコード	rekoodo	запись
	レストラン	resutoran	ресторан
練習	れんしゅうする	renshuusuru	тренировка
廊下	ろうか	rouka	коридор
六	ろく	roku	шесть
	ワイシャツ	waishatsu	деловая рубашка
若い	わかい	wakai	молодой
分かる	わかる	wakaru	быть понятным
忘れる	わすれる	wasureru	забыть
私	わたくし	watakushi	(скромно) я
私	わたし	watashi	я
渡す	わたす	watasu	переправлять; перевозить
渡る	わたる	wataru	переходить через что-л.; пересекать
悪い	わるい	warui	плохой
	より, ほう	yori, hou	чем (используется в сравнении)
