嗚呼	ああ	aa	Ah!, Oh!, Alas!	Ах!; О!; Увы !
委託	いたく	itaku	consign (goods (for sale) to a firm), entrust (person with something), commit	предать; поручить; совершить
悪戯	いたずら	itazura	tease, prank, trick, practical joke, mischief	шалость; шутка; озорство
頂	いただき	itadaki	(top of) head, summit, spire	вершина; верхушка; пик
戴きます	いただきます	itadakimasu	expression of gratitude before meals	выражение благодарности перед едой
至って	いたって	itatte	very much, exceedingly, extremely	очень; чрезвычайно
痛む	いたむ	itamu	to hurt, to feel a pain, to be injured	болеть; чувствовать боль;
痛める	いためる	itameru	to hurt, to injure, to cause pain, to worry, to bother, to afflict, to be grieved over	ранить; причинить боль
炒める	いためる	itameru	to stir-fry	жарить
労る	いたわる	itawaru	to pity, to sympathize with, to console, to care for, to be kind to	жалеть; сочувствовать; утешать; заботиться; быть добрым к
市	いち	ichi	market, fair	рынок
位地	いち	ichi	place, situation, position, location	место; ситуация; должность; позиция
一々	いちいち	ichiichi	one by one, separately	один за другим; отдельно
一概に	いちがいに	ichigaini	unconditionally, as a rule	безусловно; как правило
一見	いちげん	ichigen	unfamiliar, never before met	взглянуть; бросить взгляд
一言	いちげん	ichigen	single word	одно слово
一日	いちじつ	ichijitsu	1. one day, 2. first of month	в один прекрасный день; первое числа месяца;
一定	いちじょう	ichijou	fixed, settled, definite, uniform, regularized, defined, standardized, certain, prescribed	фиксированный; регламентированный; определенный; стандартизированый
著しい	いちじるしい	ichijirushii	remarkable, considerable	примечательный; значительный
一同	いちどう	ichidou	all present, all concerned, all of us	все (мы,они,вы)
一人	いちにん	ichinin	one person	один человек
一部	いちぶ	ichibu	1. one copy e.g. of a document, 2. a part, partly, some	один экземпляр (например,документа); часть
一部分	いちぶぶん	ichibubun	a part	часть
一別	いちべつ	ichibetsu	parting	расставание
一面	いちめん	ichimen	one side, one phase, front page, the other hand, the whole surface	одна сторона; одна фаза; главная страница; с другой стороны; вся поверхность
一目	いちもく	ichimoku	a glance, a look, a glimpse	взгляд; проблеск
一様	いちよう	ichiyou	uniformity, evenness, similarity, equality, impartiality	однородность; ровность; подобие; равенство; беспристрастность
一律	いちりつ	ichiritsu	evenness, uniformity, monotony, equality	ровность; однородность; однообразие; равенство
一連	いちれん	ichiren	a series, a chain, a ream (of paper)	серия; цепочка
一括	いっかつ	ikkatsu	all together, batch, one lump, one bundle, summing up	все вместе; партия; один комок; один пучок; подводя итоги
一気	いっき	ikki	drink!(said repeatedly as a party cheer)	о дним духом; залпом
一挙に	いっきょに	ikkyoni	at a stroke, with a single swoop	одним махом; с одной махом
一切	いっさい	issai	all, everything, without exception, the whole, entirely, absolutely	все; без исключения; весь; целиком; абсолютно
一心	いっしん	isshin	one mind, wholeheartedness, the whole heart	всем сердце
	いっそ	isso	rather, sooner, might as well	скорее;
一帯	いったい	ittai	a region, a zone, the whole place	область; зона
一敗	いっぱい	ippai	one defeat	поражение
一変	いっぺん	ippen	complete change, about-face	полное изменение; поворот кругом
何時	いつ	itsu	when, how soon	когда; как скоро
何時か	いつか	itsuka	sometime, someday, one day, some time or other, the other day, in due course, in time	когда-то; когда-нибудь; в один прекрасный день; рано или поздно
何時でも	いつでも	itsudemo	(at) any time, always, at all times, never (neg), whenever	в любое время; всегда; во все времена; никогда (с отрицанием)
何時の間にか	いつのまにか	itsunomanika	before one knows, unnoticed, unawares	незаметно; мгновенно
何時までも	いつまでも	itsumademo	forever, for good, eternally, as long as one likes, indefinitely	навсегда; навечно; бесконечно
何時も	いつも	itsumo	always, usually, every time, never (with neg. verb)	всегда; каждый раз; когда; никогда (с нег . глагол)
意図	いと	ito	intention, aim, design	намерение ; цель
営む	いとなむ	itonamu	to carry on (e.g. in ceremony), to run a business	вести (например,церемонию); начать бизнес
暇	いとま	itoma	free time, leisure, leave, spare time, farewell	свободное время; отдых; отпуск
異動	いどう	idou	a change	изменение
挑む	いどむ	idomu	to challenge, to contend for, to make love to	бросить вызов; бороться за
稲光	いなびかり	inabikari	(flash of) lightning	(вспышка) молния
古	いにしえ	inishie	antiquity, ancient times	древность
祈り	いのり	inori	prayer, supplication	молитва
鼾	いびき	ibiki	snoring	храп
今更	いまさら	imasara	now, at this late hour	сейчас; в этот поздний час
未だ	いまだ	imada	as yet, hitherto, not yet (neg)	пока еще; до сих пор; пока не (с отрицанием)
移民	いみん	imin	emigration, immigration, emigrant, immigrant	эмиграция; иммиграция; эмигрант; иммигрант
厭々	いやいや	iyaiya	unwillingly, grudgingly, shaking head in refusal (to children)	неохотно; скрепя сердцем
卑しい	いやしい	iyashii	greedy, vulgar, shabby, humble, base, mean, vile	жадный; вульгарный; мерзкий
	いやに	iyani	awfully, terribly	ужасно
厭やらしい	いやらしい	iyarashii	detestable, disagreeable	отвратительный; неприятный
愈々	いよいよ	iyoiyo	more and more, all the more, increasingly, at last, beyond doubt	все больше и больше; тем более; более; наконец; вне всякого сомнения;
意欲	いよく	iyoku	will, desire, ambition	желание; амбиции
苛々	いらいら	iraira	getting nervous, irritation	нервный; раздраженный
入口	いりくち	irikuchi	entrance, gate, approach, mouth	вход; ворота
衣料	いりょう	iryou	clothing	одежда
威力	いりょく	iryoku	power, might, authority, influence	мощность; мощь; власть; влияние
入る	いる	iru	to get in, to go in, to come in, to flow into, to set, to set in	входить; вступать; садиться (о солнце); достигать
衣類	いるい	irui	clothes, clothing, garments	одежда
色々	いろいろ	iroiro	various	различный
異論	いろん	iron	different opinion, objection	другое мнение; возражение
所謂	いわゆる	iwayuru	the so-called, so to speak	так называемый; так сказать
印	いん	in	seal, stamp, mark, print	печать; штамп; знак; печать
員	いん	in	member	член
印鑑	いんかん	inkan	stamp, seal	печать
陰気	いんき	inki	gloom, melancholy	мрак; тоска
隠居	いんきょ	inkyo	retirement, retired person	выход на пенсию; пенсионер
上下	うえした	ueshita	high and low, up and down, unloading and loading, praising and blaming	высокое и низкое; вверх и вниз; разгрузка и погрузка
浮かぶ	うかぶ	ukabu	to float, to rise to surface, to come to mind	плавать; подниматься на поверхность; приходить на ум
受かる	うかる	ukaru	to pass (examination)	выдержать (экзамен)
含嗽	うがい	ugai	gargle, rinse mouth	полоскание; прополоскать рот
受け入れ	うけいれ	ukeire	receiving, acceptance	получение; принятие
受け入れる	うけいれる	ukeireru	to accept, to receive	принять; получить
受け継ぐ	うけつぐ	uketsugu	to inherit, to succeed, to take over	принимать (в качестве преемника)
受け付ける	うけつける	uketsukeru	to be accepted, to receive (an application)	быть принятым
受け止める	うけとめる	uketomeru	to catch, to stop the blow, to react to, to take	поймать; остановить удар
受け取り	うけとり	uketori	receipt	квитанция
受身	うけみ	ukemi	passive, passive voice	пассивность; пассивный залог
動き	うごき	ugoki	movement, activity, trend, development, change	движение; активность; тенденция; развитие; изменение
潮	うしお	ushio	tide	волна
氏	うじ	uji	family name	фамилия
渦	うず	uzu	swirl	водоворот
埋まる	うずまる	uzumaru	to be buried, to be surrounded, to overflow, to be filled	быть похороненным; быть переполненым; быть заполненым
嘘つき	うそつき	usotsuki	liar (sometimes said with not much seriousness), fibber	врун; выдумщик
打ち合わせ	うちあわせ	uchiawase	business meeting, previous arrangement, appointment	деловая встреча; предыдущая договоренность; назначение
打ち合わせる	うちあわせる	uchiawaseru	to knock together, to arrange	организовать
打ち切る	うちきる	uchikiru	to stop, to abort, to discontinue, to close	остановить; прервать; прекратить; закрыть
打ち消し	うちけし	uchikeshi	negation, denial, negative	отрицание
打ち込む	うちこむ	uchikomu	to drive in (e.g. nail stake), to devote oneself to, to shoot into, to smash, to throw into, to cast int	вбивать; вгонять; всаживать; вонзать
団扇	うちわ	uchiwa	fan	вентилятор
内訳	うちわけ	uchiwake	the items, breakdown, classification	элементы; распад; классификация
訴え	うったえ	uttae	lawsuit, complaint	мск; жалоба
鬱陶しい	うっとうしい	uttoushii	gloomy, depressing	мрачный
写し	うつし	utsushi	copy, duplicate, facsimile, transcript	копия
空ろ	うつろ	utsuro	blank, cavity, hollow, empty (space)	пустой; полость
器	うつわ	utsuwa	bowl, vessel, container	емкость; контейнер
雨天	うてん	uten	rainy weather	дождливая погода
腕前	うでまえ	udemae	ability, skill, facility	способность; мастерство;
饂飩	うどん	udon	noodles (Japanese)	лапша удон
促す	うながす	unagasu	to urge, to press, to suggest, to demand, to stimulate, to quicken, to incite, to invite (attention to)	вынуждат; понуждать; способствовать
唸る	うなる	unaru	to groan, to moan, to roar, to howl, to growl, to hum, to buzz, to sough	стонать; реветь; выть; рычать; урчать; гудеть
自惚れ	うぬぼれ	unubore	pretension, conceit, hubris	самовлюблённость; высокомерие
甘い	うまい	umai	delicious	вкусный
生まれつき	うまれつき	umaretsuki	by nature, by birth, native	по своей природе; от рождения
海路	うみじ	umiji	sea route	морской путь
産む	うむ	umu	to give birth, to deliver, to produce	рожать; чтобы поставить; чтобы произвести
埋め込む	うめこむ	umekomu	to bury	похоронить
梅干	うめぼし	umeboshi	dried plum	сушеные сливы
末	うら	ura	top end, tip	верхушка; кончик
裏返し	うらがえし	uragaeshi	inside out, upside down	наизнанку; с ног на голову
売り出し	うりだし	uridashi	(bargain) sale	продажа
売り出す	うりだす	uridasu	to put on sale, to market, to become popular	поставить на продажу; на рынок; стать популярным
潤う	うるおう	uruou	to be moist, to be damp, to get wet, to profit by, to be watered, to receive benefits, to favor, to charm, t	становиться влажным; промокать; получать прибыль
五月蝿い	うるさい	urusai	noisy, loud, fussy	шумный; громкий; суетливый
売れ行き	うれゆき	ureyuki	sales	реализация; продажа
浮気	うわき	uwaki	flighty, fickle, wanton, unfaithful	легкомысленность; непостоянство; ветренность; бессмысленность
上手	うわて	uwate	1. upper part, upper stream, left side (of a stage), 2. skillful (only in comparisons), dexterity (on	верхняя часть; верховье (реки); наветренная сторона; превосходство (в умении и т.п.)
上回る	うわまわる	uwamawaru	to exceed	превышать
植わる	うわる	uwaru	to be planted	быть посаженым (о растении)
運営	うんえい	unei	management, administration, operation	управление; администрирование; эксплуатация
	うんざり	unzari	tedious, boring, being fed up with	утомительно; скучно
運送	うんそう	unsou	shipping, marine transportation	доставка; морской транспорт
運賃	うんちん	unchin	freight rates, shipping expenses, fare	фрахтовые ставки; судоходные расходы; плата за проезд
云々	うんぬん	unnun	and so on, and so forth, comment	и так далее
運搬	うんぱん	unpan	transport, carriage	транспорт; перевозки
運命	うんめい	unmei	fate	судьба
運輸	うんゆ	unyu	transportation	транспорт
運用	うんよう	unyou	making use of, application, investment, practical use	использование; применение
会	え	e	understanding	понимание
重	え	e	-fold, -ply	-слойный
	えい	ei	ray (fish)	скат (рыба)
映写	えいしゃ	eisha	projection	проекция
英字	えいじ	eiji	English letter (character)	английская буква (символ)
衛生	えいせい	eisei	health, hygiene, sanitation, medical	здоровья; гигиена; санитария
映像	えいぞう	eizou	reflection, image	отражение; образ
英雄	えいゆう	eiyuu	hero, great man	герой; великий человек
液	えき	eki	liquid, fluid	жидкость
役	えき	eki	war, campaign, battle	война; кампания; сражение
閲覧	えつらん	etsuran	inspection, reading	осмотр; чтение
獲物	えもの	emono	game, spoils, trophy	добыча; трофей
襟	えり	eri	neck, collar, lapel, neckband	воротник; шейный обод
縁	えん	en	chance, fate, destiny, relation, bonds, connection, karma	шанс; судьба; связь; карма
塩	えん	en	salt	соль
艶	えん	en	charming, fascinating, voluptuous	очаровательный; увлекательный
園	えん	en	garden (esp. man-made)	сад
円滑	えんかつ	enkatsu	harmony, smoothness	гармония; плавность
縁側	えんがわ	engawa	veranda, porch, balcony, open corridor	веранда; крыльцо; балкон; открытый коридор
沿岸	えんがん	engan	coast, shore	побережье
婉曲	えんきょく	enkyoku	euphemistic, circumlocution, roundabout, indirect, insinuating	косвенно; иносказательно; эвфемистически
演習	えんしゅう	enshuu	practice, exercises, manoeuvers	практика; упражнения
演出	えんしゅつ	enshutsu	production (e.g. play), direction	постановка (спектакля)
演じる/演ずる	えんじる/えんずる	enjiru/ enzuru	to perform, to play	играть (пьесу,роль)
沿線	えんせん	ensen	along railway line	вдоль железнодорожной линии
縁談	えんだん	endan	marriage proposal, engagement	предложение (о браке)
遠方	えんぽう	enpou	long way, distant place	долгий путь; отдаленная местность
円満	えんまん	enman	perfection, harmony, peace, smoothness, completeness, satisfaction, integrity	совершенство; гармония; мир; гладкость; полнота; удовлетворенность
尾	お	o	tail, ridge	хвост; хребет
於て	おいて	oite	at, in, on	на; в
甥	おい	oi	nephew	племянник
追い込む	おいこむ	oikomu	to herd, to corner, to drive	загонять
美味しい	おいしい	oishii	delicious, tasty	вкусный
追い出す	おいだす	oidasu	to expel, to drive out	высылать; вытеснять
於いて	おいて	oite	at, in, on	на; в; на
お出でになる	おいでになる	oideninaru	to be	быть
老いる	おいる	oiru	to age, to grow old	с возрастом; стареть
負う	おう	ou	to bear, to owe	нести; задолжать
応急	おうきゅう	oukyuu	emergency	аварийный
黄金	おうごん	ougon	gold	золото
黄色	おうしょく	oushoku	yellow	желтый
応募	おうぼ	oubo	subscription, application	подписка; приложения
	おおい	ooi	hey!	эй!
大方	おおかた	ookata	perhaps, almost all, majority	почти все; большинство
大柄	おおがら	oogara	large build, large pattern	крупное телосложение; крупный узор
大げさ	おおげさ	oogesa	grandiose, exaggerated	грандиозный; преувеличеный
大事	おおごと	oogoto	important, valuable, serious matter	важно; ценно; серьезное дело
大ざっぱ	おおざっぱ	oozappa	rough (as in not precise), broad, sketchy	грубо (не точно)
大筋	おおすじ	oosuji	outline, summary	наброски; резюме
大空	おおぞら	oozora	heaven, firmament, the sky	небо; небосвод
大幅	おおはば	oohaba	full width, large scale, drastic	крупномасштабно; полная (вся) ширина
大水	おおみず	oomizu	flood	наводнение
公	おおやけ	ooyake	official, public, formal, open, governmental	открытый; гласный; публичный
お蔭	おかげ	okage	(your) backing, assistance	(ваша) поддержка,помощь
お蔭様で	おかげさまで	okagesamade	Thanks to god, thanks to you	благодаря вам
可笑しい	おかしい	okashii	strange, funny, amusing, ridiculous	странно; смешно; забавно
犯す	おかす	okasu	to commit, to perpetrate, to violate, to rape	совершить; совершать; нарушать
侵す	おかす	okasu	to invade, to raid, to trespass, to violate, to intrude on	вторгнуться; совершить набег; злоупотреблять; нарушать; вторгаться
お菜	おかず	okazu	side dish, accompaniment for rice dishes	гарнир для блюд из риса
臆病	おくびょう	okubyou	cowardice, timidity	трусость; робость
遅らす	おくらす	okurasu	to retard, to delay	задержать; отложить
遅れ	おくれ	okure	delay, lag	задержка; запаздывание
起こす	おこす	okosu	to raise, to cause, to wake someone	поднять; разбудить
行い	おこない	okonai	deed, conduct, behavior, action, asceticism	поведение; действия
厳か	おごそか	ogosoka	austere, majestic, dignified, stately, awful, impressive	строгий; величественный; достойный; величественный
傲る	おごる	ogoru	to be proud	быть высокомерным; зазнаваться
長	おさ	osa	chief, head	начальник; руководитель
押さえる	おさえる	osaeru	to stop, to restrain, to seize, to repress, to suppress, to press down	остановить; сдержать; подавить
お先に	おさきに	osakini	before, ahead, previously	прежде; впереди; ранее
収まる	おさまる	osamaru	to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered	быть помещённым куда-л.; разрешаться; улаживаться
収まる/納まる	おさまる	osamaru	to be obtained, to end, to settle into, to fit into, to be settled, to be paid, to be delivered	быть мирным; быть спокойным; стихать
お産	おさん	osan	(giving) birth	рождение
教え	おしえ	oshie	teachings, precept, lesson, doctrine	учение; заповедь; доктрина
押し込む	おしこむ	oshikomu	to push into, to crowd into	отодвинуть; вытеснить
惜しむ	おしむ	oshimu	to be frugal, to value, to regret	ценить; жалеть
お喋り	おしゃべり	oshaberi	chattering, talk, idle talk, chat, chitchat, gossip, chatty, talkative, chatterbox, blabbermouth	болтовня; болтун
お洒落	おしゃれ	oshare	smartly dressed, someone smartly dressed, fashion-conscious	модник; мода
押し寄せる	おしよせる	oshiyoseru	to push aside, to advance on	оттеснить
お祖父さん	おじいさん	ojiisan	grandfather, male senior-citizen	дед; пожилой мужчина
お邪魔します	おじゃまします	ojamashimasu	Excuse me for disturbing (interrupting) you	простите за беспокойство
雄	おす	osu	male (animal)	самец
