嗚呼	ああ	aa	Ах!; О!; Увы !
誂える	あつらえる	atsuraeru	отдать приказ; разместить заказ
圧力	あつりょく	atsuryoku	стресс; давление
当て	あて	ate	объект; цель; надежды; ожидания
宛	あて	ate	на имя
当て字	あてじ	ateji	фонетически использованный иероглиф
当てはまる	あてはまる	atehamaru	применять (правило)
当てはめる	あてはめる	atehameru	применяться; адаптировать
宛てる	あてる	ateru	по адресу
跡継ぎ	あとつぎ	atotsugi	наследник; преемник
後回し	あとまわし	atomawashi	отстрочка; откладывая
貴女	あなた	anata	вы (обращение к женщине)
彼の	あの	ano	что там
溢れる	あふれる	afureru	затопить; переполнить; переливаться через край
油絵	あぶらえ	aburae	живопись масляными красками
炙る	あぶる	aburu	палить
	あべこべ	abekobe	напротив; вверх ногами
甘える	あまえる	amaeru	вести себя как избалованный ребенок 
甘口	あまくち	amakuchi	лесть 
雨具	あまぐ	amagu	защита от дождя
天	あまつ	amatsu	небесный; имперский
網	あみ	ami	сеть
天地	あめつち	ametsuchi	небо и земля; вселенная; природа; сверху и снизу; царство; сфера; мир
操る	あやつる	ayatsuru	манипулировать; управлять
	あやふや	ayafuya	неопределенный; расплывчатый; неоднозначный
危ぶむ	あやぶむ	ayabumu	бояться; сомневаться
過ち	あやまち	ayamachi	ошибка; неосторожность
誤る	あやまる	ayamaru	ошибаться
歩み	あゆみ	ayumi	ходьба
歩む	あゆむ	ayumu	ходить пешком
	あら	ara	ой; ах; морской окунь
予め	あらかじめ	arakajime	заранее; ранее
荒らす	あらす	arasu	опустошать; разорять; портить; не следить; запускать
粗筋	あらすじ	arasuji	наброски; резюме
争い	あらそい	arasoi	спор; ссора; разногласия; конфликт; соперничество
改まる	あらたまる	aratamaru	меняться,обновляться; исправляться; улучшаться
荒っぽい	あらっぽい	arappoi	грубо
凡ゆる	あらゆる	arayuru	все; каждый
	あられ	arare	град; что-л. мелко нарезанное
現われ	あらわれ	araware	воплощение; материализация
現われる	あらわれる	arawareru	появляться; прийти в поле зрения; стать видимым; выйти; материализоваться; выразить себя
有難う	ありがとう	arigatou	спасибо
有様	ありさま	arisama	состояние; обстоятельства; способ; правда
有りのまま	ありのまま	arinomama	правда; факт; честно говоря
或る	ある	aru	определенный; некоторый
或いは	あるいは	aruiwa	или; возможно; 
彼此	あれこれ	arekore	одно или другое; то и это; то или иное
合わす	あわす	awasu	быть напротив; объединить; соединить; добавить до 
合わせ	あわせ	awase	соединение
慌ただしい	あわただしい	awatadashii	занятый; поспешный; запутанный; взбудораженный
慌てる	あわてる	awateru	запутать; приводить в замешательство 
暗殺	あんさつ	ansatsu	убийство
暗算	あんざん	anzan	счет в уме
暗示	あんじ	anji	намек; предложение
案じる	あんじる	anjiru	тревожиться; обдумвыать
安静	あんせい	ansei	остальные
案の定	あんのじょう	annojou	конечно же; как обычно
余り	あんまり	anmari	не очень (только в качестве наречия); не так много; остаток; излишек; баланс
依	い	i	зависимость (в сочетаниях)
良い	いい	ii	хорошо
否	いいえ	iie	нет
いい加減	いいかげん	iikagen	умеренный; в меру; подходящий; правильный
言い訳	いいわけ	iiwake	извинение; объяснение
家出	いえで	iede	выход из дома
家主	いえぬし	ienushi	домовладелец
如何	いかが	ikaga	как; каким образом
生かす	いかす	ikasu	возродить; реанимировать; чтобы использовать из
雷	いかずち	ikazuchi	гром
如何に	いかに	ikani	как?; то каким образом?; сколько?
如何にも	いかにも	ikanimo	действительно; фраза означающая согласие
怒り	いかり	ikari	гнев; ненависть
怒る	いかる	ikaru	сердиться; злиться
歪む	いがむ	igamu	деформировать; свернуть; сгибать 
粋	いき	iki	суть; квинтэссенция; лучшее; утончённость; деликатность 
域外	いきがい	ikigai	вне зоны
意気込む	いきごむ	ikigomu	быть в восторге
経緯	いきさつ	ikisatsu	детали; последовательность событий; обстоятельства
行き違い	いきちがい	ikichigai	недоразумение; разногласия 
行き成り	いきなり	ikinari	вдруг
異議	いぎ	igi	возражение; несогласие; протест
	いく	iku	прийти 
軍/戦	いくさ	ikusa	война; сражение; кампания; борьба
育成	いくせい	ikusei	разведение; обучение; воспитание; выращивание; продвижение
幾多	いくた	ikuta	многие; многочисленные
活ける	いける	ikeru	оживлять; использовать наилучшим образом
異見	いけん	iken	другое мнение; возражение
意向	いこう	ikou	намерение; идея; наклон
移行	いこう	ikou	переход на
	いざ	iza	ну-ка,ну; критический момент
碑	いしぶみ	ishibumi	каменный монумент с надписью
衣装	いしょう	ishou	одежда; костюм; снаряжение
意地	いじ	iji	дух; сила воли; упрямство 
苛める	いじめる	ijimeru	дразнить; мучить 
移住	いじゅう	ijuu	миграция; иммиграция
弄る	いじる	ijiru	вертеть в руках; трогать; играть с чем-л.; возиться
何れ	いずれ	izure	которые; так или иначе; во всяком случае
異性	いせい	isei	противоположный пол
遺跡	いせき	iseki	руины 
依然	いぜん	izen	тем не менее; до сих пор
依存	いそん	ison	зависимость 
委託	いたく	itaku	предать; поручить; совершить
悪戯	いたずら	itazura	шалость; шутка; озорство
頂	いただき	itadaki	вершина; верхушка; пик
戴きます	いただきます	itadakimasu	выражение благодарности перед едой
至って	いたって	itatte	очень; чрезвычайно 
痛む	いたむ	itamu	болеть; чувствовать боль; 
痛める	いためる	itameru	ранить; причинить боль 
炒める	いためる	itameru	жарить
労る	いたわる	itawaru	жалеть; сочувствовать; утешать; заботиться; быть добрым к
市	いち	ichi	рынок
位地	いち	ichi	место; ситуация; должность; позиция
一々	いちいち	ichiichi	один за другим; отдельно
一概に	いちがいに	ichigaini	безусловно; как правило
一見	いちげん	ichigen	взглянуть; бросить взгляд
一言	いちげん	ichigen	одно слово
一日	いちじつ	ichijitsu	в один прекрасный день; первое числа месяца; 
一定	いちじょう	ichijou	фиксированный; регламентированный; определенный; стандартизированый
著しい	いちじるしい	ichijirushii	примечательный; значительный
一同	いちどう	ichidou	все (мы,они,вы)
一人	いちにん	ichinin	один человек
一部	いちぶ	ichibu	 один экземпляр (например,документа); часть 
一部分	いちぶぶん	ichibubun	часть
一別	いちべつ	ichibetsu	расставание
一面	いちめん	ichimen	одна сторона; одна фаза; главная страница; с другой стороны; вся поверхность
一目	いちもく	ichimoku	взгляд; проблеск
一様	いちよう	ichiyou	однородность; ровность; подобие; равенство; беспристрастность
一律	いちりつ	ichiritsu	ровность; однородность; однообразие; равенство
一連	いちれん	ichiren	серия; цепочка 
一括	いっかつ	ikkatsu	все вместе; партия; один комок; один пучок; подводя итоги
一気	いっき	ikki	о дним духом; залпом
一挙に	いっきょに	ikkyoni	одним махом; с одной махом
一切	いっさい	issai	все; без исключения; весь; целиком; абсолютно
一心	いっしん	isshin	всем сердце
	いっそ	isso	скорее; 
一帯	いったい	ittai	область; зона 
一敗	いっぱい	ippai	поражение
一変	いっぺん	ippen	полное изменение; поворот кругом
何時	いつ	itsu	когда; как скоро
何時か	いつか	itsuka	когда-то; когда-нибудь; в один прекрасный день; рано или поздно 
何時でも	いつでも	itsudemo	в любое время; всегда; во все времена; никогда (с отрицанием) 
何時の間にか	いつのまにか	itsunomanika	незаметно; мгновенно
何時までも	いつまでも	itsumademo	навсегда; навечно; бесконечно
何時も	いつも	itsumo	всегда; каждый раз; когда; никогда (с нег . глагол)
意図	いと	ito	намерение ; цель
営む	いとなむ	itonamu	вести (например,церемонию); начать бизнес
暇	いとま	itoma	свободное время; отдых; отпуск
異動	いどう	idou	изменение
挑む	いどむ	idomu	бросить вызов; бороться за 
稲光	いなびかり	inabikari	(вспышка) молния
古	いにしえ	inishie	древность
祈り	いのり	inori	молитва
鼾	いびき	ibiki	храп
今更	いまさら	imasara	сейчас; в этот поздний час
未だ	いまだ	imada	пока еще; до сих пор; пока не (с отрицанием)
移民	いみん	imin	эмиграция; иммиграция; эмигрант; иммигрант
厭々	いやいや	iyaiya	неохотно; скрепя сердцем
卑しい	いやしい	iyashii	жадный; вульгарный; мерзкий
	いやに	iyani	ужасно 
厭やらしい	いやらしい	iyarashii	отвратительный; неприятный
愈々	いよいよ	iyoiyo	все больше и больше; тем более; более; наконец; вне всякого сомнения; 
意欲	いよく	iyoku	желание; амбиции
苛々	いらいら	iraira	нервный; раздраженный
入口	いりくち	irikuchi	вход; ворота
衣料	いりょう	iryou	одежда
威力	いりょく	iryoku	мощность; мощь; власть; влияние
入る	いる	iru	входить; вступать; садиться (о солнце); достигать
衣類	いるい	irui	одежда
色々	いろいろ	iroiro	различный
異論	いろん	iron	другое мнение; возражение
所謂	いわゆる	iwayuru	так называемый; так сказать
印	いん	in	печать; штамп; знак; печать
員	いん	in	член
印鑑	いんかん	inkan	печать 
陰気	いんき	inki	мрак; тоска
隠居	いんきょ	inkyo	выход на пенсию; пенсионер
上下	うえした	ueshita	высокое и низкое; вверх и вниз; разгрузка и погрузка 
浮かぶ	うかぶ	ukabu	плавать; подниматься на поверхность; приходить на ум
受かる	うかる	ukaru	выдержать (экзамен)
含嗽	うがい	ugai	полоскание; прополоскать рот
受け入れ	うけいれ	ukeire	получение; принятие
受け入れる	うけいれる	ukeireru	принять; получить
受け継ぐ	うけつぐ	uketsugu	принимать (в качестве преемника)
受け付ける	うけつける	uketsukeru	быть принятым
受け止める	うけとめる	uketomeru	поймать; остановить удар 
受け取り	うけとり	uketori	квитанция
受身	うけみ	ukemi	пассивность; пассивный залог
動き	うごき	ugoki	движение; активность; тенденция; развитие; изменение
潮	うしお	ushio	волна
氏	うじ	uji	фамилия
渦	うず	uzu	водоворот
埋まる	うずまる	uzumaru	быть похороненным; быть переполненым; быть заполненым
嘘つき	うそつき	usotsuki	врун; выдумщик
打ち合わせ	うちあわせ	uchiawase	деловая встреча; предыдущая договоренность; назначение
打ち合わせる	うちあわせる	uchiawaseru	организовать
打ち切る	うちきる	uchikiru	остановить; прервать; прекратить; закрыть
打ち消し	うちけし	uchikeshi	отрицание 
打ち込む	うちこむ	uchikomu	вбивать; вгонять; всаживать; вонзать
団扇	うちわ	uchiwa	вентилятор
内訳	うちわけ	uchiwake	элементы; распад; классификация
訴え	うったえ	uttae	мск; жалоба
鬱陶しい	うっとうしい	uttoushii	мрачный
写し	うつし	utsushi	копия 
空ろ	うつろ	utsuro	пустой; полость
器	うつわ	utsuwa	емкость; контейнер
雨天	うてん	uten	дождливая погода
腕前	うでまえ	udemae	способность; мастерство; 
饂飩	うどん	udon	лапша удон
促す	うながす	unagasu	вынуждат; понуждать; способствовать
唸る	うなる	unaru	стонать; реветь; выть; рычать; урчать; гудеть 
自惚れ	うぬぼれ	unubore	самовлюблённость; высокомерие
甘い	うまい	umai	вкусный
生まれつき	うまれつき	umaretsuki	по своей природе; от рождения
海路	うみじ	umiji	морской путь
産む	うむ	umu	рожать; чтобы поставить; чтобы произвести
埋め込む	うめこむ	umekomu	похоронить
梅干	うめぼし	umeboshi	сушеные сливы
末	うら	ura	верхушка; кончик
裏返し	うらがえし	uragaeshi	наизнанку; с ног на голову
売り出し	うりだし	uridashi	продажа
売り出す	うりだす	uridasu	поставить на продажу; на рынок; стать популярным
潤う	うるおう	uruou	становиться влажным; промокать; получать прибыль
五月蝿い	うるさい	urusai	шумный; громкий; суетливый
売れ行き	うれゆき	ureyuki	реализация; продажа
浮気	うわき	uwaki	легкомысленность; непостоянство; ветренность; бессмысленность
上手	うわて	uwate	верхняя часть; верховье (реки); наветренная сторона; превосходство (в умении и т.п.)
上回る	うわまわる	uwamawaru	превышать
植わる	うわる	uwaru	быть посаженым (о растении)
運営	うんえい	unei	управление; администрирование; эксплуатация
	うんざり	unzari	утомительно; скучно
運送	うんそう	unsou	доставка; морской транспорт
運賃	うんちん	unchin	фрахтовые ставки; судоходные расходы; плата за проезд
云々	うんぬん	unnun	и так далее
運搬	うんぱん	unpan	транспорт; перевозки
運命	うんめい	unmei	судьба
運輸	うんゆ	unyu	транспорт
運用	うんよう	unyou	использование; применение
会	え	e	понимание
重	え	e	-слойный
	えい	ei	скат (рыба)
映写	えいしゃ	eisha	проекция
英字	えいじ	eiji	английская буква (символ)
衛生	えいせい	eisei	здоровья; гигиена; санитария
映像	えいぞう	eizou	отражение; образ
英雄	えいゆう	eiyuu	герой; великий человек
液	えき	eki	жидкость 
役	えき	eki	война; кампания; сражение
閲覧	えつらん	etsuran	осмотр; чтение
獲物	えもの	emono	добыча; трофей
襟	えり	eri	воротник; шейный обод
縁	えん	en	шанс; судьба; связь; карма
塩	えん	en	соль
艶	えん	en	очаровательный; увлекательный
園	えん	en	сад 
円滑	えんかつ	enkatsu	гармония; плавность
縁側	えんがわ	engawa	веранда; крыльцо; балкон; открытый коридор
沿岸	えんがん	engan	побережье 
婉曲	えんきょく	enkyoku	косвенно; иносказательно; эвфемистически
演習	えんしゅう	enshuu	практика; упражнения
演出	えんしゅつ	enshutsu	постановка (спектакля)
演じる/演ずる	えんじる/えんずる	enjiru/ enzuru	играть (пьесу,роль) 
沿線	えんせん	ensen	вдоль железнодорожной линии
縁談	えんだん	endan	предложение (о браке)
遠方	えんぽう	enpou	долгий путь; отдаленная местность
円満	えんまん	enman	совершенство; гармония; мир; гладкость; полнота; удовлетворенность
尾	お	o	хвост; хребет
於て	おいて	oite	на; в 
甥	おい	oi	племянник
追い込む	おいこむ	oikomu	загонять
美味しい	おいしい	oishii	вкусный
追い出す	おいだす	oidasu	высылать; вытеснять
於いて	おいて	oite	на; в; на
お出でになる	おいでになる	oideninaru	быть
老いる	おいる	oiru	с возрастом; стареть
負う	おう	ou	нести; задолжать
応急	おうきゅう	oukyuu	аварийный
黄金	おうごん	ougon	золото
黄色	おうしょく	oushoku	желтый
応募	おうぼ	oubo	подписка; приложения
	おおい	ooi	эй!
大方	おおかた	ookata	почти все; большинство
大柄	おおがら	oogara	крупное телосложение; крупный узор
大げさ	おおげさ	oogesa	грандиозный; преувеличеный
大事	おおごと	oogoto	важно; ценно; серьезное дело
大ざっぱ	おおざっぱ	oozappa	грубо (не точно) 
大筋	おおすじ	oosuji	наброски; резюме
大空	おおぞら	oozora	небо; небосвод 
大幅	おおはば	oohaba	крупномасштабно; полная (вся) ширина
大水	おおみず	oomizu	наводнение
公	おおやけ	ooyake	открытый; гласный; публичный
お蔭	おかげ	okage	(ваша) поддержка,помощь
お蔭様で	おかげさまで	okagesamade	благодаря вам
可笑しい	おかしい	okashii	странно; смешно; забавно
犯す	おかす	okasu	совершить; совершать; нарушать 
侵す	おかす	okasu	вторгнуться; совершить набег; злоупотреблять; нарушать; вторгаться
お菜	おかず	okazu	гарнир для блюд из риса
臆病	おくびょう	okubyou	трусость; робость
遅らす	おくらす	okurasu	задержать; отложить
遅れ	おくれ	okure	задержка; запаздывание
起こす	おこす	okosu	поднять; разбудить 
行い	おこない	okonai	поведение; действия
厳か	おごそか	ogosoka	строгий; величественный; достойный; величественный 
傲る	おごる	ogoru	быть высокомерным; зазнаваться
長	おさ	osa	начальник; руководитель
押さえる	おさえる	osaeru	остановить; сдержать; подавить
お先に	おさきに	osakini	прежде; впереди; ранее
収まる/納まる	おさまる	osamaru	быть помещённым куда-л.; разрешаться; улаживаться
治まる	おさまる	osamaru	быть мирным; быть спокойным; стихать
お産	おさん	osan	рождение
教え	おしえ	oshie	учение; заповедь; доктрина
押し込む	おしこむ	oshikomu	отодвинуть; вытеснить
惜しむ	おしむ	oshimu	ценить; жалеть
お喋り	おしゃべり	oshaberi	болтовня; болтун 
お洒落	おしゃれ	oshare	модник; мода
押し寄せる	おしよせる	oshiyoseru	оттеснить 
お祖父さん	おじいさん	ojiisan	дед; пожилой мужчина
お邪魔します	おじゃまします	ojamashimasu	простите за беспокойство 
雄	おす	osu	самец
お世辞	おせじ	oseji	лесть; комплимент
襲う	おそう	osou	атаковать
遅くとも	おそくとも	osokutomo	не позднее
恐らく	おそらく	osoraku	возможно
恐れ	おそれ	osore	страх; ужас
恐れ入る	おそれいる	osoreiru	чувствовать себя неловко,быть сконфуженным; быть глубоко тронутым
お大事に	おだいじに	odaijini	берегите себя
煽てる	おだてる	odateru	спровоцировать; льстить
落ち込む	おちこむ	ochikomu	падать; вваливаться; западать; быть подавленным
落ち着き	おちつき	ochitsuki	спокойствие; хладнокровие
落ち葉	おちば	ochiba	опавшие листья; листопад 
落ちる	おちる	ochiru	проваливаться (на экзамене); упасть
	おっかない	okkanai	страшный; огромный
仰っしゃる	おっしゃる	ossharu	сказать; говорить; говорить; говорить
乙	おつ	otsu	2-й по рангу; второй знак
お使い	おつかい	otsukai	поручение
お手上げ	おてあげ	oteage	сдаюсь!; всё кончено!
御手洗い	おてあらい	otearai	туалет; санузел
弟	おと	oto	младший брат
落とす	おとす	otosu	падать; терять
訪れる	おとずれる	otozureru	посетить
大人しい	おとなしい	otonashii	послушный; тихий
少女	おとめ	otome	дочь; юная леди; дева; дева; девочка
お供	おとも	otomo	сопровождающий; спутник
衰える	おとろえる	otoroeru	становятся слабыми; снижаться; распадаться; чахнуть 
	おどおど	odoodo	нерешительно
脅かす/脅す	おどかす/おどす	odokasu/ odosu	угрожать; принуждать
驚き	おどろき	odoroki	удивление; изумление
同い年	おないどし	onaidoshi	того же возраста
女子	おなご	onago	женщина; девушка
お願いします	おねがいします	onegaishimasu	пожалуйста
各	おのおの	onoono	каждый; каждый; соответственно; по отдельности
自ずから	おのずから	onozukara	естественно; как само собой разумеющееся
お祖母さん	おばあさん	obaasan	бабушка; пожилая женщина 
怯える	おびえる	obieru	испугаться; бояться
夥しい	おびただしい	obitadashii	обильно; неисчислимо
帯びる	おびる	obiru	носить с собой; быть облечённым; иметь (оттенок,привкус)
覚え	おぼえ	oboe	память; чувство; опыт
御負け	おまけ	omake	скидка; приз; бонус; преувеличение
お宮	おみや	omiya	синтоистский храм
お襁褓	おむつ	omutsu	пеленки; подгузники
お目出度う	おめでとう	omedetou	поздравляем!
面	おも	omo	лицо
思い付き	おもいつき	omoitsuki	план; идея; предложение
面白い	おもしろい	omoshiroi	интересный; занимательный
玩具	おもちゃ	omocha	игрушка
重なる	おもなる	omonaru	основной; главный; важный
趣	おもむき	omomuki	значение; суть; эффект; внешний вид; вкус; изящество; очарование; изысканность
赴く	おもむく	omomuku	направляться; следовать куда-л.; становиться; делаться
重役	おもやく	omoyaku	директор
重んずる/重んずる	おもんずる/重んじる	omonzuru/ omonjiru	уважать; чтить; ценить
お休み	おやすみ	oyasumi	праздник; отпуск; отдых; спокойной ночи
お八	おやつ	oyatsu	полдник
凡そ	およそ	oyoso	грубо говоря; как правило; примерно
及び	および	oyobi	и; а также
及ぶ	およぶ	oyobu	достичь; чтобы подойти к; составить; соответствовать
織	おり	ori	переплетение; ткань
檻	おり	ori	клетка; тюремная камера
折り返す	おりかえす	orikaesu	загибать; отворачивать
織物	おりもの	orimono	текстиль; ткань
織る	おる	oru	плести
俺	おれ	ore	я (мужской вариант) 
愚か	おろか	oroka	глупо 
疎か	おろそか	orosoka	пренебрежение; халатность; небрежность
終わる	おわる	owaru	заканчивать
音色	おんいろ	oniro	тембр; тон
温和	おんわ	onwa	нежный; мягкий; умеренный
仮	か	ka	предварительный
科	か	ka	отдел
個	か	ka	счётный суффикс широкого применения; штука
下位	かい	kai	низкий ранг; подчиненный; более низкого порядка 
階	かい	kai	счётный суффикс для этажей
改悪	かいあく	kaiaku	ухудшение; изменение в худшую сторону
海運	かいうん	kaiun	морской транспорт
改革	かいかく	kaikaku	реформа; реформация; инновация
貝殻	かいがら	kaigara	оболочка
階級	かいきゅう	kaikyuu	класс; разряд 
海峡	かいきょう	kaikyou	канал
会見	かいけん	kaiken	встреча; беседа; аудиенция
介護	かいご	kaigo	уход
開催	かいさい	kaisai	устраивать; проводить
回収	かいしゅう	kaishuu	сбор; восстановление
改修	かいしゅう	kaishuu	ремонт; улучшение
怪獣	かいじゅう	kaijuu	монстр
解除	かいじょ	kaijo	аннулирование; отмена
回送	かいそう	kaisou	экспедиция
階層	かいそう	kaisou	класс; уровень; слой; иерархия
開拓	かいたく	kaitaku	рекультивация ; выращивание 
会談	かいだん	kaidan	разговор; конференция; обсуждение; интервью
改定	かいてい	kaitei	реформа
改訂	かいてい	kaitei	пересмотр
街道	かいどう	kaidou	шоссе
介入	かいにゅう	kainyuu	вмешательство
開発	かいはつ	kaihatsu	разработка; эксплуатация
海抜	かいばつ	kaibatsu	высота над уровнем моря
介抱	かいほう	kaihou	уход за больными
解剖	かいぼう	kaibou	рассечение; вскрытие
回覧	かいらん	kairan	циркуляция
海流	かいりゅう	kairyuu	морское тчение
改良	かいりょう	kairyou	улучшение; реформа
回路	かいろ	kairo	эл. цепь,контур
顧みる/省みる	かえりみる	kaerimiru	оглянуться назад; развернуться; пересмотреть
返る	かえる	kaeru	вернуться; вернуться; вернуться
顔付き	かおつき	kaotsuki	(внешние) внешность; особенности; лицо; лицо; выражение
掲げる	かかげる	kakageru	поднимать над головой$ нести высоко подняв
踵	かかと	kakato	пятка; каблук
係り	かかり	kakari	официальный; долг; ответственное лицо
課外	かがい	kagai	внеклассный
書き取り	かきとり	kakitori	диктант
書き取る	かきとる	kakitoru	записать; под диктовку; делать заметки
掻き回す	かきまわす	kakimawasu	размешивать; сбивать; грабить; нарушать
欠く	かく	kaku	не хватать; ломать; взламывать; скинуться
角	かく	kaku	угол; балка,брус
核	かく	kaku	ядро
格	かく	kaku	статус; характер; дело
佳句	かく	kaku	(великолепный) отрывок (литературного произведения
画	かく	kaku	ход
格差	かくさ	kakusa	качественное различие; неравенство
拡散	かくさん	kakusan	рассеивания; диффузия
各種	かくしゅ	kakushu	каждый вид; всякие
隔週	かくしゅう	kakushuu	раз в две недели
確信	かくしん	kakushin	убеждение; уверенность
革新	かくしん	kakushin	реформа; инновации
確定	かくてい	kakutei	решение; постановление
獲得	かくとく	kakutoku	приобретение; владение
確保	かくほ	kakuho	гарантия; страховка; безопасность
革命	かくめい	kakumei	революция
確立	かくりつ	kakuritsu	создание
賭け	かけ	kake	ставки; азартная игра
掛け	かけ	kake	кредит
駆け足	かけあし	kakeashi	бег; быстрый шаг
家計	かけい	kakei	семейные финансы
駆けっこ	かけっこ	kakekko	бег наперегонки
駆ける	かける	kakeru	бежать; скакать (о лошади)
賭ける	かける	kakeru	в пари; делать ставки; рисковать; делать ставку; чтобы играть на деньги
ヶ月	かげつ	kagetsu	номер месяца
加工	かこう	kakou	изготовление; переработка; обработка
化合	かごう	kagou	химическое соединение
嵩張る	かさばる	kasabaru	быть громоздким 
嵩む	かさむ	kasamu	накапливаться; увеличиваться
風車	かざぐるま	kazaguruma	ветряная мельница
畏まりました	かしこまりました	kashikomarimashita	слушаюсь!
華奢	かしゃ	kasha	роскошь; великолепие; тонкость; стройность
箇所	かしょ	kasho	проезд; место; точка; часть
火傷	かしょう	kashou	ожог
箇条書き	かじょうがき	kajougaki	перечисление по пунктам
噛る	かじる	kajiru	жевать; кусать; грызть 
微か	かすか	kasuka	слабый; тусклый; нечеткий
霞む	かすむ	kasumu	затуманиваться
化する	かする	kasuru	превращать(ся) во что-л.; подвергать(ся) влиянию
擦る	かする	kasuru	царапнуть; слегка задеть
火星	かせい	kasei	Марс (планета)
化石	かせき	kaseki	ископаемое; окаменение 
河川	かせん	kasen	реки
化繊	かせん	kasen	синтетическое волокно
過疎	かそ	kaso	уменьшение населения
過多	かた	kata	избыток
難い	かたい	katai	трудный
片思い	かたおもい	kataomoi	безответная любовь 
敵	かたき	kataki	враг; соперник
気質	かたぎ	katagi	дух; характер; черта; темперамент; нрав
片言	かたこと	katakoto	поверхностное знание; говорить запинаясь
片付け	かたづけ	katazuke	уборка; отделка
傾く	かたぶく	katabuku	наклониться; быть склонным к; к
傾ける	かたむける	katamukeru	наклонить; согнуть; сконцентрироваться
固める	かためる	katameru	затвердевать; заморозить; укреплять
偏る	かたよる	katayoru	быть односторонним; быть частичным; быть предвзятым
傍ら	かたわら	katawara	рядом; в то время как; неподалеку
課題	かだい	kadai	тема; тема; задача
花壇	かだん	kadan	клумба
家畜	かちく	kachiku	домашние животные; скот 
画期	かっき	kakki	эпохальный
活発	かっぱつ	kappatsu	энергичность; активность
且つ	かつ	katsu	тем не менее; и
割	かつ	katsu	разрыв; трещина
嘗て	かつて	katsute	когда-то; некогда
日付	かづけ	kazuke	дата; датировка
門	かど	kado	ворота
叶う	かなう	kanau	сбываться (о желании)
叶える	かなえる	kanaeru	исполнять (желание)
金槌	かなづち	kanazuchi	молот; молоток; обр. человек,не умеющий плавать
鉄棒	かなぼう	kanabou	железная палка; спорт. перекладина
可成	かなり	kanari	значительно; довольно
加入	かにゅう	kanyuu	присоединение; подписка; принадлежность; 
金庫	かねぐら	kanegura	сейф; хранилище; казначейство 
予言	かねごと	kanegoto	предсказание; обещание; прогнозирование
兼ねて	かねて	kanete	одновременно
下番	かばん	kaban	окончание дежурства
下品	かひん	kahin	грубый; вульгарный; низкопробый
華美	かび	kabi	великолепие; броскость
花粉	かふん	kafun	пыльца
株式	かぶしき	kabushiki	акции (компания)
気触れる	かぶれる	kabureru	реагировать на; быть под влиянием
