会う	あう	au	to meet	встречать
	いつも	itsumo	always	всегда
犬	いぬ	inu	dog	собака
今	いま	ima	now	сейчас
意味	いみ	imi	meaning	значение; смысл
妹	いもうと	imouto	(humble) younger sister	(скромно) младшая сестра
嫌	いや	iya	unpleasant	неприятный
入口	いりぐち	iriguchi	entrance	вход
居る	いる	iru	to be, to have (used for people and animals)	быть ; иметь (используется для людей и животных)
要る	いる	iru	to need	нуждаться
入れる	いれる	ireru	to put in	положить в
色	いろ	iro	colour	цвет
	いろいろ	iroiro	various	различный
上	うえ	ue	on top of	верх; наверху; на вершине
後ろ	うしろ	ushiro	behind	за; позади
薄い	うすい	usui	thin,weak	тонкий ; слабый
歌	うた	uta	song	песня
歌う	うたう	utau	to sing	петь
生まれる	うまれる	umareru	to be born	родиться
海	うみ	umi	sea	море
売る	うる	uru	to sell	продавать
煩い	うるさい	urusai	noisy, annoying	шумный; раздражающий
上着	うわぎ	uwagi	jacket	верхняя одежда
絵	え	e	picture	картина
映画	えいが	eiga	movie	кино; фильм
映画館	えいがかん	eigakan	cinema	кинотеатр
英語	えいご	eigo	English language	Английский язык
	ええ	ee	yes	да
駅	えき	eki	station	станция
	エレベーター	erebeetaa	elevator	лифт
鉛筆	えんぴつ	enpitsu	pencil	карандаш
	おいしい	oishii	delicious	восхитительный
多い	おおい	ooi	many	многие
大きい/大きな	おおきい/おおきな	ookii/ookina	big	большой
大勢	おおぜい	oozei	great number of people	большое количество людей
お母さん	おかあさん	okaasan	(honorable) mother	(вежливо) мать
お菓子	おかし	okashi	sweets, candy	сладости ; конфеты
お金	おかね	okane	money	деньги
起きる	おきる	okiru	to get up	вставать; просыпаться
置く	おく	oku	to put	класть; положить
奥さん	おくさん	okusan	(honorable) wife	(вежливо) жена
お酒	おさけ	osake	alcohol, rice wine	алкоголь ; рисовое вино
お皿	おさら	osara	plate, dish	тарелка; блюдо; чашка весов; порция
伯父/叔父	おじいさん	ojiisan	grandfather, male senior citizen	дед ; пожилой мужчина
教える	おしえる	oshieru	to teach, to tell	учить ; рассказать; осведомлять
伯父/叔父	おじさん	ojisan	uncle, middle aged gentleman	дядя; мужчина среднего возраста
押す	おす	osu	to push, to stamp something	толкать; давить
遅い	おそい	osoi	late, slow	поздный; медленный
お茶	おちゃ	ocha	green tea	зеленый чай
お手洗い	おてあらい	otearai	bathroom	ванная комната
お父さん	おとうさん	otousan	(honorable) father	(вежливо) отец
弟	おとうと	otouto	younger brother	младший брат
男	おとこ	otoko	Man	мужчина
男の子	おとこのこ	otokonoko	Boy	мальчик
一昨日	おととい	ototoi	day before yesterday	позавчера
一昨年	おととし	ototoshi	year before last	позапрошлый год
大人	おとな	otona	Adult	взрослый
	おなか	onaka	stomach	желудок
同じ	おなじ	onaji	same	одинаковый
お兄さん	おにいさん	oniisan	(honorable) older brother	(вежливо) старший брат
お姉さん	おねえさん	oneesan	(honorable) older sister	(вежливо) старшая сестра
	おばあさん	obaasan	grandmother, female senior-citizen	бабушка ; пожилая женщина
伯母さん/叔母さん	おばさん	obasan	Aunt	тетя
お風呂	おふろ	ofuro	Bath	ванна
お弁当	おべんとう	obentou	boxed lunch	ланч; бенто
覚える	おぼえる	oboeru	to remember	помнить
	おまわりさん	omawarisan	friendly term for policeman	(разг.) полицейский
重い	おもい	omoi	Heavy	тяжелый
	おもしろい	omoshiroi	Interesting	интересный
泳ぐ	およぐ	oyogu	to swim	плавать
降りる	おりる	oriru	to get off, to descend	выходить; спускаться
終る	おわる	owaru	to finish	заканчивать; подходить к концу
音楽	おんがく	ongaku	Music	музыка
女	おんな	onna	Woman	женщина
女の子	おんなのこ	onnanoko	Girl	девочка
お早う	おはよう	ohayou	Good morning	доброе утро
外国	がいこく	gaikoku	foreign country	зарубежная страна
外国人	がいこくじん	gaikokujin	Foreigner	иностранец
会社	かいしゃ	kaisha	Company	компания
階段	かいだん	kaidan	Stairs	лестница
買い物	かいもの	kaimono	Shopping	покупка товаров
買う	かう	kau	to buy	покупать
返す	かえす	kaesu	to return something	возвращать что-то
帰る	かえる	kaeru	to go back	возвращаться
	かかる	kakaru	to take time or money	занимать (о времени и деньгах)
	かぎ	kagi	Key	ключ
書く	かく	kaku	to write	писать
学生	がくせい	gakusei	Student	студент
	かける	kakeru	to call by phone	звонить по телефону
傘	かさ	kasa	Umbrella	зонт
貸す	かす	kasu	to lend	давать в долг
風	かぜ	kaze	Wind	ветер
風邪	かぜ	kaze	a cold	холодный
家族	かぞく	kazoku	Family	семья
方	かた	kata	person, way of doing	человек ; сторона
学校	がっこう	gakkou	School	школа
	カップ	kappu	Cup	чашка
家庭	かてい	katei	Household	семья; дом
角	かど	kado	a corner	угол (внешний)
	かばん	kaban	bag, basket	сумка ; портфель
花瓶	かびん	kabin	a vase	ваза
紙	かみ	kami	paper	бумага
	カメラ	kamera	camera	камера
火曜日	かようび	kayoubi	Tuesday	вторник
辛い	からい	karai	Spicy	пряный; острый
体	からだ	karada	Body	тело
借りる	かりる	kariru	to borrow	брать в долг; одалживать
軽い	かるい	karui	Light	легкий
	カレー	karee	Curry	карри (приправа или блюдо)
	カレンダー	karendaa	calendar	календарь
川/河	かわ	kawa	River	река
	かわいい	kawaii	Cute	милый
漢字	かんじ	kanji	Chinese character	иероглиф; кандзи
木	き	ki	tree, wood	дерево
黄色(い)	きいろ	kiiro	yellow	желтый
消える	きえる	kieru	to disappear	исчезать
聞く	きく	kiku	to hear, to listen to, to ask	слышать; слушать
北	きた	kita	North	север
	ギター	gitaa	Guitar	гитара
汚い	きたない	kitanai	Dirty	грязный
喫茶店	きっさてん	kissaten	coffee lounge	каффетерий; буфет
切手	きって	kitte	postage stamp	почтовая марка
切符	きっぷ	kippu	Ticket	билет
昨日	きのう	kinou	Yesterday	вчера
九	きゅう / く	kyuu / ku	Nine	девять
牛肉	ぎゅうにく	gyuuniku	Beef	говядина
牛乳	ぎゅうにゅう	gyuunyuu	Milk	молоко
今日	きょう	kyou	Today	сегодня
教室	きょうしつ	kyoushitsu	Classroom	класс; аудитория
兄弟	きょうだい	kyoudai	(humble) siblings	(скромно) братья и сестры
去年	きょねん	kyonen	last year	прошлый год
嫌い	きらい	kirai	Hate	ненависный; неприятный
切る	きる	kiru	to cut	резать
着る	きる	kiru	to put on from the shoulders down	носить (об одежде)
	きれい	kirei	pretty, clean	красивый
	キロ/キログラム	kiro/kiroguramu	Kilogram	килограмм
	キロ/キロメートル	kiro/kiromeetoru	Kilometer	километр
銀行	ぎんこう	ginkou	Bank	банк
金曜日	きんようび	kinyoubi	Friday	пятница
薬	くすり	kusuri	medicine	лекаство
	ください	kudasai	Please	пожалуйста
果物	くだもの	kudamono	Fruit	фрукты
口	くち	kuchi	mouth, opening	рот
靴	くつ	kutsu	Shoes	обувь
靴下	くつした	kutsushita	Socks	носки
国	くに	kuni	Country	страна
曇り	くもり	kumori	cloudy weather	облачная погода
曇る	くもる	kumoru	to become cloudy, to become dim	затянуться облаками; стать тусклым
暗い	くらい	kurai	Gloomy	мрачный; темный
	クラス	kurasu	Class	класс
	グラム	guramu	Gram	грамм
来る	くる	kuru	to come	приехать
車	くるま	kuruma	car, vehicle	автомобиль; машина
黒(い)	くろ(い)	kuro(i)	black	черный
警官	けいかん	keikan	policeman	полицейский
今朝	けさ	kesa	this morning	сегодня утром
消す	けす	kesu	to erase, to turn off power	стирать ; выключать питание
結構	けっこう	kekkou	splendid, enough	великолепно ; достаточно
結婚	けっこん	kekkon	Marriage	брак
月曜日	げつようび	getsuyoubi	Monday	понедельник
玄関	げんかん	genkan	entry hall	прихожая
元気	げんき	genki	health, vitality	здоровье; бодрость; энергия
五	ご	go	Five	пять
公園	こうえん	kouen	Park	парк
交差点	こうさてん	kousaten	intersection	пересечение; перекресток
紅茶	こうちゃ	koucha	black tea	черный чай
交番	こうばん	kouban	police box	полицейский пост (будка)
声	こえ	koe	Voice	голос
	コート	kooto	coat, tennis court	пальто ; теннисный корт
	コーヒー	koohii	Coffee	кофе
	ここ	koko	Here	здесь
今日は	こんにちは	konnichiwa	hello, good day (daytime greeting id)	 привет; добрый день
今晩は	こんばんは	konbanwa	good evening		добрый вечер
午後	ごご	gogo	afternoon	после полудня
九日	ここのか	kokonoka	nine days, ninth day	девятый день месяца
九つ	ここのつ	kokonotsu	Nine	девять
午前	ごぜん	gozen	morning	утро
答える	こたえる	kotaeru	to answer	отвечать
	こちら	kochira	this person or way	этот человек; эта сторона
	こっち	kocchi	this person or way	этот человек; эта сторона
	コップ	koppu	a glass	чашка
今年	ことし	kotoshi	this year	этот год
言葉	ことば	kotoba	word, language	слово ; язык
子供	こども	kodomo	Child	ребенок
	この	kono	This	это
御飯	ごはん	gohan	cooked rice, meal	вареный рис ; еда
	コピーする	kopiisuru	to copy	копировать
困る	こまる	komaru	to be worried	быть в затруднении; быть в трудном положении
	これ	kore	This	это
今月	こんげつ	kongetsu	this month	этот месяц
今週	こんしゅう	konshuu	this week	эта неделя
	こんな	konna	Such	такие
今晩	こんばん	konban	this evening	этот вечер; добрый вечер
	さあ	saa	well…	так; хорошо ...
侍	さむらい	samurai	samurai	бумажник
財布	さいふ	saifu	Wallet	рыба
魚	さかな	sakana	Fish	верхушка; первенство; далее; прежний; будущее
先	さき	saki	the future, previous	цвести
咲く	さく	saku	to bloom	состав ; письмо
作文	さくぶん	sakubun	composition, writing	открывать (зонт)
差す	さす	sasu	to stretch out hands, to raise an umbrella	журнал
雑誌	ざっし	zasshi	Magazine	сахар
砂糖	さとう	satou	Sugar	холодный (о погоде)
寒い	さむい	samui	Cold	через год
さ来年	さらいねん	sarainen	year after next	Г-н или г-жа
三	さん	san	Three	три
	さん	san	Mr or Mrs	прогуливаться
散歩	さんぽする	sanposuru	to stroll	прощай
	さようなら	sayounara	good bye	четыре
四	し / よん	shi / yon	Four	самурай ; воин
塩	しお	shio	Salt	соль
	しかし	shikashi	However	однако; но
時間	じかん	jikan	Time	время
仕事	しごと	shigoto	Job	работа
辞書	じしょ	jisho	Dictionary	словарь
静か	しずか	shizuka	Quiet	тихо
下	した	shita	Below	ниже
七	しち / なな	shichi / nana	Seven	семь
質問	しつもん	shitsumon	Question	вопрос
自転車	じてんしゃ	jitensha	Bicycle	велосипед
自動車	じどうしゃ	jidousha	Automobile	автомобиль
死ぬ	しぬ	shinu	to die	умирать
字引	じびき	jibiki	Dictionary	словарь
自分	じぶん	jibun	Oneself	я; сам
閉まる	しまる	shimaru	to close, to be closed	быть закрытым
閉める	しめる	shimeru	to close something	закрывать
締める	しめる	shimeru	to tie	затягивать; завязывать
	じゃ/じゃあ	ja/jaa	well then…	ну; тогда ...
写真	しゃしん	shashin	photograph	фотография
	シャツ	shatsu	Shirt	рубашка
	シャワー	shawaa	Shower	душ
十	じゅう とお	juu too	Ten	десять
授業	じゅぎょう	jugyou	lesson, class work	урок ; класс работы
宿題	しゅくだい	shukudai	homework	домашнее задание
上手	じょうず	jouzu	Skillful	искусный
丈夫	じょうぶ	joubu	strong, durable	прочный; долговечный
	しょうゆ	shouyu	soy sauce	соевый соус
食堂	しょくどう	shokudou	dining hall	столовая
知る	しる	shiru	to know	знать
白(い)	しろ(い)	shiro(i)	White	белый
新聞	しんぶん	shinbun	newspaper	газета
水曜日	すいようび	suiyoubi	Wednesday	среда
吸う	すう	suu	to smoke, to suck	вдыхать;курить ; сосать
	スカート	sukaato	Skirt	юбка
好き	すき	suki	Likeable	приятный; тот что нравится
少ない	すくない	sukunai	a few	несколько; немного
	すぐに	suguni	Instantly	немедленно
少し	すこし	sukoshi	Few	немного
涼しい	すずしい	suzushii	Refreshing	прохладный; освежающий
	ストーブ	sutoobu	Heater	нагреватель
	スプーン	supuun	Spoon	ложка
	スポーツ	supootsu	Sport	спорт
	ズボン	zubon	Trousers	брюки
住む	すむ	sumu	to live in	жить; проживать
	スリッパ	surippa	Slippers	тапки
	する	suru	to do	сделать
座る	すわる	suwaru	to sit	сидеть
背	せ	se	height, stature	высота; рост
生徒	せいと	seito	Pupil	ученик
	セーター	seetaa	sweater, jumper	свитер ; джемпер
	せっけん	sekken	Economy	экономика
背広	せびろ	sebiro	business suit	деловой костюм
狭い	せまい	semai	Narrow	узкий
	ゼロ	zero	Zero	нулевой
千	せん	sen	Thousand	тысяча
先月	せんげつ	sengetsu	last month	прошлый месяц
先週	せんしゅう	senshuu	last week	прошлая неделя
先生	せんせい	sensei	teacher, doctor	учитель; врач
洗濯	せんたく	sentaku	Washing	мойка
全部	ぜんぶ	zenbu	All	все
掃除	そうじする	soujisuru	to clean, to sweep	чистить; подметать
	そうして/そして	soushite/soshite	And	и; таким образом
	そこ	soko	that place	там
	そちら(そっち)	sochira(socchi)	over there	место, где вы живёте;у вас
外	そと	soto	Outside	вне
	その	sono	That	этот
	そば	soba	near, beside	рядом ; рядом
空	そら	sora	Sky	небо
	それ	sore	that	это
	それから	sorekara	after that	затем; с тех пор: после этого
	それでは	soredeha	in that situation	значит; раз так; в таком случае
大学	だいがく	daigaku	university	университет
大使館	たいしかん	taishikan	embassy	посольство
大丈夫	だいじょうぶ	daijoubu	all right	все в порядке
大好き	だいすき	daisuki	to be very likeable	очень нравится; любимый; излюбленный
大切	たいせつ	taisetsu	important	важный
台所	だいどころ	daidokoro	kitchen	кухня
	たいへん	taihen	very	очень
	たいへん	taihen	difficult situation	сложная ситуация
高い	たかい	takai	tall, expensive	высокий; дорогой
	たくさん	takusan	many	много
	タクシー	takushii	taxi	такси
出す	だす	dasu	to put out	выходить
立つ	たつ	tatsu	to stand	стоять
	たて	tate	length,height	длина; ширина
建物	たてもの	tatemono	building	здание
楽しい	たのしい	tanoshii	enjoyable	приятный
頼む	たのむ	tanomu	to ask	просить; запрашивать
	たばこ	tabako	tobacco,cigarettes	табак; сигареты
	たぶん	tabun	probably	вероятно
食べ物	たべもの	tabemono	food	еда
食べる	たべる	taberu	to eat	есть
卵	たまご	tamago	egg	яйцо
誰	だれ	dare	who	кто
誰	だれか	dareka	somebody	кто-то
誕生日	たんじょうび	tanjoubi	birthday	день рождения
	だんだん	dandan	gradually	постепенно
小さい/小さな	ちいさい/ちいさな	chiisai/chiisana	little	маленький
近い	ちかい	chikai	near	около
違う	ちがう	chigau	to differ	отличаться
近く	ちかく	chikaku	near	около
地下鉄	ちかてつ	chikatetsu	underground train	метро
地図	ちず	chizu	map	карта
茶色	ちゃいろ	chairo	brown	коричневый
	ちゃわん	chawan	rice bowl	чаша для риса
	ちょうど	choudo	exactly	точно
	ちょっと	chotto	somewhat	немножко; чуточку
一日	ついたち	tsuitachi	first of month	первое число месяца
使う	つかう	tsukau	to use	использовать
疲れる	つかれる	tsukareru	to get tired	уставать
次	つぎ	tsugi	next	следующий
着く	つく	tsuku	to arrive at	прибывать, приезжать
机	つくえ	tsukue	desk	стол
作る	つくる	tsukuru	to make	делать, изготовлять
	つける	tsukeru	to turn on	включать
勤める	つとめる	tsutomeru	to work for someone	работать на кого-то
	つまらない	tsumaranai	boring	скучный
冷たい	つめたい	tsumetai	cold to the touch	холодный; бесстрастный
強い	つよい	tsuyoi	powerful	сильный
手	て	te	hand	рука
	テープ	teepu	tape	лента
	テーブル	teeburu	table	стол
	テープレコーダー	teepurekoodaa	tape recorder	магнитофон
出かける	でかける	dekakeru	to go out	выходить
手紙	てがみ	tegami	letter	письмо
	できる	dekiru	to be able to	получаться; мочь
出口	でぐち	deguchi	exit	выход
	テスト	tesuto	test	тест
	では	deha	with that...	значит; в таком случае; итак
	デパート	depaato	department store	универмаг
	でも	demo	but	но
出る	でる	deru	to appear,to leave	появляться ; выходить
	テレビ	terebi	television	телевидение
天気	てんき	tenki	weather	погода
電気	でんき	denki	electricity,electric light	электричество; электрический свет
電車	でんしゃ	densha	electric train	электропоезд
電話	でんわ	denwa	telephone	телефон
戸	と	to	Japanese style door	дверь (в японском стиле)
	ドア	doa	Western style door	дверь (в западном стиле)
	トイレ	toire	toilet	туалет
	どう	dou	how,in what way	как ; каким образом
	どうして	doushite	for what reason	по какой причине; почему
	どうぞ	douzo	please	пожалуйста
動物	どうぶつ	doubutsu	animal	животное
	どうも	doumo	thanks	спасибо
遠い	とおい	tooi	far	далеко
十日	とおか	tooka	ten days,the tenth day	десятый день месяца
時々	ときどき	tokidoki	sometimes	иногда
時計	とけい	tokei	watch,clock	часы
	どこ	doko	where	где
所	ところ	tokoro	place	место
年	とし	toshi	year	год
図書館	としょかん	toshokan	library	библиотека
	どちら(どっち)	dochira(docchi)	which of two; which	какой из двух; который
	とても	totemo	very	очень
	どなた	donata	who	кто
隣	となり	tonari	next door to	рядом
	どの	dono	which	который
飛ぶ	とぶ	tobu	to fly,to hop	летать; прыгать
止まる	とまる	tomaru	to come to a halt	останавливаться
友達	ともだち	tomodachi	friend	друг
土曜日	どようび	doyoubi	Saturday	суббота
鳥	とり	tori	bird	птица
とり肉	とりにく	toriniku	chicken meat	куриное мясо
取る	とる	toru	to take something	брать
撮る	とる	toru	to take a photo or record a film	делать снимок
	どれ	dore	which (of three or more)	который (из трех или более)
	ナイフ	naifu	knife	нож
中	なか	naka	middle	средний; середина
長い	ながい	nagai	long	долго
鳴く	なく	naku	animal noise. to chirp, roar or croak etc.	издавать звук (о животном: мяукать, квакать)
無くす	なくす	nakusu	to lose something	терять
	なぜ	naze	why	почему
夏	なつ	natsu	summer	лето
夏休み	なつやすみ	natsuyasumi	summer holiday	летние каникулы
	など	nado	et cetera	и т.д.
七つ	ななつ	nanatsu	seven	семь
七日	なのか	nanoka	seven days,the seventh day	седьмой день месяца
名前	なまえ	namae	name	название; имя
習う	ならう	narau	to learn	узнавать; учиться
並ぶ	ならぶ	narabu	to line up,to stand in a line	выстраиваться ; чтобы стоять в очереди
並べる	ならべる	naraberu	to line up,to set up	выстраиваться ; чтобы настроить
	なる	naru	to become	становиться
何	なん/なに	nan/nani	what	что
二	に	ni	two	два
賑やか	にぎやか	nigiyaka	bustling,busy	шумный ; оживленный
肉	にく	niku	meat	мясо
西	にし	nishi	west	запад
日曜日	にちようび	nichiyoubi	Sunday	воскресенье
荷物	にもつ	nimotsu	luggage	багаж
日本	にっぽん(にほん)	nippon	Japan	Япония
	ニュース	nyuusu	news	новости
庭	にわ	niwa	garden	сад
脱ぐ	ぬぐ	nugu	to take off clothes	снимать одежду
温い	ぬるい	nurui	luke warm	чуть теплый
	ネクタイ	nekutai	tie,necktie	галстук
猫	ねこ	neko	cat	кошка
寝る	ねる	neru	to go to bed,to sleep	ложиться спать
	ノート	nooto	notebook,exercise book	ноутбук; тетрадь
登る	のぼる	noboru	to climb	подниматься
飲み物	のみもの	nomimono	a drink	напиток
飲む	のむ	nomu	to drink	пить
乗る	のる	noru	to get on,to ride	пересааживаться (о транспорте) ; ездить
歯	は	ha	tooth	зуб
	パーティー	paatii	party	партия
	はい	hai	yes	да
灰皿	はいざら	haizara	ashtray	пепельница
入る	はいる	hairu	to enter,to contain	ввести ; чтобы содержать
葉書	はがき	hagaki	postcard	открытка
	はく	haku	to wear,to put on trousers	надевать (брюки, носки, юбку)
箱	はこ	hako	box	коробка
橋	はし	hashi	bridge	мост
	はし	hashi	chopsticks	палочки для еды
始まる	はじまる	hajimaru	to begin	начать
初め/始め	はじめ	hajime	beginning	начало
初めて	はじめて	hajimete	for the first time	впервые
走る	はしる	hashiru	to run	бегать
	バス	basu	bus	автобус
	バター	bataa	butter	масло
二十歳	はたち	hatachi	20 years old,20th year	20 лет; 20-й год
働く	はたらく	hataraku	to work	работать
八	はち	hachi	eight	восемь
二十日	はつか	hatsuka	twenty days,twentieth	двадцатый день месяца
花	はな	hana	flower	цветок
鼻	はな	hana	nose	нос
話	はなし	hanashi	talk,story	обсуждение ; история
話す	はなす	hanasu	to speak	говорить
早い	はやい	hayai	early	рано
速い	はやい	hayai	quick	быстро
春	はる	haru	spring	весна
貼る	はる	haru	to stick	наклеивать; покрывать
晴れ	はれ	hare	clear weather	ясная погода
晴れる	はれる	hareru	to be sunny	проясняться (о погоде)
半	はん	han	half	половина
晩	ばん	ban	evening	вечер
	パン	pan	bread	хлеб
	ハンカチ	hankachi	handkerchief	носовой платок
番号	ばんごう	bangou	number	число
晩御飯	ばんごはん	bangohan	evening meal	ужин
半分	はんぶん	hanbun	half minute	полминуты
東	ひがし	higashi	east	восток
引く	ひく	hiku	to pull	тянуть
弾く	ひく	hiku	to play an instrument with strings, including piano	играть на  струнном музыкальном инструменте и на фортепиано
低い	ひくい	hikui	short,low	низкий
飛行機	ひこうき	hikouki	aeroplane	самолет
左	ひだり	hidari	left hand side	лево
人	ひと	hito	person	человек
一つ	ひとつ	hitotsu	one	один
一月	ひとつき	hitotsuki	one month	один месяц
一人	ひとり	hitori	one person	один человек
暇	ひま	hima	free time	свободное время
百	ひゃく	hyaku	hundred	сто
病院	びょういん	byouin	hospital	больница
病気	びょうき	byouki	illness	болезнь
昼	ひる	hiru	noon, daytime	полдень; день
昼御飯	ひるごはん	hirugohan	midday meal	обеда
広い	ひろい	hiroi	spacious,wide	просторный ; широкий
	フィルム	firumu	roll of film	фото, кино плёнка; фильм
封筒	ふうとう	fuutou	envelope	конверт
	プール	puuru	swimming pool	бассейн
	フォーク	fooku	fork	вилка
吹く	ふく	fuku	to blow	дуть; выдувать; играть (на духовом инструменте)
服	ふく	fuku	clothes	одежда
二つ	ふたつ	futatsu	two	два
豚肉	ぶたにく	butaniku	pork	свинина
二人	ふたり	futari	two people	два человека
二日	ふつか	futsuka	two days, second day of the month	второй день месяца
太い	ふとい	futoi	fat	жирный; толстый
冬	ふゆ	fuyu	winter	зима
降る	ふる	furu	to fall, e.g. rain or snow	идти (о дожде или снеге)
古い	ふるい	furui	old (not used for people)	старый (не используется о людях)
	ふろ	furo	bath	ванна
文章	ぶんしょう	bunshou	sentence,text	художественный текст; литературный стиль
	ページ	peeji	page	страница
下手	へた	heta	unskillful	неумелый
	ベッド	beddo	bed	кровать
	ペット	petto	pet	домашнее животное
部屋	へや	heya	room	номер
辺	へん	hen	area	площадь
	ペン	pen	pen	ручка
勉強	べんきょうする	benkyousuru	to study	учиться
便利	べんり	benri	useful, convenient	полезно ; удобно
帽子	ぼうし	boushi	hat	шляпа
	ボールペン	boorupen	ball-point pen	шариковая ручка
	ほか	hoka	other, the rest	другой; остальные
	ポケット	poketto	pocket	карман
欲しい	ほしい	hoshii	want	хотеть
	ポスト	posuto	post	почтовый ящик; должность
細い	ほそい	hosoi	thin	тонкий
	ボタン	botan	button	кнопка
	ホテル	hoteru	hotel	отель
本	ほん	hon	book	книга
本棚	ほんだな	hondana	bookshelves	книжные полки
	ほんとう	hontou	truth	правда
毎朝	まいあさ	maiasa	every morning	каждое утро
毎月	まいげつ/まいつき	maigetsu/maitsuki	every month	каждый месяц
毎週	まいしゅう	maishuu	every week	каждая неделя
毎日	まいにち	mainichi	every day	каждый день
毎年	まいねん/まいとし	mainen/maitoshi	every year	каждый год
毎晩	まいばん	maiban	every night	каждая ночь
前	まえ	mae	before	до; перед
曲る	まがる	magaru	to turn,to bend	сгинать; поворачивать
	まずい	mazui	unpleasant	неприятный
	また	mata	again,and	снова
	まだ	mada	yet,still	все еще; до сих пор
町	まち	machi	town,city	город; город
待つ	まつ	matsu	to wait	ждать
	まっすぐ	massugu	straight ahead,direct	прямо; вперед
	マッチ	macchi	match	матч
窓	まど	mado	window	окно
丸い/円い	まるい	marui	round,circular	круглый ; круговой
万	まん	man	ten thousand	десять тысяч
万年筆	まんねんひつ	mannenhitsu	fountain pen	авторучка
磨く	みがく	migaku	to brush teeth, to polish	чистить зубы ; полировать
右	みぎ	migi	right side	правая сторона
短い	みじかい	mijikai	short	короткий
水	みず	mizu	water	вода
店	みせ	mise	shop	магазин
見せる	みせる	miseru	to show	показать
道	みち	michi	street	улица
三日	みっか	mikka	three days, third day of the month	третий день месяца
三つ	みっつ	mittsu	three	три
緑	みどり	midori	green	зеленый; трава
皆さん	みなさん	minasan	everyone	все
南	みなみ	minami	south	юг
耳	みみ	mimi	ear	ухо
見る/観る	みる	miru	to see, to watch	смотреть
	みんな	minna	everyone	все
六日	むいか	muika	six days, sixth day of the month	шестой день месяца
向こう	むこう	mukou	over there	вон там
難しい	むずかしい	muzukashii	difficult	трудный
六つ	むっつ	muttsu	six	шесть
村	むら	mura	village	деревня
目	め	me	eye	глаз
	メートル	meetoru	metre	метр
眼鏡	めがね	megane	glasses	очки
	もう	mou	already	уже
もう一度	もういちど	mouichido	again	снова
木曜日	もくようび	mokuyoubi	Thursday	четверг
持つ	もつ	motsu	to hold	провести
	もっと	motto	more	более
物	もの	mono	thing	вещь
門	もん	mon	gate	ворота
問題	もんだい	mondai	problem	проблема
八百屋	やおや	yaoya	greengrocer	овощная лавка
野菜	やさい	yasai	vegetable	овощи
易しい	やさしい	yasashii	easy, simple	легко; просто
安い	やすい	yasui	cheap	дешево
休み	やすみ	yasumi	rest,holiday	отдых; выходной
休む	やすむ	yasumu	to rest	отдыхать
八つ	やっつ	yattsu	eight	восемь
山	やま	yama	mountain	гора
	やる	yaru	to do	делать
夕方	ゆうがた	yuugata	evening	вечер
夕飯	ゆうはん	yuuhan	dinner	ужин
郵便局	ゆうびんきょく	yuubinkyoku	post office	почта
昨夜	ゆうべ	yuube	last night	вчера вечером
有名	ゆうめい	yuumei	famous	известный
