	あ	a	ах
失敗	しっぱい	shippai	неудача; ошибка
辞典	じてん	jiten	словарь
品物	しなもの	shinamono	товары
	しばらく	shibaraku	некоторое время
島	しま	shima	остров
市民	しみん	shimin	гражданин
事務所	じむしょ	jimusho	офис
社会	しゃかい	shakai	общество
社長	しゃちょう	shachou	президент компании
	じゃま	jama	помеха; неудобство
	ジャム	jamu	варенье
自由	じゆう	jiyuu	свобода
習慣	しゅうかん	shuukan	обычай; нравы
住所	じゅうしょ	juusho	адрес ; место жительства
柔道	じゅうどう	juudou	дзюдо
十分	じゅうぶん	juubun	достаточно
出席	しゅっせき・する	shusseki suru	учавствовать; присутствовать
出発	しゅっぱつ・する	shuppatsu suru	выезжать; отправляться
趣味	しゅみ	shumi	хобби
準備	じゅんび・する	junbi suru	подготавливать
紹介	しょうかい	shoukai	введение
小学校	しょうがっこう	shougakkou	начальная школа
小説	しょうせつ	shousetsu	роман
招待	しょうたい・する	shoutai suru	приглашать
承知	しょうち・する	shouchi suru	давать согласие
将来	しょうらい	shourai	будущее; перспективы
食事	しょくじ・する	shokuji suru	принятие пищи; еда
食料品	しょくりょうひん	shokuryouhin	бакалейные товары
女性	じょせい	josei	женщина
知らせる	しらせる	shiraseru	уведомлять
調べる	しらべる	shiraberu	исследовать
人口	じんこう	jinkou	население
神社	じんじゃ	jinja	синтоистский храм
親切	しんせつ	shinsetsu	доброта
心配	しんぱい・する	shinpai suru	беспокоиться
新聞社	しんぶんしゃ	shinbunsha	газетное издательство
水泳	すいえい	suiei	плавание
水道	すいどう	suidou	водоснабжение
	ずいぶん	zuibun	чрезвычайно
数学	すうがく	suugaku	математика; арифметика
	スーツ	suutsu	костюм
	スーツケース	suutsukeesu	чемодан
過ぎる	すぎる	sugiru	превышать
	すく	suku	пустеть; быть пустым
	スクリーン	sukuriin	экран
凄い	すごい	sugoi	потрясающий
進む	すすむ	susumu	продвигаться; добиваться прогресса
	すっかり	sukkari	полностью
	すっと	sutto	прямо; внезапно
	ステーキ	suteeki	стейк
捨てる	すてる	suteru	выбрасывать
	ステレオ	sutereo	стерео
砂	すな	suna	песок
	すばらしい	subarashii	замечательный
滑る	すべる	suberu	скользить ; скользить
隅	すみ	sumi	угол (внешний)
済む	すむ	sumu	заканчивать
	すり	suri	карманник
	すると	suruto	затем
生活	せいかつ・する	seikatsu suru	жить; существовать
生産	せいさん・する	seisan suru	производить
政治	せいじ	seiji	политика; правительство
西洋	せいよう	seiyou	западные страны
世界	せかい	sekai	мир
席	せき	seki	сиденье
説明	せつめい	setsumei	объяснение
背中	せなか	senaka	спина
	ぜひ	zehi	обязательно
世話	せわ・する	sewa suru	заботиться
線	せん	sen	линия
	ぜんぜん	zenzen	не полностью (используется c отрицанием)
戦争	せんそう	sensou	война
先輩	せんぱい	senpai	старший товарищ
	そう	sou	итак
相談	そうだん・する	soudan suru	обсуждать
育てる	そだてる	sodateru	растить; воспитывать
卒業	そつぎょう	sotsugyou	выпускаться (из учебного заведения)
祖父	そふ	sofu	дед
	ソフト	sofuto	мягкий
祖母	そぼ	sobo	бабушка
	それで	sorede	по этой причине
	それに	soreni	к тому же; вдобавок
	それほど	sorehodo	настолько; так
	そろそろ	sorosoro	постепенно; в ближайшее время
	そんな	sonna	такого рода
	そんなに	sonnani	так много; как ; что
退院	たいいん・する	taiin suru	выписываться из больницы
大学生	だいがくせい	daigakusei	студент университета
大事	だいじ	daiji	важно ; ценно; серьезное дело
大体	だいたい	daitai	обычно
	たいてい	taitei	обычно
	タイプ	taipu	тип ; стиль
大分	だいぶ	daibu	значительно
台風	たいふう	taifuu	тайфун
倒れる	たおれる	taoreru	падать; валиться
	だから	dakara	так ; поэтому
確か	たしか	tashika	определенный
足す	たす	tasu	складывать (о числах)
訪ねる	たずねる	tazuneru	посещать
尋ねる	たずねる	tazuneru	спрашивать; разыскивать
正しい	ただしい	tadashii	верный
畳	たたみ	tatami	татами
立てる	たてる	tateru	стоять
建てる	たてる	tateru	строить
例えば	たとえば	tatoeba	например
棚	たな	tana	полка
楽しみ	たのしみ	tanoshimi	радость
楽む	たのしむ	tanoshimu	веселиться
	たまに	tamani	иногда
為	ため	tame	для того; чтобы
	だめ	dame	нельзя
足りる	たりる	tariru	быть достаточчным
男性	だんせい	dansei	мужской пол
暖房	だんぼう	danbou	отопление
血	ち	chi	кровь
	チェック・する	chekku suru	проверять
力	ちから	chikara	сила; мощь
	ちっとも	chittomo	совсем (с отрицанием)
	ちゃん	chan	именной суффикс (о знакомых женского пола)
注意	ちゅうい	chuui	осторожность
中学校	ちゅうがっこう	chuugakkou	средняя школа 
注射	ちゅうしゃ	chuusha	инъекция
駐車場	ちゅうしゃじょう	chuushajou	стоянка для машин
地理	ちり	chiri	география
捕まえる	つかまえる	tsukamaeru	схвавтить; поймать
	つき	tsuki	луна
付く	つく	tsuku	приклеивать; пислонять
漬ける	つける	tsukeru	вымачивать; мариновать
都合	つごう	tsugou	обстоятельства ; положение
伝える	つたえる	tsutaeru	сообщать
続く	つづく	tsuzuku	продолжать
続ける	つづける	tsuzukeru	продолжаться; следовать
包む	つつむ	tsutsumu	оборачивать
妻	つま	tsuma	(скромно)моя жена
	つもり	tsumori	намерение
釣る	つる	tsuru	ловить рыбу
連れる	つれる	tsureru	вести
丁寧	ていねい	teinei	вежливый
	テキスト	tekisuto	текст; текст книги
適当	てきとう	tekitou	пригодность
	できるだけ	dekirudake	насколько возможно
手伝う	てつだう	tetsudau	помогать
	テニス	tenisu	теннис
手袋	てぶくろ	tebukuro	перчатка
寺	てら	tera	храм
点	てん	ten	точка
店員	てんいん	tenin	продавец
天気予報	てんきよほう	tenkiyohou	прогноз погоды
電灯	でんとう	dentou	электрический свет
電報	でんぽう	denpou	телеграмма
展覧会	てんらんかい	tenrankai	выставка
都	と	to	столица
道具	どうぐ	dougu	инструмент ; средства
	とうとう	toutou	наконец ; в конце концов
動物園	どうぶつえん	doubutsuen	зоопарк
遠く	とおく	tooku	далеко
通る	とおる	tooru	проходить
特に	とくに	tokuni	в частности ; особенно
特別	とくべつ	tokubetsu	специальный
	とこや	tokoya	парикмахер
途中	とちゅう	tochuu	в пути
特急	とっきゅう	tokkyuu	специальный экспресс (быстрее, чем поезд-экспресс)
届ける	とどける	todokeru	достигать
泊まる	とまる	tomaru	останавливаться на ночь; ночевать
止める	とめる	tomeru	останавливать
取り替える	とりかえる	torikaeru	обменивать
泥棒	どろぼう	dorobou	вор
	どんどん	dondon	все более и более
直す	なおす	naosu	исправлять ; чинить
直る	なおる	naoru	быть исправленным; выздоравливать
治る	なおる	naoru	лечить; чинить
中々	なかなか	nakanaka	очень; весьма
泣く	なく	naku	плакать
無くなる	なくなる	nakunaru	исчезать; теряться
亡くなる	なくなる	nakunaru	умирать
投げる	なげる	nageru	бросать;разбрасывать
	なさる	nasaru	(уважительно) делать
鳴る	なる	naru	звучать
	なるべく	narubeku	как можно больше
	なるほど	naruhodo	теперь я понимаю; понятно
慣れる	なれる	nareru	привыкать
	におい	nioi	запах
苦い	にがい	nigai	горький
二階建て	にかいだて	nikaidate	двухэтажный
逃げる	にげる	nigeru	бегать; убегать
日記	にっき	nikki	журнал
入院	にゅういん・する	nyuuin suru	госпитализировать
入学	にゅうがく・する	nyuugaku suru	поступать в школу или университет
似る	にる	niru	быть похожим
人形	にんぎょう	ningyou	кукла ; фигура
盗む	ぬすむ	nusumu	красть
塗る	ぬる	nuru	рисовать; покрывать лаком
	ぬれる	nureru	промокать
	ねだん	nedan	цена
熱	ねつ	netsu	жар; температуа
	ねっしん	nesshin	энтузиазм
寝坊	ねぼう	nebou	человек, который спит допоздна
眠い	ねむい	nemui	сонный
眠る	ねむる	nemuru	спать
残る	のこる	nokoru	оставаться
	のど	nodo	горло
乗り換える	のりかえる	norikaeru	менять транспорт, пересаживаться
乗り物	のりもの	norimono	автомобиль
葉	は	ha	лист (дерева)
場合	ばあい	baai	ситуация
	パート	paato	неполный рабочий день
倍	ばい	bai	двойной
拝見	はいけん・する	haiken suru	(скромно) смотреть
歯医者	はいしゃ	haisha	дантист
運ぶ	はこぶ	hakobu	переносить; тащить
始める	はじめる	hajimeru	начать
場所	ばしょ	basho	место
	はず	hazu	наверное
恥ずかしい	はずかしい	hazukashii	смущенный
	パソコン	pasokon	персональный компьютер
発音	はつおん	hatsuon	произношение
	はっきり	hakkiri	точно
花見	はなみ	hanami	любование сакурой
林	はやし	hayashi	лес
払う	はらう	harau	платить
番組	ばんぐみ	bangumi	теле или радио программа
反対	はんたい	hantai	оппозиция; сопротивление
	ハンドバッグ	handobaggu	сумка
日	ひ	hi	день; солнце
火	ひ	hi	огонь
	ピアノ	piano	пианино
冷える	ひえる	hieru	охлаждаться
光	ひかり	hikari	свет
光る	ひかる	hikaru	сиять ; блестеть
引き出し	ひきだし	hikidashi	выдвижной ящик
引き出す	ひきだす	hikidasu	отозывать
	ひげ	hige	борода
飛行場	ひこうじょう	hikoujou	аэропорт
久しぶり	ひさしぶり	hisashiburi	после долгого времени
美術館	びじゅつかん	bijutsukan	художественная галерея
非常に	ひじょうに	hijouni	чрезвычайно
	びっくり・する	bikkuri suru	удивляться
引っ越す	ひっこす	hikkosu	переезжать на другую квартиру
必要	ひつよう	hitsuyou	необходимо
	ひどい	hidoi	ужасный
開く	ひらく	hiraku	открывать 
	ビル	biru	здание
昼間	ひるま	hiruma	день ; в течение дня
昼休み	ひるやすみ	hiruyasumi	полуденный перерыв
拾う	ひろう	hirou	подобирать; собирать
	ファックス	fakkusu	факс
増える	ふえる	fueru	увеличивать
深い	ふかい	fukai	глубокий
複雑	ふくざつ	fukuzatsu	сложный; запутанный
復習	ふくしゅう	fukushuu	пересмотр
部長	ぶちょう	buchou	заведующий отделом
普通	ふつう	futsuu	обычный; простой
	ぶどう	budou	виноград
太る	ふとる	futoru	толстеть
布団	ふとん	futon	японское одело; футон
舟	ふね	fune	корабль
不便	ふべん	fuben	неудобство
踏む	ふむ	fumu	наступать на
降り出す	ふりだす	furidasu	начинаться (о дожде)
	プレゼント	purezento	подарок
文化	ぶんか	bunka	культура
文学	ぶんがく	bungaku	литература
文法	ぶんぽう	bunpou	грамматика
別	べつ	betsu	другой
	ベル	beru	колокольчик
変	へん	hen	странный
返事	へんじ	henji	ответ
貿易	ぼうえき	boueki	торговля
放送	ほうそう・する	housou suru	транслировать
法律	ほうりつ	houritsu	закон
僕	ぼく	boku	я (неформальный мужской ваиант)
星	ほし	hoshi	звезда
	ほど	hodo	степень
	ほとんど	hotondo	главным образом
	ほめる	homeru	хвалить
翻訳	ほんやく	honyaku	перевод
参る	まいる	mairu	(скромно) идти
負ける	まける	makeru	проигрывать
	まじめ	majime	серьезно
	まず	mazu	в первую очередь
	または	matawa	или же
間違える	まちがえる	machigaeru	ошибаться
間に合う	まにあう	maniau	успевать
周り	まわり	mawari	окрестности
回る	まわる	mawaru	ходить вокруг
漫画	まんが	manga	манга; комиксы
真中	まんなか	mannaka	самая середина
見える	みえる	mieru	быть на виду
湖	みずうみ	mizuumi	озеро
味噌	みそ	miso	мисо, паста из соевых бобов
見つかる	みつかる	mitsukaru	быть обнаруженным
見つける	みつける	mitsukeru	обнаружить
皆	みな	mina	все
港	みなと	minato	гавань
向かう	むかう	mukau	к лицу
迎える	むかえる	mukaeru	пойти навстречу
昔	むかし	mukashi	старину ; бывший
虫	むし	mushi	насекомое
息子	むすこ	musuko	(скромно) сын
娘	むすめ	musume	(скромно) дочь
無理	むり	muri	невозможно
召し上がる	めしあがる	meshiagaru	(вежливо) есть
珍しい	めずらしい	mezurashii	редкий
申し上げる	もうしあげる	moushiageru	(скромно) говорить
申す	もうす	mousu	(скромно) называться
	もうすぐ	mousugu	скоро
	もし	moshi	если
	もちろん	mochiron	конечно
	もっとも	mottomo	чрезвычайно
戻る	もどる	modoru	возващать
木綿	もめん	momen	хлопок
	もらう	morau	получать
森	もり	mori	лес
焼く	やく	yaku	печь ; жарить
約束	やくそく	yakusoku	обещание
役に立つ	やくにたつ	yakunitatsu	быть полезным
焼ける	やける	yakeru	быть поджаренным; подгореым
優しい	やさしい	yasashii	нежный; добый
痩せる	やせる	yaseru	худеть
	やっと	yatto	наконец
	やはり/やっぱり	yahari/yappari	как я думал ; абсолютно
止む	やむ	yamu	 останавливаться
止める	やめる	yameru	останавливать
柔らかい	やわらかい	yawarakai	мягкий
湯	ゆ	yu	горячая вода
輸出	ゆしゅつ・する	yushutsu suru	экспортировать
輸入	ゆにゅう・する	yunyuu suru	импортировать
指	ゆび	yubi	палец
指輪	ゆびわ	yubiwa	кольцо
夢	ゆめ	yume	мечтать
揺れる	ゆれる	yureru	трясти; колебать
用	よう	you	использовать
用意	ようい	youi	подготовка
用事	ようじ	youji	развлечения
汚れる	よごれる	yogoreru	пачкаться
予習	よしゅう	yoshuu	подготовка к уроку
予定	よてい	yotei	расположение
予約	よやく	yoyaku	бронирование
寄る	よる	yoru	посещать
喜ぶ	よろこぶ	yorokobu	быть в восторге; радоваться
	よろしい	yoroshii	(уважительно) хороший; хорошо
理由	りゆう	riyuu	причина
利用	りよう	riyou	использование
両方	りょうほう	ryouhou	обе стороны
旅館	りょかん	ryokan	японский отель
留守	るす	rusu	пребывание вне дома; отсутствие
冷房	れいぼう	reibou	охлаждение (кондиционирование) воздуха
歴史	れきし	rekishi	история
	レジ	reji	регистр
	レポート/リポート	repooto/ripooto	отчет
連絡	れんらく	renraku	контакт
	ワープロ	waapuro	текстовый процессор
沸かす	わかす	wakasu	кипятить
別れる	わかれる	wakareru	отделять
沸く	わく	waku	кипятить
訳	わけ	wake	смысл; причина
忘れ物	わすれもの	wasuremono	потерянная вещь
笑う	わらう	warau	смеяться; улыбаться
割合	わりあい	wariai	ставка; коэффициент ; процент
割れる	われる	wareru	ломать
泳ぎ方	およぎかた	oyogikata	стиль плавания
