	あっ	a	Ah!;Oh!	ах
頂く	いただく	itadaku	to receive;to take food or drink (hum)	получать; принимать пищу или пить (вежливо)
痛み	いたみ	itami	pain;ache;sore;grief;distress	боль
至る	いたる	itaru	to come;to arrive	приезжать; прибывать
	いち	ichi	market;fair	рынок; ярмарка
位置	いち	ichi	place;situation;position;location	место; положение; расположение
一時	いちじ	ichiji	moment;time	момент; время
一度に	いちどに	ichidoni	all at once	внезапно
市場	いちば	ichiba	(the) market (as a concept)	рынок (как понятие)
一番	いちばん	ichiban	best;first;number one	лучший; первый; номер один
	いつか	itsuka	sometime;someday;one day	когда-то; когда-нибудь
一家	いっか	ikka	a house;a home;a family;a household	дом;семья; домохозяйство
一種	いっしゅ	isshu	a species;a kind;a variety	вид; род; разнообразие
一瞬	いっしゅん	isshun	a moment;an instant	момент; мгновенно
一生	いっしょう	isshou	whole life;a lifetime;all through life	вся жизнь;
一層	いっそう	issou	much more;still more;all the more	еще больше; все более
一体	いったい	ittai	(1) one object;one body;(2) what on earth?;really?;(3) generally	один объект; действительно?; как правило;
一致	いっち	icchi	(1) coincidence;agreement;(2) conformity	совпадение; соглашение
	いつでも	itsudemo	(at) any time;always;at all times;never (neg)	(в) любое время; всегда; никогда (с отр)
一般	いっぱん	ippan	general;liberal;universal;ordinary;average	в целом; всеобщее; обычный
一方	いっぽう	ippou	(1) on the other hand;(2) meanwhile;(3) only;simple;in turn	с другой стороны; в то время; в свою очередь;
	いつまでも	itsumademo	forever;for good;eternally;as long as one likes;indefinitely	навсегда; вечно; на неопределенный срок
いつも	いつも	itsumo	always;usually;every time;never (with neg. verb)	всегда; обычно; никогда (с отрицанием)
移動	いどう	idou	removal;migration;movement	миграция; движение
従兄弟	いとこ	itoko	cousin (male)	двоюродный брат (мужского пола)
稲	いね	ine	rice-plant	рис (на корню)
居眠り	いねむり	inemuri	dozing;nodding off	дремота
命	いのち	inochi	command;decree;life;destiny	приказ; жизнь; судьба
違反	いはん	ihan	violation (of law);transgression;infringement;breach	нарушение
衣服	いふく	ifuku	clothes	одежда
居間	いま	ima	living room (western style)	гостиная (в западном стиле)
今に	いまに	imani	before long;even now	в скором времени; и даже сейчас
今にも	いまにも	imanimo	at any time;soon	в любое время; и вскоре
否	いや	iya	no;the noes	нет
以来	いらい	irai	since;henceforth	с; отныне
依頼	いらい	irai	(1) request;commission;dispatch;(2) dependence;trust	запрос; просьба; доверие
	いらいら	iraira	getting nervous;irritation	раздраженный
	いらっしゃい	irasshai	welcome	добро пожаловать
医療	いりょう	iryou	medical care;medical treatment	медицинское обслуживание; лечение
岩	いわ	iwa	rock;crag	скала
祝い	いわい	iwai	celebration;festival	празднование; фестиваль
祝う	いわう	iwau	to congratulate;to celebrate	поздравлять; праздновать
言わば	いわば	iwaba	so to speak	так сказать
	いわゆる	iwayuru	the so-called;so to speak	так называемый; так сказать
	インク	inku	ink	чернила
印刷	いんさつ	insatsu	printing	печать
印象	いんしょう	inshou	impression	впечатление
引退	いんたい	intai	retire	уходить в отставку
引用	いんよう	inyou	quotation;citation	цитата
	ウイスキー	uisukii	whisky	виски
上	うわ	uwa	upper;outer;surface	Верхняя; внешний; поверхность
魚	うお	uo	fish	рыба
	うがい	ugai	gargle;rinse mouth	полоскание; прополоскать рот
伺う	うかがう	ukagau	(hon) to visit;to ask;to inquire	(вежливо) посетщать; спрашивать
受け取る	うけとる	uketoru	to receive;to get;to accept;to take	получать; принимать
動かす	うごかす	ugokasu	to move;to shift	двигаться
兎	うさぎ	usagi	rabbit;hare;cony	кролик; заяц
牛	うし	ushi	cattle;cow	крупный рогатоый скот; корова
失う	うしなう	ushinau	to lose;to part with	терять; расставаться с
後	うしろ	ushiro	afterwards;since then;in the future	позади
嘘	うそ	uso	lie;falsehood;incorrect fact;inappropriate	ложь
疑う	うたがう	utagau	to doubt;to distrust;to be suspicious of;to suspect	сомневаться; не доверять; подозревать
内	うち	uchi	inside	внутри
宇宙	うちゅう	uchuu	universe;cosmos;space	вселенная; космос
撃つ	うつ	utsu	to attack;to defeat;to destroy	атаковать; уничтожать
移す	うつす	utsusu	to remove;to transfer;to infect	удалять; передавать; заражать
訴える	うったえる	uttaeru	to sue (a person);to resort to;to appeal to	подавать в суд; прибегнуть к; обратиться к
	うなる	unaru	to groan;to moan	стонать
奪う	うばう	ubau	to snatch away	отнимать; захватывать
馬	うま	uma	(1) horse;(2) promoted bishop (shogi)	лошадь; перевернутый слон (сеги)
うまい	うまい	umai	delicious	восхитительный; вкусный
生まれ	うまれ	umare	birth;birth-place	рождение; место рождения
梅	うめ	ume	plum;plum-tree;lowest (of a three-tier ranking system)	слива; низкий (в системах трехуровневого рейтинга)
裏切る	うらぎる	uragiru	to betray;to turn traitor to;to double-cross	предавать
	うるさい	urusai	noisy;loud;fussy	шумный; громкий; суетливый
嬉しい	うれしい	ureshii	happy;glad;pleasant	счастливый; радостный; приятный
売れる	うれる	ureru	to be sold	продавать
噂	うわさ	uwasa	rumour;report;gossip;common talk	слухи; сплетни
運	うん	un	fortune;luck	состояние; удача
運転	うんてん	unten	operation;motion;driving	движение; вождение
運動	うんどう	undou	motion;exercise	движение; упражнение (физическое)
柄	え	e	handle;grip	рукоятка; рычаг
永遠	えいえん	eien	eternity;perpetuity;immortality;permanence	вечность; постоянство
永久	えいきゅう	eikyuu	eternity;perpetuity;immortality	вечность
影響	えいきょう	eikyou	influence;effect	влияние; эффект
営業	えいぎょう	eigyou	business;trade;management	бизнес; торговля
衛星	えいせい	eisei	satellite	спутник
栄養	えいよう	eiyou	nutrition;nourishment	питание
笑顔	えがお	egao	smiling face	улыбка
描く	えがく	egaku	to draw;to paint;to sketch;to depict;to describe	рисовать; описывать
餌	えさ	esa	feed;bait	корм; приманкиа
	エネルギー	enerugii	(n) energy (de; Energie)	энергия
得る	える(うる)	eru(uru)	to get;to gain;to win	получать
円	えん	en	circle;money	круг; деньги
延期	えんき	enki	postponement;adjournment	отсрочка
演技	えんぎ	engi	acting;performance	игра; исполнение
援助	えんじょ	enjo	assistance;aid;support	помощь; поддержка
	エンジン	enjin	engine	двигатель
演説	えんぜつ	enzetsu	speech;address	речь
演奏	えんそう	ensou	musical performance	спектакль; исполнение
遠慮	えんりょ	enryo	diffidence;restraint;reserve	стеснительность; сдержанность
御	お	o	honourable	уважительная приставка
老い	おい	oi	old age;old person;the old;the aged	старость; старый человек
追い付く	おいつく	oitsuku	to overtake;to catch up (with)	обогонять; догонять
王	おう	ou	king;ruler;sovereign;monarch	король; правитель; монарх
追う	おう	ou	to chase;to run after	преследовать; бежать за
王様	おうさま	ousama	king	король
王子	おうじ	ouji	prince	принц
応じる	おうじる	oujiru	to respond;to satisfy;to accept;to comply with;to apply for	ответить; принимать (предложение); выполнять
横断	おうだん	oudan	crossing	пересечение
終える	おえる	oeru	to finish	заканчивать
大いに	おおいに	ooini	very;much;greatly	очень; значительно
覆う	おおう	oou	to cover;to hide;to conceal;to wrap;to disguise	скрывать; оборачивать; маскировать
	オーバー	oobaa	(1) overcoat;(2) over	пальто; над
大家	おおや	ooya	rich family;distinguished family	богатая семья; знаменитая школа
丘	おか	oka	hill;height;knoll;rising ground	холм; возвышение
沖	おき	oki	open sea	открытое море
奥	おく	oku	interior;inner part	интерьер; внутренняя часть
贈る	おくる	okuru	to send;to give to;to award to;to confer on	давать; отправлять
起こる	おこる	okoru	to occur;to happen	происходить
幼い	おさない	osanai	very young;childish	очень молодой; детский
収める	おさめる	osameru	to obtain;to reap;to pay;to supply;to accept	платить; поставлять; принимать
	おじいさん	ojiisan	grandfather;male senior-citizen	дед; пожилой мужчина
	おしゃべり	oshaberi	chattering;talk;idle talk	болтовня
汚染	おせん	osen	pollution;contamination	загрязнение
	おそらく	osoraku	perhaps	возможно
恐れる	おそれる	osoreru	to fear;to be afraid of	бояться
恐ろしい	おそろしい	osoroshii	terrible;dreadful	ужасный; страшный
お互い	おたがい	otagai	mutual;reciprocal;each other	взаимный; обратный
穏やか	おだやか	odayaka	calm;gentle;quiet	спокойный; тихий
劣る	おとる	otoru	to fall behind;to be inferior to	отставать; быть хуже
お腹	おなか	onaka	stomach	желудок
鬼	おに	oni	ogre;demon;it (i.e.; in a game of tag)	черт; демон
帯	おび	obi	band (e.g. conduction; valence)	пояс (японский; широкий)
お昼	おひる	ohiru	lunch;noon	обед; полдень
	オフィス	ofisu	office	офис
溺れる	おぼれる	oboreru	to be drowned;to indulge in	тонуть; перен. предаваться чему-л.
	おまえ	omae	(fam) you (sing);presence (of a high personage)	(разг) ты
	おめでとう	omedetou	Congratulations!;an auspicious occasion!	поздравляю
お目に掛かる	おめにかかる	omenikakaru	(polite) to see;to meet	(вежливо) чтобы видеть; встречаться
思い出	おもいで	omoide	memories;recollections;reminiscence	воспоминание
主に	おもに	omoni	mainly;primarily	в основном; в первую очередь
思わず	おもわず	omowazu	unintentional;spontaneous	непреднамеренно; спонтанно
	おや	oya	parents	родители
泳ぎ	およぎ	oyogi	swimming	плавание
	およそ	oyoso	about;roughly;as a rule;approximately	примерно; как правило
及ぼす	およぼす	oyobosu	to exert;to cause;to exercise	оказывать; осуществлять
居る	おる	oru	to be (animate);to be;to exist	быть (об одушевленном); существовать
下す	おろす	orosu	to lower;to let go down	снижать; отпусткать вниз
降ろす	おろす	orosu	to take down;to launch;to drop	давать сойти; спскать
終	おわり	owari	the end	конец
音	おん	on	sound;note	звук
恩	おん	on	favour;obligation;debt of gratitude	долг благодарности
温暖	おんだん	ondan	warmth	тепло
温度	おんど	ondo	temperature	температура
可	か	ka	passable	возможный
課	か	ka	counter for chapters (of a book)	счетчик для глав (книги)
	カー	kaa	car	автомобиль
	カード	kaado	card;curd	карта
会	かい	kai	meeting;assembly;party;association;club	встреча;ассоциация; клуб
回	かい	kai	counter for occurrences	счетное слово для раундов; состязаний
害	がい	gai	injury;harm;evil influence;damage	травма; вред; повреждение
会員	かいいん	kaiin	member;the membership	член собрания
絵画	かいが	kaiga	picture	картинка
海外	かいがい	kaigai	foreign;abroad;overseas	иностранный
会計	かいけい	kaikei	account;finance;accountant	счета; финансы; бухгалтерия
解決	かいけつ	kaiketsu	settlement;solution;resolution	разгадка; разрешение
会合	かいごう	kaigou	meeting;assembly	встреча; сборка
外交	がいこう	gaikou	diplomacy	дипломатия
開始	かいし	kaishi	start;commencement;beginning	старт; начало
解釈	かいしゃく	kaishaku	explanation;interpretation	объяснение; интерпретация
外出	がいしゅつ	gaishutsu	outing;going out	выход из дома; прогулка
改善	かいぜん	kaizen	betterment;improvement	улучшение
快適	かいてき	kaiteki	pleasant;agreeable;comfortable	приятный; комфортный
回復	かいふく	kaifuku	recovery (from illness);improvement;rehabilitation;restoration	восстановление (после болезни); улучшение
飼う	かう	kau	to keep;to raise;to feed	держать (животное); кормить
替える	かえる	kaeru	to exchange;to interchange;to substitute;to replace	менять; заменять
換える	かえる	kaeru	to exchange;to interchange;to substitute;to replace	менять; заменять
香り	かおり	kaori	aroma;fragrance;scent;smell	аромат; запах
画家	がか	gaka	painter;artist	художник
抱える	かかえる	kakaeru	to hold or carry under or in the arms	держать (в охапке; на руках)
価格	かかく	kakaku	price;value;cost	цена; значение; стоимость
化学	かがく	kagaku	chemistry	химия
輝く	かがやく	kagayaku	to shine;to glitter;to sparkle	сиять; блестеть; сверкать
係	かかり	kakari	official;duty;person in charge	должностное лицо; обязанность; ответственное лицо
掛かる	かかる	kakaru	to take (e.g. time; money; etc);to hang	принять (например время; деньги); вешать
罹る	かかる	kakaru	to suffer from	страдать от
鍵	かぎ	kagi	key	ключ
限る	かぎる	kagiru	to restrict;to limit;to confine	ограничивать; ограничиться
描く	かく	kaku	to draw;to paint;to sketch;to depict;to describe	рисовать; изображать
家具	かぐ	kagu	furniture	мебель
学	がく	gaku	learning;scholarship;erudition;knowledge	наука; знание
額	がく	gaku	forehead;brow	лоб
覚悟	かくご	kakugo	resolution;resignation;readiness;preparedness	готовность; решимость
確実	かくじつ	kakujitsu	certainty;reliability;soundness	определенность; надежность; обоснованность
学者	がくしゃ	gakusha	scholar	ученый
学習	がくしゅう	gakushuu	study;learning	обучение
隠す	かくす	kakusu	to hide;to conceal	скрывать
拡大	かくだい	kakudai	magnification;enlargement	увеличение; расширение
確認	かくにん	kakunin	affirmation;confirmation	утверждение; подтверждение
学問	がくもん	gakumon	scholarship;study;learning	занятия; учение
隠れる	かくれる	kakureru	to hide;to be hidden;to conceal oneself;to disappear	скрываться; быть скрытым
影	かげ	kage	shade;shadow;other side	тень
陰	かげ	kage	shade;shadow;other side	тень; теневая сторона
欠ける	かける	kakeru	to be lacking	не хватать
加減	かげん	kagen	addition and subtraction;allowance for	сложение и вычитание; учет
過去	かこ	kako	the past;bygone days;the previous	прошлое; предыдущий
籠	かご	kago	basket;cage	корзина; клетка
囲む	かこむ	kakomu	to surround;to encircle	окружать; окружить
火災	かさい	kasai	conflagration;fire	пожар
貸し	かし	kashi	loan;lending	кредит; заем
菓子	かし	kashi	pastry	кондитерские изделия
家事	かじ	kaji	housework;domestic chores	домашняя работа
賢い	かしこい	kashikoi	wise;clever;smart	мудрый; умный
歌手	かしゅ	kashu	singer	певец
数	かず	kazu	number;figure	число; фигура
稼ぐ	かせぐ	kasegu	to earn income;to labor	получать доход; зарабатывать
数える	かぞえる	kazoeru	to count	считать
型	かた	kata	mold;model;style;shape;data-type	модель; стиль; форма; тип
肩	かた	kata	shoulder	плечо
硬い	かたい	katai	solid;hard (esp. metal; stone);unpolished writing	твёрдый; жёсткий
方々	かたがた	katagata	persons;this and that;here and there;everywhere	люди; тут и там; везде
刀	かたな	katana	sword;saber;knife;engraving tool	меч; катана
語る	かたる	kataru	to talk;to tell;to recite	говорить; рассказывать
勝ち	かち	kachi	win;victory	выигрывать; побждать
価値	かち	kachi	value;worth;merit	цена
	がっかり	gakkari	feel disappointed;be dejected;lose heart	чувствуете разочарование; быть удрученным
活気	かっき	kakki	energy;liveliness	энергия; живость
学期	がっき	gakki	term (school)	школьный семестр
格好	かっこう	kakkou	shape;form;posture;suitability	форма; осанка; пригодность
活動	かつどう	katsudou	action;activity	действие; активность
活用	かつよう	katsuyou	conjugation;practical use	практическое использование
悲しむ	かなしむ	kanashimu	to be sad;to mourn for;to regret	грустить; оплакивать; жалеть
必ずしも	かならずしも	kanarazushimo	(not) always;(not) necessarily;(not) all;(not) entirely	(не) всегда; (не) обязательно
	かなり	kanari	considerably;fairly;quite	значительно; довольно; довольно
金	かね	kane	(1) gold;(2) gold general (shogi) (abbr)	золото; деньги
金持ち	かねもち	kanemochi	rich man	богач
可能	かのう	kanou	possible;practicable;feasible	возможно
株	かぶ	kabu	share;stock;stump (of tree)	доля; акция; пень
被る	かぶる	kaburu	to suffer	надевать на голову; брать вину на себя
構う	かまう	kamau	to mind;to care about;to be concerned about	беспокоиться; обращать внимание
我慢	がまん	gaman	patience;endurance;perseverance	терпение; настойчивость
上	かみ	kami	(1) first volume;(2) superior quality;(3) governmental	первый том; высокое качество; верхний
神	かみ	kami	god	бог
雷	かみなり	kaminari	thunder	гром
髪の毛	かみのけ	kaminoke	hair (head)	волосы (на голове)
科目	かもく	kamoku	(school) subject;curriculum;course	школьный предмет; учебная программа
	かもしれない	kamoshirenai	may;might;perhaps;may be;possibly	может быть; возможно
火曜	かよう	kayou	(abbr) Tuesday	(сокр) вторник
空	から	kara	sky	небо
柄	がら	gara	hilt (of a sword);haft (of a dagger);handgrip	рукоять (меча); рукоятка
刈る	かる	karu	to cut (hair);to mow (grass);to harvest	подстричь (волосы); косить (траву)
彼等	かれら	karera	they (usually male)	они (обычно о мужчинах)
皮	かわ	kawa	skin;hide;leather;fur;pelt;bark;shell	кожи; шкура; кора; оболочка
革	かわ	kawa	leather	кожа
	かわいそう	kawaisou	poor;pitiable;pathetic	бедный; жалкий
	かわいらしい	kawairashii	lovely;sweet	прекрасный; милы
缶	かん	kan	can;tin	консервная банка; бидон
勘	かん	kan	perception;intuition;the sixth sense	восприятие; интуиция; шестое чувство
考え	かんがえ	kangae	thinking;thought;ideas;intention	идея; намерение
感覚	かんかく	kankaku	sense;sensation	смысл; ощущение
観客	かんきゃく	kankyaku	audience;spectator(s)	аудитория; зрители
環境	かんきょう	kankyou	environment;circumstance	окружающая среда
歓迎	かんげい	kangei	welcome;reception	Добро пожаловать; прием
観光	かんこう	kankou	sightseeing	экскурсия
観察	かんさつ	kansatsu	observation;survey	наблюдение; опрос
感じ	かんじ	kanji	feeling;sense;impression	чувство; впечатление
感謝	かんしゃ	kansha	thanks;gratitude	благодарность
患者	かんじゃ	kanja	a patient	пациент
勘定	かんじょう	kanjou	calculation;counting;consideration	расчет; подсчет; рассмотрение
感情	かんじょう	kanjou	emotion(s);feeling(s);sentiment	эмоции; чувство; настроение
感じる	かんじる	kanjiru	to feel;to sense;to experience	чувствовать; испытать
感心	かんしん	kanshin	admiration;Well done!	восхищение
関心	かんしん	kanshin	concern;interest	беспокойство; интерес
関する	かんする	kansuru	to concern;to be related	относиться; быть связанным с
完成	かんせい	kansei	(1) complete;completion;(2) perfection;accomplishment	завершение; совершенство; достижение
完全	かんぜん	kanzen	perfection;completeness	совершенство; полнота
感動	かんどう	kandou	being deeply moved;excitement;impression;deep emotion	быть глубоко тронутым; волнение; впечатление; глубокие эмоции
監督	かんとく	kantoku	supervision;control;superintendence	надзор; контроль
管理	かんり	kanri	control;management (e.g. of a business)	контроль; управление
完了	かんりょう	kanryou	completion;conclusion	завершение; вывод
関連	かんれん	kanren	relation;connection;relevance	отношение; соединение
議員	ぎいん	giin	member of the Diet; congress or parliament	член парламента
記憶	きおく	kioku	memory;recollection;remembrance	память; воспоминание
気温	きおん	kion	temperature	температура
機械	きかい	kikai	machine;mechanism	машина; механизм
議会	ぎかい	gikai	Diet;congress;parliament	конгресс; парламент
期間	きかん	kikan	period;term	период; срок
機関	きかん	kikan	organ;mechanism;facility;engine	механизм; двигатель
企業	きぎょう	kigyou	enterprise;undertaking	предприятие
効く	きく	kiku	to be effective	быть эффективным
機嫌	きげん	kigen	humour;temper;mood	юмор; характер; настроение
気候	きこう	kikou	climate	климат
岸	きし	kishi	bank;coast;shore	побережье; берег
生地	きじ	kiji	birthplace	место рождения
記事	きじ	kiji	article;news story;report;account	статья; новость; отчет; счет
技師	ぎし	gishi	engineer;technician	инженер; техник
記者	きしゃ	kisha	reporter	репортер
傷	きず	kizu	wound;injury;hurt;cut	рана; травма
期待	きたい	kitai	expectation;anticipation;hope	ожидание; ожидание; надежда
帰宅	きたく	kitaku	returning home	возвращение домой
貴重	きちょう	kichou	precious;valuable	драгоценный; ценный
議長	ぎちょう	gichou	chairman	председатель
	きちんと	kichinto	precisely;accurately	точно;
	きつい	kitsui	tight;close;intense	плотный; близкий; тесный
気付く	きづく	kizuku	to notice;to recognize;to become aware of	замечать; признавать
気に入る	きにいる	kiniiru	to be pleased with;to suit	быть довольным; прийтись по вкусу
記入	きにゅう	kinyuu	entry;filling in of forms	запись; заполнение форм
記念	きねん	kinen	commemoration;memory	празднование; память
機能	きのう	kinou	function;faculty	функция; способность
気の毒	きのどく	kinodoku	pitiful;a pity	сожаление; жаль
寄付	きふ	kifu	contribution;donation	вклад; пожертвование
希望	きぼう	kibou	hope;wish;aspiration	надеюжда; желание
基本	きほん	kihon	foundation;basis;standard	фундамент; основа; стандарт
決まり	きまり	kimari	settlement;conclusion;regulation;rule	поселение; заключение; регулирование; правило
気味	きみ	kimi	-like;-looking;-looked	чувство; ощущение
奇妙	きみょう	kimyou	strange;queer;curious	странно; любопытно
義務	ぎむ	gimu	duty;obligation;responsibility	пошлина; обязательство; ответственность
疑問	ぎもん	gimon	question;problem;doubt;guess	вопрос; проблема; сомнения; думаю
逆	ぎゃく	gyaku	reverse;opposite	обратный
	キャプテン	kyaputen	captain	капитан
	キャンプ	kyanpu	camp	лагерь
九	きゅう	kyuu	nine	девять
旧	きゅう	kyuu	ex-	экс-
級	きゅう	kyuu	class; grade; rank;school class; grade	класс; класс; звание; школьный класс; категория
球	きゅう	kyuu	globe;sphere;ball	сфера; мяч
休暇	きゅうか	kyuuka	holiday;day off;furlough	праздник; выходной день; отпуск
休憩	きゅうけい	kyuukei	rest;break;recess;intermission	перерыв; передышка
急激	きゅうげき	kyuugeki	sudden;precipitous;radical	внезапно; обрывисто
吸収	きゅうしゅう	kyuushuu	absorption;suction;attraction	поглощение; всасывание
救助	きゅうじょ	kyuujo	relief;aid;rescue	помощь; спасение
急速	きゅうそく	kyuusoku	rapid (e.g. progress)	быстро (например прогрессировать)
急に	きゅうに	kyuuni	suddenly	вдруг
給料	きゅうりょう	kyuuryou	salary;wages	заработная плата
器用	きよう	kiyou	skillful;handy	удобный
教科書	きょうかしょ	kyoukasho	text book	учебник
競技	きょうぎ	kyougi	game;match;contest	игра; матч; конкурс
行儀	ぎょうぎ	gyougi	manners	манеры
供給	きょうきゅう	kyoukyuu	supply;provision	питания; предоставление
教師	きょうし	kyoushi	teacher (classroom)	учитель (класс)
教授	きょうじゅ	kyouju	teaching;instruction;professor	преподавание; обучение; профессор
強調	きょうちょう	kyouchou	emphasis;stress;stressed point	акцент; усиление
共通	きょうつう	kyoutsuu	commonness;community	общность; сообщество
共同	きょうどう	kyoudou	cooperation;association;collaboration;joint	сотрудничество; ассоциация; сотрудничество; совместное
恐怖	きょうふ	kyoufu	be afraid;dread;dismay;terror	страх; тревога
協力	きょうりょく	kyouryoku	cooperation;collaboration	сотрудничество
強力	きょうりょく	kyouryoku	herculean strength;mountain carrier-guide	сила; мощь
許可	きょか	kyoka	permission;approval	разрешение; утверждение
局	きょく	kyoku	court lady;lady in waiting	управление; бюро
巨大	きょだい	kyodai	huge;gigantic;enormous	огромный; гигантский
嫌う	きらう	kirau	to hate;to dislike;to loathe	ненавидеть;
霧	きり	kiri	fog;mist	туман
切れ	きれ	kire	cloth;piece;cut;chop	кусок; ломоть
切れる	きれる	kireru	(1) to cut well;to be sharp;(2) to break (off)	хорошо резать; быть острым; рваться; прерываться
	キロ	kiro	(abbr) kilo-;kilogram;kilometre;10^3	(сокр) кило-; килограмм; километр; 10 ^ 3
記録	きろく	kiroku	record;minutes;document	запись;
議論	ぎろん	giron	argument;discussion;dispute	аргумент; обсуждение; спор
金	きん	kin	(1) gold;(2) gold general (shogi) (abbr)	золото
銀	ぎん	gin	(1) silver;silver coin;silver paint	серебро
禁煙	きんえん	kinen	No Smoking!	курение запрещено
金額	きんがく	kingaku	amount of money	сумма денег
金庫	きんこ	kinko	safe;vault;treasury;provider of funds	сейф; касса
禁止	きんし	kinshi	prohibition;ban	запрет;
金銭	きんせん	kinsen	money;cash	деньги; наличные
金属	きんぞく	kinzoku	metal	металл
近代	きんだい	kindai	present day	текущий день
